Node_1_Ortholog_group_ID,Node2_Ortholog_group_ID,Layer,S_typhi_strain_CT18_EIP,S_choleraesuis_SC_B67_EIP,S_dublin_CT_02021853_EIP,S_gallinarum_287/91_EIP,S_paratyphi_A_ATCC_9150_EIP,S_agona_SL483_GIP,S_enteritidis_P125109_GIP,S_heidelberg_SL476_GIP,S_newport_SL254_GIP,S_typhimurium_LT2_GIP,S_typhimurium_SL1344_GIP
0,868,Metabolic,1,1,1,1,1,1,1,1,1,1,1
0,1336,Metabolic,1,1,1,1,1,1,1,1,1,1,1
0,464,Metabolic,1,1,1,1,1,1,1,1,1,1,1
4,1987,Metabolic,1,1,1,1,1,1,1,1,1,1,1
8,1788,Metabolic,1,1,1,1,1,1,1,1,1,1,1
8,3866,Metabolic,1,1,1,1,1,1,1,1,1,1,1
8,1200,Metabolic,1,1,1,1,1,1,1,1,1,1,1
15,1228,Metabolic,1,1,1,1,1,1,1,1,1,1,1
17,1642,Metabolic,1,1,1,1,1,1,1,1,1,1,1
17,561,Metabolic,1,1,1,1,1,1,1,1,1,1,1
17,1686,Metabolic,1,1,1,1,1,1,1,1,1,1,1
20,4117,Metabolic,1,1,1,1,1,1,1,1,1,1,1
20,3186,Metabolic,1,1,1,1,1,1,1,1,1,1,1
22,1760,Metabolic,1,1,1,1,1,1,1,1,1,1,1
22,8,Metabolic,1,1,1,1,1,1,1,1,1,1,1
30,2449,Metabolic,1,1,1,1,1,1,1,1,1,1,1
31,2061,Metabolic,1,1,1,1,1,1,1,1,1,1,1
36,679,Metabolic,1,1,1,1,1,1,1,1,1,1,1
38,3726,Metabolic,1,1,1,1,1,1,1,1,1,1,1
38,2177,Metabolic,1,1,1,1,1,1,1,1,1,1,1
41,2227,Metabolic,1,1,1,1,1,1,1,1,1,1,1
41,38,Metabolic,1,1,1,1,1,1,1,1,1,1,1
41,1982,Metabolic,1,1,1,1,1,1,1,1,1,1,1
51,3420,Metabolic,1,1,1,1,1,1,1,1,1,1,1
51,2449,Metabolic,1,1,1,1,1,1,1,1,1,1,1
65,1321,Metabolic,1,1,1,1,1,1,1,1,1,1,1
65,3138,Metabolic,1,1,1,1,1,1,1,1,1,1,1
65,3872,Metabolic,1,1,1,1,1,1,1,1,1,1,1
68,3188,Metabolic,1,1,1,1,1,1,1,1,1,1,1
68,1016,Metabolic,1,1,1,1,1,1,1,1,1,1,1
70,1820,Metabolic,1,1,1,1,1,1,1,1,1,1,1
70,2617,Metabolic,1,1,1,1,1,1,1,1,1,1,1
70,3311,Metabolic,1,1,1,1,1,1,1,1,1,1,1
70,1712,Metabolic,1,1,1,1,1,1,1,1,1,1,1
72,910,Metabolic,1,1,1,1,1,1,1,1,1,1,1
72,654,Metabolic,1,1,1,1,1,1,1,1,1,1,1
84,3699,Metabolic,1,1,1,1,1,1,1,1,1,1,1
84,884,Metabolic,1,1,1,1,1,1,1,1,1,1,1
86,86,Metabolic,1,1,1,1,1,1,1,1,1,1,1
86,3880,Metabolic,1,1,1,1,1,1,1,1,1,1,1
86,2122,Metabolic,1,1,1,1,1,1,1,1,1,1,1
86,2770,Metabolic,1,1,1,1,1,1,1,1,1,1,1
89,2568,Metabolic,1,1,1,1,1,1,1,1,1,1,1
90,3171,Metabolic,1,1,1,1,1,1,1,1,1,1,1
90,2524,Metabolic,1,1,1,1,1,1,1,1,1,1,1
92,2962,Metabolic,1,1,1,1,1,1,1,1,1,1,1
92,3673,Metabolic,1,1,1,1,1,1,1,1,1,1,1
96,798,Metabolic,1,1,1,1,1,1,1,1,1,1,1
100,2771,Metabolic,1,1,1,1,1,1,1,1,1,1,1
101,1266,Metabolic,1,1,1,1,1,1,1,1,1,1,1
111,2212,Metabolic,1,1,1,1,1,1,1,1,1,1,1
111,3056,Metabolic,1,1,1,1,1,1,1,1,1,1,1
111,561,Metabolic,1,1,1,1,1,1,1,1,1,1,1
111,1686,Metabolic,1,1,1,1,1,1,1,1,1,1,1
121,3615,Metabolic,1,1,1,1,1,1,1,1,1,1,1
121,561,Metabolic,1,1,1,1,1,1,1,1,1,1,1
121,1686,Metabolic,1,1,1,1,1,1,1,1,1,1,1
124,900,Metabolic,1,1,1,1,1,1,1,1,1,1,1
126,3144,Metabolic,1,1,1,1,1,1,1,1,1,1,1
126,376,Metabolic,1,1,1,1,1,1,1,1,1,1,1
126,2222,Metabolic,1,1,1,1,1,1,1,1,1,1,1
126,4039,Metabolic,1,1,1,1,1,1,1,1,1,1,1
138,840,Metabolic,1,1,1,1,1,1,1,1,1,1,1
138,1972,Metabolic,1,1,1,1,1,1,1,1,1,1,1
138,2393,Metabolic,1,1,1,1,1,1,1,1,1,1,1
138,1617,Metabolic,1,1,1,1,1,1,1,1,1,1,1
138,1306,Metabolic,1,1,1,1,1,1,1,1,1,1,1
144,1843,Metabolic,1,1,1,1,1,1,1,1,1,1,1
158,4241,Metabolic,1,1,1,1,1,1,1,1,1,1,1
158,882,Metabolic,1,1,1,1,1,1,1,1,1,1,1
158,1881,Metabolic,1,1,1,1,1,1,1,1,1,1,1
158,2511,Metabolic,1,1,1,1,1,1,1,1,1,1,1
163,3418,Metabolic,1,1,1,1,1,1,1,1,1,1,1
180,714,Metabolic,1,1,1,1,1,1,1,1,1,1,1
185,277,Metabolic,1,1,1,1,1,1,1,1,1,1,1
185,2040,Metabolic,1,1,1,1,1,1,1,1,1,1,1
187,1829,Metabolic,1,1,1,1,1,1,1,1,1,1,1
187,2040,Metabolic,1,1,1,1,1,1,1,1,1,1,1
189,876,Metabolic,1,1,1,1,1,1,1,1,1,1,1
189,389,Metabolic,1,1,1,1,1,1,1,1,1,1,1
189,3308,Metabolic,1,1,1,1,1,1,1,1,1,1,1
205,2432,Metabolic,1,1,1,1,1,1,1,1,1,1,1
205,348,Metabolic,1,1,1,1,1,1,1,1,1,1,1
205,3542,Metabolic,1,1,1,1,1,1,1,1,1,1,1
205,2593,Metabolic,1,1,1,1,1,1,1,1,1,1,1
207,798,Metabolic,1,1,1,1,1,1,1,1,1,1,1
215,72,Metabolic,1,1,1,1,1,1,1,1,1,1,1
216,3418,Metabolic,1,1,1,1,1,1,1,1,1,1,1
216,3015,Metabolic,1,1,1,1,1,1,1,1,1,1,1
216,163,Metabolic,1,1,1,1,1,1,1,1,1,1,1
216,3534,Metabolic,1,1,1,1,1,1,1,1,1,1,1
216,721,Metabolic,1,1,1,1,1,1,1,1,1,1,1
216,3199,Metabolic,1,1,1,1,1,1,1,1,1,1,1
218,3270,Metabolic,1,1,1,1,1,1,1,1,1,1,1
218,2449,Metabolic,1,1,1,1,1,1,1,1,1,1,1
220,705,Metabolic,1,1,1,1,1,1,1,1,1,1,1
220,3368,Metabolic,1,1,1,1,1,1,1,1,1,1,1
220,3433,Metabolic,1,1,1,1,1,1,1,1,1,1,1
