source;target;ref;layer
B5EWJ3;B5F0K0;BioModels;Metabolic
B5EWJ3;B5F6Y2;BioModels;Metabolic
B5EWJ9;B5F1B3;STM;Metabolic
B5EWJ9;B5F465;STM;Metabolic
B5EWJ9;B5F591;STM;Metabolic
B5EWJ9;B5F9B3;BioModels;Metabolic
B5EWK0;B5EY16;STM;Metabolic
B5EWK0;B5F0F0;STM;Metabolic
B5EWK0;B5F527;STM;Metabolic
B5EWK0;B5F731;STM;Metabolic
B5EWK0;B5F819;STM;Metabolic
B5EWK6;B5EWK5;STM_BioModels;Metabolic
B5EWL1;B5F7U8;BioModels;Metabolic
B5EWL1;B5F7U9;BioModels;Metabolic
B5EWL3;B5F8J6;BioModels;Metabolic
B5EWL3;B5F974;BioModels;Metabolic
B5EWP4;B5F4L3;STM;Metabolic
B5EWP4;B5F646;STM;Metabolic
B5EWP4;B5F647;STM;Metabolic
B5EWP8;B5F7Z8;STM_BioModels;Metabolic
B5EWQ0;B5EWP9;STM_BioModels;Metabolic
B5EWQ1;B5EX23;STM;Metabolic
B5EWQ1;B5EX91;STM;Metabolic
B5EWQ1;B5EZM0;STM;Metabolic
B5EWQ1;B5F208;STM;Metabolic
B5EWQ1;B5F2F1;STM;Metabolic
B5EWQ1;B5F6P9;STM;Metabolic
B5EWQ2;B5F8R5;STM_BioModels;Metabolic
B5EWR1;B5F7W6;STM;Metabolic
B5EWR7;B5F207;STM;Metabolic
B5EWS0;B5EYZ0;STM;Metabolic
B5EWS0;B5F7D6;STM;Metabolic
B5EWS0;B5F7Q8;STM;Metabolic
B5EWS5;B5EX72;STM;Metabolic
B5EWS5;B5F0C3;STM;Metabolic
B5EWT5;B5F0G2;BioModels;Metabolic
B5EWT5;B5F1F0;BioModels;Metabolic
B5EWT5;B5F1P6;STM;Metabolic
B5EWT5;B5F1P8;STM;Metabolic
B5EWT5;B5F1Q0;STM;Metabolic
B5EWT5;B5F2H5;BioModels;Metabolic
B5EWT6;B5EZ41;STM;Metabolic
B5EWT6;B5F230;STM;Metabolic
B5EWT7;B5F572;STM;Metabolic
B5EWW5;B5F527;BioModels;Metabolic
B5EWY2;B5EZ84;BioModels;Metabolic
B5EWY2;B5F1U0;STM;Metabolic
B5EWY2;B5F7Y2;STM;Metabolic
B5EWY2;B5F858;BioModels;Metabolic
B5EWY2;B5F8D2;STM;Metabolic
B5EWY3;B5EWY2;STM;Metabolic
B5EWY3;B5EWY4;STM;Metabolic
B5EWY3;B5F0J5;BioModels;Metabolic
B5EWY3;B5F8D2;STM;Metabolic
B5EWY4;B5EX00;STM_BioModels;Metabolic
B5EWY4;B5F4N1;STM_BioModels;Metabolic
B5EWY4;B5F8E6;STM;Metabolic
B5EWY5;B5EX16;STM;Metabolic
B5EWY5;B5F0J5;STM;Metabolic
B5EWY5;B5F4N1;STM;Metabolic
B5EWY8;B5EWY7;STM;Metabolic
B5EWY9;B5EWY7;STM;Metabolic
B5EWY9;B5EWY8;STM;Metabolic
B5EWZ0;B5EWZ1;STM_BioModels;Metabolic
B5EWZ0;B5F8J0;STM_BioModels;Metabolic
B5EWZ1;B5EZ58;STM;Metabolic
B5EWZ1;B5F8J0;STM_BioModels;Metabolic
B5EWZ2;B5EWZ8;STM;Metabolic
B5EWZ3;B5EWZ0;STM;Metabolic
B5EWZ4;B5EWZ5;STM_BioModels;Metabolic
B5EWZ5;B5EWZ3;STM_BioModels;Metabolic
B5EWZ6;B5EWZ7;STM_BioModels;Metabolic
B5EWZ7;B5EWZ2;STM;Metabolic
B5EWZ8;B5EWZ4;STM_BioModels;Metabolic
B5EWZ9;B5EWZ6;STM_BioModels;Metabolic
B5EX00;B5EWY5;STM_BioModels;Metabolic
B5EX00;B5EZ85;STM;Metabolic
B5EX00;B5F4N1;BioModels;Metabolic
B5EX01;B5EWZ9;STM_BioModels;Metabolic
B5EX03;B5F1T2;STM;Metabolic
B5EX06;B5EX03;STM;Metabolic
B5EX06;B5EX07;STM;Metabolic
B5EX06;B5EX08;STM;Metabolic
B5EX06;B5EX09;STM;Metabolic
B5EX06;B5EX10;STM;Metabolic
B5EX06;B5EX17;BioModels;Metabolic
B5EX06;B5F0M5;STM;Metabolic
B5EX06;B5F0U1;STM;Metabolic
B5EX06;B5F4R8;STM;Metabolic
B5EX07;B5EX03;STM;Metabolic
B5EX07;B5EX08;STM;Metabolic
B5EX07;B5EX09;STM;Metabolic
B5EX07;B5EX10;STM;Metabolic
B5EX07;B5EX17;BioModels;Metabolic
B5EX07;B5F0M5;STM;Metabolic
B5EX07;B5F0U1;STM;Metabolic
B5EX07;B5F4R8;STM;Metabolic
B5EX08;B5EX03;STM;Metabolic
B5EX08;B5EX09;STM;Metabolic
B5EX08;B5EX10;STM;Metabolic
B5EX08;B5EX17;BioModels;Metabolic
B5EX08;B5F0M5;STM;Metabolic
