Biogrid;PPI;27980099
BioModels;Metabolic;21244678,11677609
Ecoli;Transcriptional_regulatory;26527724
Exp;PPI;
Exp(HT);Transcriptional_regulatory;
Exp(LT);Transcriptional_regulatory;
IntAct;PPI;22121220
IntAct_Biogrid;PPI;22121220,27980099
IntAct_Interactome3d;PPI;22121220,23399932
IntAct_Interactome3d_Biogrid;PPI;22121220,27980099,23399932
Interactome3d;PPI;23399932
Lit_Ecoli_IntAct;PPI;24561554,22121220
Lit_Ecoli_IntAct_Interactome3d;PPI;24561554,22121220,23399932
Salm;Transcriptional_regulatory;
STM;Metabolic;21244678
STM_BioModels;Metabolic;21244678,22538806,11677609
STM_Biomodels;Metabolic;21244678,22538806,11677609
