;;;;S typhi strain CT18;S choleraesuis SC B67;S dublin CT 02021853;S gallinarum 287/91;S paratyphi A ATCC 9150;S agona SL483;S enteritidis P125109;S heidelberg SL476;S newport SL254;S typhimurium LT2;S typhimurium SL1344
Layer;Node 1 Ortholog group ID;Node 2 Ortholog group ID;Layer;EIP;EIP;EIP;EIP;EIP;GIP;GIP;GIP;GIP;GIP;GIP
PPI;0;883;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;27;564;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;27;179;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;28;1004;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;28;4291;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;30;102;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;30;232;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;30;3265;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;30;424;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;43;1172;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;43;886;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;53;804;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;53;970;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;64;3724;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;64;3487;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;64;1669;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;65;3822;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;67;2795;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;67;4078;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;67;2681;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;67;2447;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;71;126;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;71;3620;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;72;3171;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;75;561;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;84;3202;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;93;1880;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;93;2349;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;93;3288;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;93;1259;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;102;3710;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;111;561;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;112;2026;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;112;391;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;112;2479;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;112;1239;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;121;190;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;127;1265;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;133;3134;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;143;519;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;153;3171;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;155;283;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;158;3171;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;159;2803;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;161;1011;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;161;3171;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;162;4235;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;170;126;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;170;3489;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;171;513;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;175;1770;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;175;2356;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;186;64;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;186;3534;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;186;112;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;189;1436;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;190;3222;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;195;2776;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;195;2497;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;195;3398;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;195;1743;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;195;2117;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;195;1004;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;195;2087;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;195;1983;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;205;1011;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;205;195;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;205;3987;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;212;197;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;212;1192;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;212;1787;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;212;1273;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;212;2583;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;216;2354;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;216;1323;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;224;703;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;224;2795;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;224;3288;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;224;796;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;224;3859;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;224;292;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;227;3476;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;227;2283;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;228;1011;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;228;2512;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;229;2443;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;229;624;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;229;3143;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;229;3007;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;229;398;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;229;2025;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;241;64;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;241;3710;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;241;358;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;246;1011;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;246;195;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;246;1004;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;246;2583;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;246;1508;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;248;465;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;260;2165;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;261;1784;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;267;3071;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;267;3370;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;267;2339;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;270;2000;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;271;424;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;277;3737;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;288;1849;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;288;3674;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;288;2099;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;291;2693;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;292;1175;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;292;360;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;292;2389;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;298;156;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;299;2992;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;299;2180;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;299;2202;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;310;2000;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;316;2228;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;324;2034;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;324;1114;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;324;2283;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;324;358;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;328;1192;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;328;143;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;328;3616;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;330;414;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;331;328;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;331;1668;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;332;663;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;332;3650;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;340;564;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;344;3171;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;344;1636;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;344;2113;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;345;3219;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;357;1656;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;358;2672;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;358;2567;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;358;1245;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;358;3220;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;358;3536;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;358;710;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;358;2537;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;358;970;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;358;2164;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;358;2437;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;358;4197;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;363;2200;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;363;624;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;363;3143;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;363;398;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;363;2025;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;363;458;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;378;424;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;379;3620;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;381;3171;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;388;3171;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;389;189;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;398;624;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;398;3143;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;398;3007;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;398;458;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;405;3509;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;420;1322;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;424;3473;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;424;2095;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;424;3447;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;424;1258;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;424;3318;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;424;3217;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;424;3536;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;424;3309;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;424;405;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;424;802;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;424;2887;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;424;2084;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;424;638;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;424;1283;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;424;3522;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;424;2035;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;433;955;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;433;501;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;435;404;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;435;2283;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;435;378;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;437;3536;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;440;1011;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;440;212;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;451;2696;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;452;1852;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;453;2484;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;454;381;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;459;2443;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;464;1130;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;465;3402;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;466;1109;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;472;3663;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;473;1344;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;473;3288;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;473;796;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;473;1259;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;473;1323;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;473;2249;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;473;644;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;474;2959;PPI;1;1;1;1;1;1;1;1;1;1;1
