Node_1_Ortholog_group_ID,Node2_Ortholog_group_ID,Layer,S_typhi_strain_CT18_EIP,S_choleraesuis_SC_B67_EIP,S_dublin_CT_02021853_EIP,S_gallinarum_287/91_EIP,S_paratyphi_A_ATCC_9150_EIP,S_agona_SL483_GIP,S_enteritidis_P125109_GIP,S_heidelberg_SL476_GIP,S_newport_SL254_GIP,S_typhimurium_LT2_GIP,S_typhimurium_SL1344_GIP
46,1597,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
46,488,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
46,947,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
46,4256,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
46,46,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
107,3124,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
107,3837,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
107,3904,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
107,107,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
107,3232,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
107,350,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,2824,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,450,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,848,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,2895,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,68,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,185,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,1172,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,899,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,886,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,43,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,862,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,288,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,1849,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,3674,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,3898,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,2276,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,2563,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,3466,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,1750,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,2403,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,753,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,3216,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,2570,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,612,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,803,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,1898,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,366,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,2989,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,2669,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,2589,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,1313,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,65,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,3872,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,3138,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,1321,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,205,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,2511,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,1283,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,2211,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,473,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,2152,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,954,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,1890,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,2998,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,251,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,295,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,2469,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,572,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,439,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,731,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,1041,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,3846,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,3490,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,2034,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,2936,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,1329,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,120,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,1352,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,1211,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,3427,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,3300,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,3488,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,4100,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,2740,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,170,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,379,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,3763,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,71,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,846,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,2918,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,770,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,2437,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,4035,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,1952,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,2326,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,1950,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,3238,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,1336,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,3235,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,210,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,291,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,2646,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,2693,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,1770,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
147,3575,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
191,2240,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
191,1078,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
191,2692,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
191,1877,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
191,890,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
191,2200,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
191,848,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
191,288,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
191,1849,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
191,3674,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
191,3056,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
191,2212,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
191,111,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
191,205,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
191,161,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
191,2182,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
191,183,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
191,2268,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
191,1033,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
191,1068,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
191,2718,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
