Taxon	Mnemonic	Scientific name	Common name	Synonym	Other Names	Reviewed	Rank	Lineage	Parent	Virus hosts
41514	SALAR	Salmonella arizonae (strain ATCC BAA-731 / CDC346-86 / RSK2980)			Salmonella enterica IIIa 62:z4,z23:-; Salmonella enterica IIIa 62:z4,z23:--; Salmonella enterica serovar IIIa 62:z4,z23:-; Salmonella enterica serovar IIIa 62:z4,z23:--; Salmonella enterica subsp. arizonae serovar 62:z4,z23:-; Salmonella enterica subsp. arizonae serovar 62:z4,z23:--	reviewed		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Salmonella	59203	
99287	SALTY	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)			Salmonella enterica subsp. enterica serovar Typhimurium LT2; Salmonella enterica subsp. enterica serovar Typhimurium str. LT2; Salmonella enterica subsp. enterica serovar Typhimurium strain LT2; Salmonella enterica subsp. enterica serovar Typhimurium strain LT2-LTL2; Salmonella typhimurium LT2	reviewed		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Salmonella	90371	
439846		Salmonella enterica subsp. enterica serovar Saintpaul str. SARA23			Salmonella enterica subsp. enterica serovar Saint Paul SARA23; Salmonella enterica subsp. enterica serovar Saint Paul str. SARA23; Salmonella enterica subsp. enterica serovar Saint Paul strain SARA23; Salmonella enterica subsp. enterica serovar Saintpaul SARA23	annotated		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Salmonella	90105	
440534		Salmonella enterica subsp. enterica serovar 4,[5],12:i:- str. CVM23701			Salmonella enterica subsp. enterica serovar 4,5,12:i:- str. CVM23701; Salmonella enterica subsp. enterica serovar 4,[5],12:i:- CVM23701; Salmonella enterica subsp. enterica serovar 4,[5],12:i:- strain CVM23701; Salmonella enterica subsp. enterica serovar [4,5,12:i:-] str. CVM23701	annotated		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Salmonella	440524	
321314	SALCH	Salmonella choleraesuis (strain SC-B67)			Salmonella enterica subsp. enterica serovar Choleraesuis SC-B67; Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67; Salmonella enterica subsp. enterica serovar Choleraesuis strain SC-B67	reviewed		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Salmonella	119912	
439842		Salmonella enterica subsp. enterica serovar Kentucky str. CVM29188			Salmonella enterica subsp. enterica serovar Kentucky CVM29188; Salmonella enterica subsp. enterica serovar Kentucky strain CVM29188	annotated		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Salmonella	192955	
439843	SALSV	Salmonella schwarzengrund (strain CVM19633)			Salmonella enterica subsp. enterica serovar Schwarzengrund CVM19633; Salmonella enterica subsp. enterica serovar Schwarzengrund str. CVM19633; Salmonella enterica subsp. enterica serovar Schwarzengrund strain CVM19633	reviewed		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Salmonella	340190	
904139		Salmonella enterica subsp. enterica serovar Choleraesuis str. SCSA50			Salmonella enterica subsp. enterica serovar Choleraesuis str. A50; Salmonella enterica subsp. enterica serovar Choleraesuis strain SCSA50	annotated		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Salmonella	119912	
1081093	SALPS	Salmonella pullorum (strain RKS5078 / SGSC2294)			Salmonella enterica subsp. enterica serovar Gallinarum/pullorum str. RKS5078; Salmonella enterica subsp. enterica serovar Gallinarum/pullorum strain RKS5078; Salmonella enterica subsp. enterica serovar Pullorum str. RKS5078	annotated		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Salmonella	604	
1243604		Salmonella enterica subsp. salamae serovar 56:z10:e,n,x str. 1369-73			Salmonella enterica subsp. salamae serovar 56:z10:enx str. SA20011914; Salmonella enterica subsp. salamae serovar 56:z1:enx str. SA20011914	annotated		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Salmonella	1243603	
