Node_1_locus_tag,Node_1_gene_name_,Node_1_Uniprot_ID,Node_2_locus_tag,Node_2_gene_name,Node_2_Uniprot_ID,Node_1_orthology_group_ID,Node_2_orthology_group_ID,Source,Strain,Layer
SEN0369,proC,B5QTD5,SEN0986A,putA,B5R060,351,3469,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0371,aroL,B5QTD7,SEN3673,SEN3673,B5QUR8,2984,164,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0371,aroL,B5QTD7,SEN1685,ydiB,B5QVU2,2984,2774,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0371,aroL,B5QTD7,SEN3229,aroE,B5R1D8,2984,606,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0376,yajF,B5QTE2,SEN0788,ybiV(1),B5QXU6,2802,3735,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0376,yajF,B5QTE2,SEN3483,xylA,B5R4P8,2802,1214,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0384,malZ,B5QTF0,SEN2550,SEN2550,B5QTT7,1825,371,BioModels,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0384,malZ,B5QTF0,SEN3994,malG,B5QYJ0,1825,876,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0384,malZ,B5QTF0,SEN3997,malE,B5QYJ2,1825,189,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0384,malZ,B5QTF0,SEN4000,lamB,B5QYJ4,1825,3308,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0384,malZ,B5QTF0,SEN4069,melA,B5QZX7,1825,101,BioModels,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0384,malZ,B5QTF0,SEN2414,crr,B5R4E2,1825,1728,BioModels,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0385,SEN0385,B5QTF1,SEN2576,trxC,B5QTW3,90,2524,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
