Node_1_locus_tag,Node_1_gene_name_,Node_1_Uniprot_ID,Node_2_locus_tag,Node_2_gene_name,Node_2_Uniprot_ID,Node_1_orthology_group_ID,Node_2_orthology_group_ID,Source,Strain,Layer
SC2133,baeR,Q57MM2,SC1329,spy,Q57PX6,Ecoli,46,1597,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Transcriptional_regulatory
SC2133,baeR,Q57MM2,SC2129,yegM,Q57MM6,Ecoli,46,470,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Transcriptional_regulatory
SC2133,baeR,Q57MM2,SC2130,yegN,Q57MM5,Ecoli,46,488,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Transcriptional_regulatory
SC2133,baeR,Q57MM2,SC2131,yegO,Q57MM4,Ecoli,46,947,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Transcriptional_regulatory
SC2133,baeR,Q57MM2,SC2132,baeS,Q57MM3,Ecoli,46,4256,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Transcriptional_regulatory
SC2133,baeR,Q57MM2,SC2133,baeR,Q57MM2,Ecoli,46,46,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Transcriptional_regulatory
SC2133,baeR,Q57MM2,SC2476,acrD,Q57LN0,Ecoli,46,2420,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Transcriptional_regulatory
SC3742,torR,Q57I14,SC1563,hdeB,Q57P92,Ecoli,60,3120,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Transcriptional_regulatory
SC3742,torR,Q57I14,SC3685,mgtC,Q57I71,Ecoli,60,2780,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Transcriptional_regulatory
SC3742,torR,Q57I14,SC3739,torD,Q57I17,Ecoli,60,1565,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Transcriptional_regulatory
SC3742,torR,Q57I14,SC3740,torA,Q57I16,Ecoli,60,864,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Transcriptional_regulatory
SC3742,torR,Q57I14,SC3741,torC,Q57I15,Ecoli,60,1580,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Transcriptional_regulatory
SC3742,torR,Q57I14,SC3742,torR,Q57I14,Ecoli,60,60,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Transcriptional_regulatory
SC2538,yfhP,Q57LG8,SC0203,yadQ,Q57T52,Ecoli,107,3124,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Transcriptional_regulatory
SC2538,yfhP,Q57LG8,SC0204,yadR,Q57T51,Ecoli,107,3837,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Transcriptional_regulatory
SC2538,yfhP,Q57LG8,SC1363,ydiV,Q57PU2,Ecoli,107,1152,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Transcriptional_regulatory
SC2538,yfhP,Q57LG8,SC1364,ydiU,Q57PU1,Ecoli,107,2926,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Transcriptional_regulatory
SC2538,yfhP,Q57LG8,SC1389,sufA,Q57PR6,Ecoli,107,3904,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Transcriptional_regulatory
SC2538,yfhP,Q57LG8,SC1390,sufB,Q57PR5,Ecoli,107,2832,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Transcriptional_regulatory
SC2538,yfhP,Q57LG8,SC1391,sufC,Q57PR4,Ecoli,107,6222,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Transcriptional_regulatory
SC2538,yfhP,Q57LG8,SC1392,sufD,Q57PR3,Ecoli,107,880,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Transcriptional_regulatory
SC2538,yfhP,Q57LG8,SC1393,sufS,Q57PR2,Ecoli,107,1741,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Transcriptional_regulatory
SC2538,yfhP,Q57LG8,SC1394,ynhA,Q57PR1,Ecoli,107,1450,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Transcriptional_regulatory
SC2538,yfhP,Q57LG8,SC1782,mbhS,Q57NM3,Ecoli,107,3144,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Transcriptional_regulatory
SC2538,yfhP,Q57LG8,SC2538,yfhP,Q57LG8,Ecoli,107,107,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Transcriptional_regulatory
SC2538,yfhP,Q57LG8,SC3442,yhgH,Q57IW4,Ecoli,107,3232,Salmonella_enterica_serovar_Choleraesuis_SC-B67,Transcriptional_regulatory
