Node_1_locus_tag,Node_1_gene_name_,Node_1_Uniprot_ID,Node_2_locus_tag,Node_2_gene_name,Node_2_Uniprot_ID,Node_1_orthology_group_ID,Node_2_orthology_group_ID,Source,Strain,Layer
SG0236,accA,B5R5I8,SG2396,accD,B5RCJ1,501,2027,STM_BioModels,Salmonella_enterica_serovar_Gallinarum_287_91,Metabolic
SG0236,accA,B5R5I8,SG3270,accB,B5REX7,501,1341,STM_BioModels,Salmonella_enterica_serovar_Gallinarum_287_91,Metabolic
SG0236,accA,B5R5I8,SG3271,accC,B5REX8,501,1824,STM_BioModels,Salmonella_enterica_serovar_Gallinarum_287_91,Metabolic
SG0236,accA,B5R5I8,SG0174,yadF,B5RHB0,501,3047,STM,Salmonella_enterica_serovar_Gallinarum_287_91,Metabolic
SG0238,ldcC,B5R5J0,SG2389,SG2389,B5RCI5,1234,383,BioModels,Salmonella_enterica_serovar_Gallinarum_287_91,Metabolic
SG0238,ldcC,B5R5J0,SG2596,cadA,B5RD28,1234,429,STM,Salmonella_enterica_serovar_Gallinarum_287_91,Metabolic
SG0238,ldcC,B5R5J0,SG2922,lysA,B5RDY9,1234,2791,BioModels,Salmonella_enterica_serovar_Gallinarum_287_91,Metabolic
SG0239,yaeR,B5R5J1,SG0966,mgsA,B5R6C9,1030,1209,STM,Salmonella_enterica_serovar_Gallinarum_287_91,Metabolic
SG0250,yaeE,B5R5K2,SG0249,metQ,B5R5K1,2043,119,STM,Salmonella_enterica_serovar_Gallinarum_287_91,Metabolic
SG0252,yaeD,B5R5K4,SG3096,rfaE,B5REF8,519,1314,STM_BioModels,Salmonella_enterica_serovar_Gallinarum_287_91,Metabolic
SG0253,dkgB,B5R5K5,SG0966,mgsA,B5R6C9,4151,1209,STM,Salmonella_enterica_serovar_Gallinarum_287_91,Metabolic
SG0253,dkgB,B5R5K5,SG1838,SG1838,B5RB23,4151,2946,STM,Salmonella_enterica_serovar_Gallinarum_287_91,Metabolic
SG0259,gloB,B5R5L1,SG0239,yaeR,B5R5J1,1909,1030,STM,Salmonella_enterica_serovar_Gallinarum_287_91,Metabolic
SG0259,gloB,B5R5L1,SG1683,gloA,B5RAM4,1909,3522,STM,Salmonella_enterica_serovar_Gallinarum_287_91,Metabolic
SG0320,fadE,B5R5Q6,SG1299,fadD,B5R8Y3,1018,2297,STM_BioModels,Salmonella_enterica_serovar_Gallinarum_287_91,Metabolic
