Node_1_locus_tag,Node_1_gene_name_,Node_1_Uniprot_ID,Node_2_locus_tag,Node_2_gene_name,Node_2_Uniprot_ID,Node_1_orthology_group_ID,Node_2_orthology_group_ID,Source,Strain,Layer
,,,,,,,,,,
STM0693,fur,Q7CQY3,STM0693,fur,Q7CQY3,552,552,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
STM1726,trpB,P0A2K1,STM1726,trpB,P0A2K1,955,955,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
STM1176,flgD,P0A1I9,STM1974,fliK,P26416,2525,1271,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
STM1177,flgE,P0A1J1,STM1974,fliK,P26416,1912,1271,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
STM1972,fliI,P26465,STM2896,invA,P0A1I3,703,2018,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
STM1972,fliI,P26465,STM1913,flhA,P40729,703,2018,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
STM1913,flhA,P40729,STM1422,ssaU,P96069,2018,1220,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
STM2896,invA,P0A1I3,STM1422,ssaU,P96069,2018,1220,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
STM1913,flhA,P40729,STM1914,flhB,P40727,2018,1220,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
STM2896,invA,P0A1I3,STM1914,flhB,P40727,2018,1220,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
STM1971,fliH,P15934,STM2896,invA,P0A1I3,3533,2018,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
STM1971,fliH,P15934,STM1913,flhA,P40729,3533,2018,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
STM2896,invA,P0A1I3,STM1973,fliJ,P0A1K1,2018,3031,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
STM1913,flhA,P40729,STM1973,fliJ,P0A1K1,2018,3031,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
STM2050,pduO,Q8ZNR5,STM2053,pduS,Q9XDM9,1040,1270,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
STM2053,pduS,Q9XDM9,STM2053,pduS,Q9XDM9,1270,1270,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
STM1697,STM1697,Q8ZP58,STM1924,flhC,O52222,1152,4015,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
STM1344,ydiV,Q8ZPS6,STM1924,flhC,O52222,1152,4015,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
STM1971,fliH,P15934,STM1977,fliN,P26419,3533,1656,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
STM1044,sodC1,P0CW86,STM1044,sodC1,P0CW86,2153,2153,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
STM1923,motA,P55891,STM1922,motB,P55892,4140,923,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
STM1959,fliC,P06179,STM1961,fliS,P26609,1976,796,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
STM2771,fljB,P52616,STM1961,fliS,P26609,1976,796,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
STM1723,trpE,P00898,STM1724,trpGD,P00905,1668,1176,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
STM1572,ompD,P37592,STM1515,ydeI,Q8ZPI6,4094,649,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
STM1969,fliF,P15928,STM1976,fliM,P26418,1571,1344,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
STM1398,sseB,Q7BVH7,STM1397,sseA,O84944,879,2557,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
STM1397,sseA,O84944,STM1401,sseD,Q9R803,2557,2357,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
STM0352,STM0352,Q8ZRG8,STM3186,tolC,Q8ZLZ4,3813,559,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
STM1920,cheW,P06110,STM2829,recA,P65977,3859,3140,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
STM1172,flgM,P26477,STM1961,fliS,P26609,3697,796,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
STM1415,ssaN,P74857,STM1415,ssaN,P74857,2569,2569,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
STM1418,ssaQ,P74860,STM1415,ssaN,P74857,73,2569,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
STM1411,ssaK,P74853,STM1415,ssaN,P74857,2274,2569,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
STM1399,sscA,H9L426,STM1415,ssaN,P74857,1420,2569,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
STM1403,sscB,H9L491,STM1415,ssaN,P74857,3034,2569,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
STM1397,sseA,O84944,STM1415,ssaN,P74857,2557,2569,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
STM1398,sseB,Q7BVH7,STM1396,ssaE,H9L4A0,879,2108,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
STM2884,sipC,P0CL47,STM2884,sipC,P0CL47,10,10,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
SL1344_0675,fur,E1W9I7,SL1344_0675,fur,E1W9I7,552,552,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
SL1344_1657,trpB,E1WC57,SL1344_1657,trpB,E1WC57,955,955,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
SL1344_1113,flgD,E1W7K5,SL1344_1903,fliK,E1WGL0,2525,1271,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
SL1344_1114,flgE,E1W7K6,SL1344_1903,fliK,E1WGL0,1912,1271,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
SL1344_1901,fliI,E1WGK8,SL1344_1848,flhAa,E1WGF4,703,2018,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
SL1344_1901,fliI,E1WGK8,SL1344_2875,invA,E1WAE0,703,2018,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
SL1344_1848,flhAa,E1WGF4,SL1344_1356,ssaU,E1WFT8,2018,1220,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
SL1344_2875,invA,E1WAE0,SL1344_1356,ssaU,E1WFT8,2018,1220,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
SL1344_1848,flhAa,E1WGF4,SL1344_1849,flhB,E1WGF5,2018,1220,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
SL1344_2875,invA,E1WAE0,SL1344_1849,flhB,E1WGF5,2018,1220,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
SL1344_1900,fliH,E1WGK7,SL1344_1848,flhAa,E1WGF4,3533,2018,IntAct,Salmonella_enterica_serovar_Typhimurium_LT2,PPI
