Node_1_locus_tag,Node_1_gene_name_,Node_1_Uniprot_ID,Node_2_locus_tag,Node_2_gene_name,Node_2_Uniprot_ID,Node_1_orthology_group_ID,Node_2_orthology_group_ID,Source,Strain,Layer
,,,,,,,,,,
SEN2717,hilD,B5QVC4,SEN4081,SEN4081,B5QZY8,Salm,1384,995,Salmonella_enterica_serovar_Enteritidis_P125109,Transcriptional_regulatory
SEN2717,hilD,B5QVC4,SEN4082,SEN4082,B5QZY9,Salm,1384,2405,Salmonella_enterica_serovar_Enteritidis_P125109,Transcriptional_regulatory
SEN2127,baeR,B5R0C4,SEN1735,spy,B5QWI5,Ecoli,46,1597,Salmonella_enterica_serovar_Enteritidis_P125109,Transcriptional_regulatory
SEN2127,baeR,B5R0C4,SEN2122,SEN2122,B5R0B9,Ecoli,46,470,Salmonella_enterica_serovar_Enteritidis_P125109,Transcriptional_regulatory
SEN2127,baeR,B5R0C4,SEN2123,yegN,B5R0C0,Ecoli,46,488,Salmonella_enterica_serovar_Enteritidis_P125109,Transcriptional_regulatory
SEN2127,baeR,B5R0C4,SEN2124,yegO,B5R0C1,Ecoli,46,947,Salmonella_enterica_serovar_Enteritidis_P125109,Transcriptional_regulatory
SEN2127,baeR,B5R0C4,SEN2125,yegB,B5R0C2,Ecoli,46,1590,Salmonella_enterica_serovar_Enteritidis_P125109,Transcriptional_regulatory
SEN2127,baeR,B5R0C4,SEN2126,baeS,B5R0C3,Ecoli,46,4256,Salmonella_enterica_serovar_Enteritidis_P125109,Transcriptional_regulatory
SEN2127,baeR,B5R0C4,SEN2127,baeR,B5R0C4,Ecoli,46,46,Salmonella_enterica_serovar_Enteritidis_P125109,Transcriptional_regulatory
SEN2127,baeR,B5R0C4,SEN2460,acrD,B5R4I8,Ecoli,46,2420,Salmonella_enterica_serovar_Enteritidis_P125109,Transcriptional_regulatory
SEN3640,torR,B5QUN5,SEN1493,hdeB,B5QTP0,Ecoli,60,3120,Salmonella_enterica_serovar_Enteritidis_P125109,Transcriptional_regulatory
SEN3640,torR,B5QUN5,SEN3586,mgtC,B5QTZ9,Ecoli,60,2780,Salmonella_enterica_serovar_Enteritidis_P125109,Transcriptional_regulatory
SEN3640,torR,B5QUN5,SEN3637,torD,B5QUN2,Ecoli,60,1565,Salmonella_enterica_serovar_Enteritidis_P125109,Transcriptional_regulatory
SEN3640,torR,B5QUN5,SEN3638,torA,B5QUN3,Ecoli,60,864,Salmonella_enterica_serovar_Enteritidis_P125109,Transcriptional_regulatory
SEN3640,torR,B5QUN5,SEN3639,torC,B5QUN4,Ecoli,60,1580,Salmonella_enterica_serovar_Enteritidis_P125109,Transcriptional_regulatory
