Node_1_locus_tag,Node_1_gene_name_,Node_1_Uniprot_ID,Node_2_locus_tag,Node_2_gene_name,Node_2_Uniprot_ID,Node_1_orthology_group_ID,Node_2_orthology_group_ID,Source,Strain,Layer
SPA2048,fur,Q5PCI5,SPA2048,fur,Q5PCI5,552,552,IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA1151,trpB,Q5PD17,SPA1151,trpB,Q5PD17,955,955,IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA1675,flgD,Q5PGW0,SPA0896,fliK,Q5PLJ0,2525,1271,IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA1674,flgE,Q5PGW1,SPA0896,fliK,Q5PLJ0,1912,1271,IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA0898,fliI,Q5PHZ1,SPA0955,flhA,Q5PMY6,703,2018,IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA0898,fliI,Q5PHZ1,SPA2754,invA,Q5PEC8,703,2018,IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA0955,flhA,Q5PMY6,SPA0954,flhB,Q3V7K8,2018,1220,IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA0955,flhA,Q5PMY6,SPA1431,ssaU,Q5PH23,2018,1220,IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA2754,invA,Q5PEC8,SPA0954,flhB,Q3V7K8,2018,1220,IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA2754,invA,Q5PEC8,SPA1431,ssaU,Q5PH23,2018,1220,IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA0899,fliH,Q5PHZ0,SPA0955,flhA,Q5PMY6,3533,2018,IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA0899,fliH,Q5PHZ0,SPA2754,invA,Q5PEC8,3533,2018,IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA0955,flhA,Q5PMY6,SPA0897,fliJ,Q5PHZ2,2018,3031,IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA2754,invA,Q5PEC8,SPA0897,fliJ,Q5PHZ2,2018,3031,IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA0821,pduO,Q5PDR2,SPA0818,pduS,Q5PDR5,1040,1270,IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA0818,pduS,Q5PDR5,SPA0818,pduS,Q5PDR5,1270,1270,IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA1179,SPA1179,Q5PIM7,SPA0944,flhC,Q5PMX5,1152,4015,IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA1499,ydiV,Q5PH83,SPA0944,flhC,Q5PMX5,1152,4015,IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA0899,fliH,Q5PHZ0,SPA0893,fliN,Q5PLI8,3533,1656,IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA0945,motA,Q5PMX4,SPA0946,motB,Q5PMX3,4140,923,IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA0911,fliC,P06178,SPA0909,fliS,Q5PI04,1976,796,IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA2627,fljB,Q5PEW3,SPA0909,fliS,Q5PI04,1976,796,IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA1154,trpE,Q5PLT4,SPA1153,trpD,Q5PLT5,1668,1176,IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA1296,ompD,Q5PHY0,SPA1340,ydeI,Q5PHG2,4094,649,IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA0901,fliF,Q5PHZ4,SPA0894,fliM,Q5PLJ2,1571,1344,IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA1455,SPA1455,Q5PH43,SPA1456,SPA1456,Q5PH42,879,2557,IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA1456,SPA1456,Q5PH42,SPA1452,sseD,Q5PH36,2557,2357,IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA0948,cheW,Q5PMX9,SPA2687,recA,Q5PF15,3859,3140,IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA1679,flgM,Q5PGV6,SPA0909,fliS,Q5PI04,3697,796,IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA1438,ssaN,Q5PH27,SPA1438,ssaN,Q5PH27,2569,2569,IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA1435,ssaQ,Q5PH19,SPA1438,ssaN,Q5PH27,73,2569,IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA1442,ssaK,Q5PH35,SPA1438,ssaN,Q5PH27,2274,2569,IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA1454,sscA,Q5PH44,SPA1438,ssaN,Q5PH27,1420,2569,IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA1450,sscB,Q5PH38,SPA1438,ssaN,Q5PH27,3034,2569,IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA1456,SPA1456,Q5PH42,SPA1438,ssaN,Q5PH27,2557,2569,IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA1455,SPA1455,Q5PH43,SPA1457,ssaE,Q5PH41,879,2108,IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA2742,sipC,Q5PEC1,SPA2742,sipC,Q5PEC1,10,10,IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA2950,speA,A0A546,SPA2701,hydN,Q5PF34,2037,3570,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA2950,speA,A0A546,SPA0326,yfhE,Q5PNH2,2037,273,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA0092,pdxA,Q3V7K0,SPA0079,fixX,Q5PIN8,310,2000,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA0092,pdxA,Q3V7K0,SPA2897,stdA,Q5PL28,310,4451,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA3193,mtgA,Q3V7K4,SPA0129,ftsW,Q5PDC1,3795,3007,IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA3193,mtgA,Q3V7K4,SPA0124,ftsI,Q5PDH2,3795,3143,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA3193,mtgA,Q3V7K4,SPA3936,ftsN,Q5PK54,3795,2083,IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA0889,fliR,Q3V7K7,SPA1669,flgJ,Q5PGU8,2349,2165,IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA0889,fliR,Q3V7K7,SPA0893,fliN,Q5PLI8,2349,1656,IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA3553,secB,Q5PBZ5,SPA0138,secA,Q5PDC9,2367,2356,IntAct_Interactome3d,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA3552,gpsA,Q5PBZ6,SPA3051,yqiA,Q5PMU3,2784,2116,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA3560,tdh,Q5PC07,SPA4147,groEL,Q5PL62,869,1880,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
SPA3578,mutM,Q5PC09,SPA2879,SPA2879,Q5PEP9,324,2283,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,PPI
