Node_1_locus_tag,Node_1_gene_name_,Node_1_Uniprot_ID,Node_2_locus_tag,Node_2_gene_name,Node_2_Uniprot_ID,Node_1_orthology_group_ID,Node_2_orthology_group_ID,Source,Strain,Layer
STM1269,STM1269,H9L410,STM2384,aroC,P58729,96,798,STM,Salmonella_enterica_serovar_Typhimurium_LT2,Metabolic
STM1954,fliY,H9L419,STM0999,ompF,P37432,891,2449,STM,Salmonella_enterica_serovar_Typhimurium_LT2,Metabolic
STM2101,wcaK,H9L433,STM2190,mglB,P23905,3210,2314,STM,Salmonella_enterica_serovar_Typhimurium_LT2,Metabolic
STM2101,wcaK,H9L433,STM4298,melA,P30877,3210,101,STM,Salmonella_enterica_serovar_Typhimurium_LT2,Metabolic
STM2101,wcaK,H9L433,STM2188,mglC,Q56036,3210,2698,STM,Salmonella_enterica_serovar_Typhimurium_LT2,Metabolic
STM2101,wcaK,H9L433,STM3091,galP,Q7CPT9,3210,4110,STM,Salmonella_enterica_serovar_Typhimurium_LT2,Metabolic
STM1889,msbB,H9L440,STM2401,ddg,Q8ZNA3,3090,3768,STM,Salmonella_enterica_serovar_Typhimurium_LT2,Metabolic
STM1889,msbB,H9L440,STM1155,htrB,Q8ZQ24,3090,2226,STM_BioModels,Salmonella_enterica_serovar_Typhimurium_LT2,Metabolic
STM3723,rfaQ,H9L449,STM3710,rfaD,P67912,779,4417,STM,Salmonella_enterica_serovar_Typhimurium_LT2,Metabolic
STM3723,rfaQ,H9L449,STM3721,rfaP,Q06995,779,3215,STM,Salmonella_enterica_serovar_Typhimurium_LT2,Metabolic
STM1318,katE,H9L460,STM1731,STM1731,H9L462,464,318,STM,Salmonella_enterica_serovar_Typhimurium_LT2,Metabolic
STM1318,katE,H9L460,STM4106,katG,P17750,464,1336,STM,Salmonella_enterica_serovar_Typhimurium_LT2,Metabolic
STM2500,purN,H9L487,STM4175,purD,P26977,3645,1821,STM_BioModels,Salmonella_enterica_serovar_Typhimurium_LT2,Metabolic
STM2500,purN,H9L487,STM4176,purH,P26978,3645,603,BioModels,Salmonella_enterica_serovar_Typhimurium_LT2,Metabolic
STM2500,purN,H9L487,STM0542,folD,P58688,3645,1396,STM_BioModels,Salmonella_enterica_serovar_Typhimurium_LT2,Metabolic
STM2500,purN,H9L487,STM3061,ygfA,Q8ZM70,3645,865,BioModels,Salmonella_enterica_serovar_Typhimurium_LT2,Metabolic
STM2500,purN,H9L487,STM1883,purT,Q8ZNW5,3645,3737,BioModels,Salmonella_enterica_serovar_Typhimurium_LT2,Metabolic
STM2500,purN,H9L487,STM1232,purB,Q8ZPZ6,3645,486,BioModels,Salmonella_enterica_serovar_Typhimurium_LT2,Metabolic
STM2500,purN,H9L487,STM0483,apt,Q8ZRA2,3645,4124,BioModels,Salmonella_enterica_serovar_Typhimurium_LT2,Metabolic
STM2103,wcaJ,H9L490,STM0775,galT,P22714,2001,2019,STM,Salmonella_enterica_serovar_Typhimurium_LT2,Metabolic
STM2103,wcaJ,H9L490,STM0776,galE,P22715,2001,3536,STM,Salmonella_enterica_serovar_Typhimurium_LT2,Metabolic
STM2109,gmd,H9L499,STM2105,manC,P26340,1366,1479,STM,Salmonella_enterica_serovar_Typhimurium_LT2,Metabolic
STM2109,gmd,H9L499,STM2084,rfbM,P26404,1366,319,STM_BioModels,Salmonella_enterica_serovar_Typhimurium_LT2,Metabolic
STM2497,uraA,H9L4A5,STM0999,ompF,P37432,974,2449,STM,Salmonella_enterica_serovar_Typhimurium_LT2,Metabolic
STM2863,sitC,H9L4A7,STM2864,sitD,H9L416,4117,3186,STM,Salmonella_enterica_serovar_Typhimurium_LT2,Metabolic
STM3242,tdcD,O06961,STM2337,ackA,P63411,419,417,STM,Salmonella_enterica_serovar_Typhimurium_LT2,Metabolic
STM3242,tdcD,O06961,STM2057,pduW,P74879,419,3142,STM,Salmonella_enterica_serovar_Typhimurium_LT2,Metabolic
STM3242,tdcD,O06961,STM2338,pta,Q8ZND6,419,2528,STM_BioModels,Salmonella_enterica_serovar_Typhimurium_LT2,Metabolic
STM3242,tdcD,O06961,STM1883,purT,Q8ZNW5,419,3737,STM,Salmonella_enterica_serovar_Typhimurium_LT2,Metabolic
STM3242,tdcD,O06961,STM2047,pduL,Q9XDN5,419,4368,STM_BioModels,Salmonella_enterica_serovar_Typhimurium_LT2,Metabolic
STM2041,pduD,O31041,STM2042,pduE,O31042,3985,1401,STM,Salmonella_enterica_serovar_Typhimurium_LT2,Metabolic
STM2041,pduD,O31041,STM2043,pduG,O31043,3985,3894,STM,Salmonella_enterica_serovar_Typhimurium_LT2,Metabolic
STM2041,pduD,O31041,STM2037,pduF,P37451,3985,2302,STM,Salmonella_enterica_serovar_Typhimurium_LT2,Metabolic
STM2041,pduD,O31041,STM4108,gldA,Q8ZKM9,3985,2162,STM,Salmonella_enterica_serovar_Typhimurium_LT2,Metabolic
STM2041,pduD,O31041,STM4044,STM4044,Q8ZKS2,3985,948,STM,Salmonella_enterica_serovar_Typhimurium_LT2,Metabolic
