Node_1_locus_tag,Node_1_gene_name_,Node_1_Uniprot_ID,Node_2_locus_tag,Node_2_gene_name,Node_2_Uniprot_ID,Node_1_orthology_group_ID,Node_2_orthology_group_ID,Source,Strain,Layer
SeHA_C0352,SeHA_C0352,B4T7P4,SeHA_C0921,bioB,B4TC48,328,1192,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C0352,SeHA_C0352,B4T7P4,SeHA_C2761,ppk,B4TD77,328,143,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C0352,SeHA_C0352,B4T7P4,SeHA_C0123,leuB,B4TJ71,328,3616,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C0357,pepD,B4T7P9,SeHA_C2100,zwf,B4T7Y4,4070,452,IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C0364,proA,B4T7Q6,SeHA_C2393,SeHA_C2393,B4T9X4,2044,2186,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2090,SeHA_C2090,B4T7X4,SeHA_C0269,dnaE,B4TK59,3691,587,IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2090,SeHA_C2090,B4T7X4,SeHA_C0302,dnaQ,B4TK86,3691,3713,Lit_Ecoli_IntAct_Interactome3d,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2094,SeHA_C2094,B4T7X8,SeHA_C4245,trxA,B4TB14,1467,3171,IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2100,zwf,B4T7Y4,SeHA_C0819,pgm,B4TB98,452,1852,IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2102,pykA,B4T7Y6,SeHA_C4245,trxA,B4TB14,3071,3171,IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2102,pykA,B4T7Y6,SeHA_C0784,lnt,B4TB70,3071,1177,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2108,ruvB,B4T7Z2,SeHA_C2133,cheR,B4T817,3450,692,IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2109,ruvA,B4T7Z3,SeHA_C2108,ruvB,B4T7Z2,3165,3450,Interactome3d,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2113,SeHA_C2113,B4T7Z7,SeHA_C2395,SeHA_C2395,B4T9X6,3350,968,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2113,SeHA_C2113,B4T7Z7,SeHA_C2889,rplS,B4TE50,3350,2931,IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2113,SeHA_C2113,B4T7Z7,SeHA_C3684,SeHA_C3684,B4TJW0,3350,2370,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2127,SeHA_C2127,B4T811,SeHA_C3968,SeHA_C3968,B4T937,758,1412,IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2127,SeHA_C2127,B4T811,SeHA_C1831,nifJ,B4TIS2,758,3295,IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2131,cheY,B4T815,SeHA_C2130,SeHA_C2130,B4T814,2383,1114,IntAct_Interactome3d,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2133,cheR,B4T817,SeHA_C2130,SeHA_C2130,B4T814,692,1114,IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2133,cheR,B4T817,SeHA_C2193,fliN,B4T8T2,692,1656,IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2133,cheR,B4T817,SeHA_C1287,flgC,B4TEU7,692,1694,IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2133,cheR,B4T817,SeHA_C1831,nifJ,B4TIS2,692,3295,IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2134,SeHA_C2134,B4T818,SeHA_C2130,SeHA_C2130,B4T814,1740,1114,IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2134,SeHA_C2134,B4T818,SeHA_C2131,cheY,B4T815,1740,2383,IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2134,SeHA_C2134,B4T818,SeHA_C2132,cheB,B4T816,1740,1518,IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2134,SeHA_C2134,B4T818,SeHA_C2137,SeHA_C2137,B4T821,1740,1259,IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2134,SeHA_C2134,B4T818,SeHA_C4515,metA,B4TDF7,1740,262,IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2134,SeHA_C2134,B4T818,SeHA_C1294,flgJ,B4TEV4,1740,2165,IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2136,SeHA_C2136,B4T820,SeHA_C2134,SeHA_C2134,B4T818,3859,1740,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2136,SeHA_C2136,B4T820,SeHA_C2137,SeHA_C2137,B4T821,3859,1259,IntAct_Interactome3d,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2136,SeHA_C2136,B4T820,SeHA_C3016,SeHA_C3016,B4TF14,3859,1866,IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2136,SeHA_C2136,B4T820,SeHA_C4939,SeHA_C4939,B4TGB3,3859,1740,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2136,SeHA_C2136,B4T820,SeHA_C3429,SeHA_C3429,B4TI28,3859,3373,IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2136,SeHA_C2136,B4T820,SeHA_C1765,SeHA_C1765,B4TIK8,3859,3684,IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2136,SeHA_C2136,B4T820,SeHA_C3684,SeHA_C3684,B4TJW0,3859,2370,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2137,SeHA_C2137,B4T821,SeHA_C2130,SeHA_C2130,B4T814,1259,1114,IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2137,SeHA_C2137,B4T821,SeHA_C2131,cheY,B4T815,1259,2383,IntAct_Interactome3d,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2137,SeHA_C2137,B4T821,SeHA_C2132,cheB,B4T816,1259,1518,IntAct_Interactome3d,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2137,SeHA_C2137,B4T821,SeHA_C0280,proS,B4TK70,1259,357,IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2140,flhC,B4T824,SeHA_C2141,flhD,B4T825,4015,1977,Interactome3d,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2141,flhD,B4T825,SeHA_C2127,SeHA_C2127,B4T811,1977,758,IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2141,flhD,B4T825,SeHA_C2133,cheR,B4T817,1977,692,IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2141,flhD,B4T825,SeHA_C2171,fliA,B4T851,1977,678,IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2141,flhD,B4T825,SeHA_C2186,fliG,B4T8S5,1977,2795,IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2141,flhD,B4T825,SeHA_C1831,nifJ,B4TIS2,1977,3295,IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2143,SeHA_C2143,B4T827,SeHA_C0762,holA,B4TB49,2493,298,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2143,SeHA_C2143,B4T827,SeHA_C3028,hypF,B4TF26,2493,814,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2147,SeHA_C2147,B4T831,SeHA_C0257,frr,B4TK47,1165,424,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2162,uvrY,B4T843,SeHA_C0659,SeHA_C0659,B4TAA3,1249,511,IntAct_Interactome3d,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2171,fliA,B4T851,SeHA_C1283,SeHA_C1283,B4TEU3,678,2389,IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2171,fliA,B4T851,SeHA_C1287,flgC,B4TEU7,678,1694,IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2171,fliA,B4T851,SeHA_C1447,katE,B4TGF7,678,464,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2171,fliA,B4T851,SeHA_C0280,proS,B4TK70,678,357,IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2176,fliS,B4T856,SeHA_C2175,fliD,B4T855,796,1175,IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2176,fliS,B4T856,SeHA_C2512,gyrA,B4TAU5,796,3730,IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2176,fliS,B4T856,SeHA_C1294,flgJ,B4TEV4,796,2165,IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2177,SeHA_C2177,B4T857,SeHA_C2137,SeHA_C2137,B4T821,3288,1259,IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2177,SeHA_C2177,B4T857,SeHA_C2141,flhD,B4T825,3288,1977,IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2177,SeHA_C2177,B4T857,SeHA_C2175,fliD,B4T855,3288,1175,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2177,SeHA_C2177,B4T857,SeHA_C2176,fliS,B4T856,3288,796,IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2177,SeHA_C2177,B4T857,SeHA_C2361,SeHA_C2361,B4T9U5,3288,46,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2177,SeHA_C2177,B4T857,SeHA_C0716,SeHA_C0716,B4TAF5,3288,3654,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2177,SeHA_C2177,B4T857,SeHA_C1284,SeHA_C1284,B4TEU4,3288,3697,IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2177,SeHA_C2177,B4T857,SeHA_C1294,flgJ,B4TEV4,3288,2165,IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2179,SeHA_C2179,B4T859,SeHA_C0921,bioB,B4TC48,2929,1192,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C2179,SeHA_C2179,B4T859,SeHA_C4958,SeHA_C4958,B4TGY5,2929,1758,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
SeHA_C3845,glgC,B4T868,SeHA_C1106,pncB,B4TDS5,1990,3279,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Heidelberg_SL476,PPI
