Node_1_locus_tag,Node_1_gene_name_,Node_1_Uniprot_ID,Node_2_locus_tag,Node_2_gene_name,Node_2_Uniprot_ID,Node_1_orthology_group_ID,Node_2_orthology_group_ID,Source,Strain,Layer
,,,,,,,,,,
SG0235,dnaE,B5R5I7,SG0650,holA,B5R7Z4,587,298,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0235,dnaE,B5R5I7,SG4301,holC,B5R9L4,587,156,IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0235,dnaE,B5R5I7,SG4384,holD,B5R9U0,587,2169,IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0238,ldcC,B5R5J0,SG2596,cadA,B5RD28,1234,429,IntAct_Interactome3d,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0240,tilS,B5R5J2,SG1270,proQ,B5R8V6,1379,2695,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0241,rof,B5R5J3,SG0974,yccK,B5R6D7,701,2312,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0246,proS,B5R5J8,SG1078,fliN,B5R7F5,357,1656,IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0252,yaeD,B5R5K4,SG2729,csrA,B5RDF1,519,4235,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0262,dnaQ,B5R5L4,SG0235,dnaE,B5R5I7,3713,587,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0262,dnaQ,B5R5L4,SG0650,holA,B5R7Z4,3713,298,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0262,dnaQ,B5R5L4,SG3594,dnaN,B5RFY8,3713,3473,IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0322,yafJ,B5R5Q8,SG0772,bioB,B5R761,328,1192,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0322,yafJ,B5R5Q8,SG2533,ppk,B5RCX3,328,143,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0322,yafJ,B5R5Q8,SG0114,leuB,B5RGE3,328,3616,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0327,pepD,B5R5R3,SG1166,zwf,B5R8F1,4070,452,IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0333,proA,B5R5R9,SG2194,yehT,B5RBZ9,2044,2186,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0377,yahN,B5R5V6,SG0124,murE,B5RH59,2423,479,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0378,yahO,B5R5V7,SG2772,orgA,B5RDJ4,1382,2510,IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0398,proC,B5R5X7,SG1270,proQ,B5R8V6,351,2695,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0403,yaiE,B5R5Y2,SG1270,proQ,B5R8V6,2672,2695,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0473,glnK,B5R5Y7,SG2598,glnB,B5RD30,3436,2233,Lit_Ecoli_IntAct_Interactome3d,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0473,glnK,B5R5Y7,SG0127,murD,B5RH62,3436,914,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0474,amtB,B5R5Y8,SG0473,glnK,B5R5Y7,2863,3436,Lit_Ecoli_IntAct_Interactome3d,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0474,amtB,B5R5Y8,SG2598,glnB,B5RD30,2863,2233,Lit_Ecoli_IntAct_Interactome3d,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0474,amtB,B5R5Y8,SG3418,glnL,B5RFG6,2863,2959,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0476,ybaY,B5R5Z0,SG2417,sixA,B5RCL2,577,102,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0479,rpmE2,B5R5Z3,SG3217,yhbL,B5RES5,1433,131,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0485,acrB,B5R5Z9,SG0486,acrA,B5R600,299,2180,IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0485,acrB,B5R5Z9,SG0418,yajC,B5R6Q8,299,2992,Interactome3d,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0485,acrB,B5R5Z9,SG0758,SG0758,B5R747,299,2202,IntAct_Interactome3d,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0487,acrR,B5R601,SG1297,yeaZ,B5R8Y1,64,3487,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0487,acrR,B5R601,SG1610,ydfZ,B5RAF7,64,1669,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0487,acrR,B5R601,SG3277,yhdJ,B5REY4,64,2370,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0487,acrR,B5R601,SG3742,SG3742,B5RGI9,64,3724,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0490,ybaM,B5R604,SG2729,csrA,B5RDF1,596,4235,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0502,gsk,B5R615,SG0780,ybhK,B5R768,84,3202,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0690,fur,B5R658,SG0444,thiJ,B5R6T4,552,1011,Biogrid,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0690,fur,B5R658,SG3527,trxA,B5RFS2,552,3171,IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0692,ybfE,B5R660,SG1270,proQ,B5R8V6,1586,2695,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0692,ybfE,B5R660,SG3490,pldB,B5RFN7,1586,3534,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0694,seqA,B5R662,SG0776,uvrB,B5R765,2373,1831,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0699,kdpE,B5R667,SG0700,kdpD,B5R668,332,663,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0699,kdpE,B5R667,SG1643,rstA,B5RAI7,332,3650,IntAct_Interactome3d,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0700,kdpD,B5R668,SG3212,ptsN,B5RES0,663,2691,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0701,kdpC,B5R669,SG0702,kdpB,B5R670,930,611,IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0707,ybgI,B5R675,SG3061,yqhD,B5REC3,1361,1591,IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0716,sdhD,B5R684,SG0715,sdhC,B5R683,784,800,IntAct_Interactome3d,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0716,sdhD,B5R684,SG0718,sdhB,B5R686,784,1219,Interactome3d,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0717,sdhA,B5R685,SG0715,sdhC,B5R683,3736,800,IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0718,sdhB,B5R686,SG0715,sdhC,B5R683,1219,800,IntAct_Interactome3d,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0718,sdhB,B5R686,SG0717,sdhA,B5R685,1219,3736,Lit_Ecoli_IntAct_Interactome3d,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0718,sdhB,B5R686,SG0441,phnR,B5R6T1,1219,253,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0718,sdhB,B5R686,SG0444,thiJ,B5R6T4,1219,1011,Biogrid,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0718,sdhB,B5R686,SG2912,ygdP,B5RDY0,1219,867,IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0719,sucA,B5R687,SG0720,sucB,B5R688,1016,2189,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0721,sucC,B5R689,SG0722,sucD,B5R690,1368,1582,IntAct_Interactome3d,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0721,sucC,B5R689,SG3527,trxA,B5RFS2,1368,3171,IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0722,sucD,B5R690,SG3527,trxA,B5RFS2,1582,3171,IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0723,cydA,B5R691,SG0724,cydB,B5R692,288,1849,IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
SG0723,cydA,B5R691,SG0725,ybgT,B5R693,288,3674,IntAct,Salmonella_enterica_serovar_Gallinarum_287_91,PPI
