Node_1_locus_tag,Node_1_gene_name_,Node_1_Uniprot_ID,Node_2_locus_tag,Node_2_gene_name,Node_2_Uniprot_ID,Node_1_orthology_group_ID,Node_2_orthology_group_ID,Source,Strain,Layer
SeAg_B0740,SeAg_B0740,B5EZD0,SeAg_B0740,SeAg_B0740,B5EZD0,552,552,IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B1420,trpB,B5F4M4,SeAg_B1420,trpB,B5F4M4,955,955,IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B2012,SeAg_B2012,B5F931,SeAg_B1145,SeAg_B1145,B5F2R3,2525,1271,IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B2011,SeAg_B2011,B5F930,SeAg_B1145,SeAg_B1145,B5F2R3,1912,1271,IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B1147,fliI,B5F2R5,SeAg_B1209,flhA,B5F2X2,703,2018,IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B1147,fliI,B5F2R5,SeAg_B3018,SeAg_B3018,B5F3X7,703,2018,IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B3018,SeAg_B3018,B5F3X7,SeAg_B1208,flhB,B5F2X1,2018,1220,IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B1209,flhA,B5F2X2,SeAg_B1752,SeAg_B1752,B5F6M3,2018,1220,IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B1148,SeAg_B1148,B5F2R6,SeAg_B3018,SeAg_B3018,B5F3X7,3533,2018,IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B1209,flhA,B5F2X2,SeAg_B1146,fliJ,B5F2R4,2018,3031,IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B3018,SeAg_B3018,B5F3X7,SeAg_B1146,fliJ,B5F2R4,2018,3031,IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B2173,SeAg_B2173,B5EX16,SeAg_B2176,SeAg_B2176,B5EX19,1040,1270,IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B2176,SeAg_B2176,B5EX19,SeAg_B2176,SeAg_B2176,B5EX19,1270,1270,IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B1829,SeAg_B1829,B5F7F1,SeAg_B1197,flhC,B5F2W0,1152,4015,IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B1148,SeAg_B1148,B5F2R6,SeAg_B1142,fliN,B5F2R0,3533,1656,IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B1198,motA,B5F2W1,SeAg_B1199,motB,B5F2W2,4140,923,IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B1162,SeAg_B1162,B5F2T0,SeAg_B1159,fliS,B5F2S7,1976,796,IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B1423,trpE,B5F4M7,SeAg_B1422,trpD,B5F4M6,1668,1176,IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B1589,SeAg_B1589,B5F5V8,SeAg_B1656,SeAg_B1656,B5F6C9,4094,649,IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B1150,fliF,B5F2R8,SeAg_B1143,fliM,B5F2R1,1571,1344,IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B0385,SeAg_B0385,B5EWN1,SeAg_B3367,SeAg_B3367,B5F679,3813,559,IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B1201,SeAg_B1201,B5F2W4,SeAg_B2948,recA,B5F352,3859,3140,IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B2016,SeAg_B2016,B5F935,SeAg_B1159,fliS,B5F2S7,3697,796,IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B1758,SeAg_B1758,B5F6M9,SeAg_B1758,SeAg_B1758,B5F6M9,2569,2569,IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B1755,epaO,B5F6M6,SeAg_B1758,SeAg_B1758,B5F6M9,73,2569,IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B1762,SeAg_B1762,B5F789,SeAg_B1758,SeAg_B1758,B5F6M9,2274,2569,IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B1774,SeAg_B1774,B5F7A1,SeAg_B1758,SeAg_B1758,B5F6M9,1420,2569,IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B1770,SeAg_B1770,B5F797,SeAg_B1758,SeAg_B1758,B5F6M9,3034,2569,IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B1775,SeAg_B1775,B5F7A2,SeAg_B1776,SeAg_B1776,B5F7A3,879,2108,IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B0345,SeAg_B0345,B5EWJ4,SeAg_B0830,bioB,B5F072,328,1192,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B0345,SeAg_B0345,B5EWJ4,SeAg_B2649,ppk,B5F177,328,143,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B0345,SeAg_B0345,B5EWJ4,SeAg_B0128,leuB,B5F7U8,328,3616,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B0350,pepD,B5EWJ9,SeAg_B1238,zwf,B5F3K5,4070,452,IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B0357,proA,B5EWK6,SeAg_B2304,SeAg_B2304,B5EXZ9,2044,2186,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B0398,SeAg_B0398,B5EWP4,SeAg_B1409,SeAg_B1409,B5F4L3,2724,1820,Interactome3d,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B0399,SeAg_B0399,B5EWP5,SeAg_B0140,murE,B5F7V9,2423,479,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B0422,proC,B5EWR7,SeAg_B1285,proQ,B5F3P7,351,2695,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B0424,SeAg_B0424,B5EWR9,SeAg_B0664,citC,B5EYL4,1421,2843,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B0424,SeAg_B0424,B5EWR9,SeAg_B1319,minC,B5F3S8,1421,970,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B0424,SeAg_B0424,B5EWR9,SeAg_B4886,SeAg_B4886,B5F521,1421,358,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B0424,SeAg_B0424,B5EWR9,SeAg_B0087,SeAg_B0087,B5F759,1421,2000,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B0428,SeAg_B0428,B5EWS3,SeAg_B1285,proQ,B5F3P7,2672,2695,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B0428,SeAg_B0428,B5EWS3,SeAg_B3185,SeAg_B3185,B5F4X8,2672,4451,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B0433,SeAg_B0433,B5EWS8,SeAg_B0458,thiL,B5EXG0,2414,1729,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B0433,SeAg_B0433,B5EWS8,SeAg_B0105,SeAg_B0105,B5F777,2414,2054,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B0436,phoR,B5EWT1,SeAg_B0435,phoB,B5EWT0,3585,197,Interactome3d,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B0446,secD,B5EWU1,SeAg_B1835,pheT,B5F7F7,3293,1404,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B2184,SeAg_B2184,B5EX27,SeAg_B2408,gyrA,B5EYV7,2262,3730,IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B2194,SeAg_B2194,B5EX37,SeAg_B4826,SeAg_B4826,B5F4B9,1340,360,IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B2199,hisB,B5EX41,SeAg_B0898,SeAg_B0898,B5F0Y1,1936,1731,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B2202,hisF,B5EX44,SeAg_B2738,SeAg_B2738,B5F1F6,1098,1937,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B2202,hisF,B5EX44,SeAg_B4871,SeAg_B4871,B5F509,1098,1758,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B3848,SeAg_B3848,B5EX46,SeAg_B2572,zipA,B5F0F6,261,1784,IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B3853,SeAg_B3853,B5EX51,SeAg_B0812,galE,B5F054,2271,3536,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B3853,SeAg_B3853,B5EX51,SeAg_B1041,SeAg_B1041,B5F1W6,2271,1255,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B3853,SeAg_B3853,B5EX51,SeAg_B0147,ddl,B5F7W6,2271,1913,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B3857,SeAg_B3857,B5EX55,SeAg_B3861,SeAg_B3861,B5EX59,1585,155,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B3861,SeAg_B3861,B5EX59,SeAg_B3229,SeAg_B3229,B5F5J2,155,283,IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B3864,SeAg_B3864,B5EX62,SeAg_B1285,proQ,B5F3P7,2070,2695,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B3869,glyQ,B5EX66,SeAg_B3868,glyS,B5EX65,2057,1184,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B3869,glyQ,B5EX66,SeAg_B0643,SeAg_B0643,B5EYJ5,2057,3654,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B3869,glyQ,B5EX66,SeAg_B3323,hybO,B5F637,2057,2290,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B3869,glyQ,B5EX66,SeAg_B3577,SeAg_B3577,B5F7P6,2057,2370,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B3880,SeAg_B3880,B5EX77,SeAg_B0689,holA,B5EZ87,365,298,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B3881,SeAg_B3881,B5EX78,SeAg_B3577,SeAg_B3577,B5F7P6,3683,2370,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B3891,sgbE,B5EX88,SeAg_B4123,hdfR,B5EZ22,4275,3093,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B3891,sgbE,B5EX88,SeAg_B2963,SeAg_B2963,B5F367,4275,3570,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B3891,sgbE,B5EX88,SeAg_B1413,SeAg_B1413,B5F4L7,4275,3375,IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B3891,sgbE,B5EX88,SeAg_B3493,rpmA,B5F6V4,4275,27,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B3891,sgbE,B5EX88,SeAg_B0087,SeAg_B0087,B5F759,4275,2000,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B3891,sgbE,B5EX88,SeAg_B3577,SeAg_B3577,B5F7P6,4275,2370,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B3894,aldB,B5EX91,SeAg_B2904,gabD,B5F314,3777,1142,Interactome3d,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B3901,SeAg_B3901,B5EX98,SeAg_B2576,ptsH,B5F0G0,1068,561,Interactome3d,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B3903,mtlR,B5EXA0,SeAg_B2576,ptsH,B5F0G0,3152,561,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B3904,SeAg_B3904,B5EXA1,SeAg_B0911,nfsA,B5F0Z3,3724,1411,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B3911,lldD,B5EXA8,SeAg_B4069,SeAg_B4069,B5EYX5,2890,3987,IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B3918,gpsA,B5EXB5,SeAg_B3363,yqiA,B5F675,2784,2116,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B3919,secB,B5EXB6,SeAg_B0153,secA,B5F7X1,2367,2356,IntAct_Interactome3d,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B3922,gpmI,B5EXB9,SeAg_B0808,gpmA,B5F050,1653,1169,IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B3926,tdh,B5EXC3,SeAg_B4608,groEL,B5F2L0,869,1880,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B3943,mutM,B5EXE0,SeAg_B2464,nuoE,B5EZK6,324,2034,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B3943,mutM,B5EXE0,SeAg_B1207,SeAg_B1207,B5F2X0,324,1114,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B3943,mutM,B5EXE0,SeAg_B3162,SeAg_B3162,B5F4V7,324,2283,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B3943,mutM,B5EXE0,SeAg_B4886,SeAg_B4886,B5F521,324,358,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B3944,rpmG,B5EXE1,SeAg_B4392,rplA,B5F0W4,1183,1697,Interactome3d,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B3945,rpmB,B5EXE2,SeAg_B4672,rplI,B5F3C0,790,2583,Interactome3d,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B3949,slmA,B5EXE5,SeAg_B0150,ftsZ,B5F7W9,2235,1789,IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B0454,nrdR,B5EXF6,SeAg_B4142,trxA,B5EZ41,813,3171,IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B0454,nrdR,B5EXF6,SeAg_B4549,SeAg_B4549,B5F2G3,813,1360,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B0454,nrdR,B5EXF6,SeAg_B1390,SeAg_B1390,B5F4J6,813,3690,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B0455,ribD,B5EXF7,SeAg_B2830,SeAg_B2830,B5F297,1855,2338,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B0457,nusB,B5EXF9,SeAg_B3637,rpsJ,B5F8F3,895,1695,IntAct_Interactome3d,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B0458,thiL,B5EXG0,SeAg_B0345,SeAg_B0345,B5EWJ4,1729,328,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B0458,thiL,B5EXG0,SeAg_B3185,SeAg_B3185,B5F4X8,1729,4451,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B0462,ispA,B5EXG4,SeAg_B1241,purT,B5F3K8,277,3737,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B0472,SeAg_B0472,B5EXH3,SeAg_B3945,rpmB,B5EXE2,1011,790,IntAct_Biogrid,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B0472,SeAg_B0472,B5EXH3,SeAg_B0691,leuS,B5EZ89,1011,1322,Biogrid,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B0472,SeAg_B0472,B5EXH3,SeAg_B0769,sucA,B5EZF9,1011,1016,Biogrid,Salmonella_enterica_serovar_Agona_SL483,PPI
SeAg_B0472,SeAg_B0472,B5EXH3,SeAg_B2462,nuoG,B5EZK4,1011,3846,Biogrid,Salmonella_enterica_serovar_Agona_SL483,PPI
