Node_1_locus_tag,Node_1_gene_name_,Node_1_Uniprot_ID,Node_2_locus_tag,Node_2_gene_name,Node_2_Uniprot_ID,Node_1_orthology_group_ID,Node_2_orthology_group_ID,Source,Strain,Layer
,,,,,,,,,,
SeHA_C2361,SeHA_C2361,B4T9U5,SeHA_C1436,spy,B4TGE6,Ecoli,46,1597,Salmonella_enterica_serovar_Heidelberg_SL476,Transcriptional_regulatory
SeHA_C2361,SeHA_C2361,B4T9U5,SeHA_C2356,SeHA_C2356,B4T9U0,Ecoli,46,470,Salmonella_enterica_serovar_Heidelberg_SL476,Transcriptional_regulatory
SeHA_C2361,SeHA_C2361,B4T9U5,SeHA_C2357,mdtB,B4T9U1,Ecoli,46,488,Salmonella_enterica_serovar_Heidelberg_SL476,Transcriptional_regulatory
SeHA_C2361,SeHA_C2361,B4T9U5,SeHA_C2358,mdtC,B4T9U2,Ecoli,46,947,Salmonella_enterica_serovar_Heidelberg_SL476,Transcriptional_regulatory
SeHA_C2361,SeHA_C2361,B4T9U5,SeHA_C2359,SeHA_C2359,B4T9U3,Ecoli,46,1590,Salmonella_enterica_serovar_Heidelberg_SL476,Transcriptional_regulatory
SeHA_C2361,SeHA_C2361,B4T9U5,SeHA_C2360,SeHA_C2360,B4T9U4,Ecoli,46,4256,Salmonella_enterica_serovar_Heidelberg_SL476,Transcriptional_regulatory
SeHA_C2361,SeHA_C2361,B4T9U5,SeHA_C2361,SeHA_C2361,B4T9U5,Ecoli,46,46,Salmonella_enterica_serovar_Heidelberg_SL476,Transcriptional_regulatory
SeHA_C2361,SeHA_C2361,B4T9U5,SeHA_C2740,acrD,B4TD56,Ecoli,46,2420,Salmonella_enterica_serovar_Heidelberg_SL476,Transcriptional_regulatory
SeHA_C4156,SeHA_C4156,B4TA76,SeHA_C1739,hdeB,B4THZ7,Ecoli,60,3120,Salmonella_enterica_serovar_Heidelberg_SL476,Transcriptional_regulatory
SeHA_C4156,SeHA_C4156,B4TA76,SeHA_C4094,SeHA_C4094,B4TA16,Ecoli,60,2780,Salmonella_enterica_serovar_Heidelberg_SL476,Transcriptional_regulatory
SeHA_C4156,SeHA_C4156,B4TA76,SeHA_C4153,torD,B4TA73,Ecoli,60,1565,Salmonella_enterica_serovar_Heidelberg_SL476,Transcriptional_regulatory
SeHA_C4156,SeHA_C4156,B4TA76,SeHA_C4154,torA,B4TA74,Ecoli,60,864,Salmonella_enterica_serovar_Heidelberg_SL476,Transcriptional_regulatory
SeHA_C4156,SeHA_C4156,B4TA76,SeHA_C4155,torC,B4TA75,Ecoli,60,1580,Salmonella_enterica_serovar_Heidelberg_SL476,Transcriptional_regulatory
SeHA_C4156,SeHA_C4156,B4TA76,SeHA_C4156,SeHA_C4156,B4TA76,Ecoli,60,60,Salmonella_enterica_serovar_Heidelberg_SL476,Transcriptional_regulatory
SeHA_C2806,iscR,B4TDB7,SeHA_C0240,SeHA_C0240,B4TK31,Ecoli,107,3124,Salmonella_enterica_serovar_Heidelberg_SL476,Transcriptional_regulatory
SeHA_C2806,iscR,B4TDB7,SeHA_C0241,yadR,B4TK32,Ecoli,107,3837,Salmonella_enterica_serovar_Heidelberg_SL476,Transcriptional_regulatory
SeHA_C2806,iscR,B4TDB7,SeHA_C1474,SeHA_C1474,B4TGI2,Ecoli,107,2926,Salmonella_enterica_serovar_Heidelberg_SL476,Transcriptional_regulatory
SeHA_C2806,iscR,B4TDB7,SeHA_C1501,sufA,B4TGK5,Ecoli,107,3904,Salmonella_enterica_serovar_Heidelberg_SL476,Transcriptional_regulatory
