Node_1_locus_tag,Node_1_gene_name_,Node_1_Uniprot_ID,Node_2_locus_tag,Node_2_gene_name,Node_2_Uniprot_ID,Node_1_orthology_group_ID,Node_2_orthology_group_ID,Source,Strain,Layer
,,,,,,,,,,
SeAg_B2261,baeR,B5EXW1,SeAg_B1864,spy,B5F7I6,Ecoli,46,1597,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B2261,baeR,B5EXW1,SeAg_B2256,SeAg_B2256,B5EXV6,Ecoli,46,470,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B2261,baeR,B5EXW1,SeAg_B2257,SeAg_B2257,B5EXV7,Ecoli,46,488,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B2261,baeR,B5EXW1,SeAg_B2258,mdtC,B5EXV8,Ecoli,46,947,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B2261,baeR,B5EXW1,SeAg_B2259,SeAg_B2259,B5EXV9,Ecoli,46,1590,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B2261,baeR,B5EXW1,SeAg_B2260,SeAg_B2260,B5EXW0,Ecoli,46,4256,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B2261,baeR,B5EXW1,SeAg_B2261,baeR,B5EXW1,Ecoli,46,46,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B2261,baeR,B5EXW1,SeAg_B2625,acrD,B5F0K8,Ecoli,46,2420,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B4052,SeAg_B4052,B5EYA0,SeAg_B1603,hdeB,B5F5W9,Ecoli,60,3120,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B4052,SeAg_B4052,B5EYA0,SeAg_B3989,SeAg_B3989,B5EY38,Ecoli,60,2780,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B4052,SeAg_B4052,B5EYA0,SeAg_B4049,torD,B5EY97,Ecoli,60,1565,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B4052,SeAg_B4052,B5EYA0,SeAg_B4050,torA,B5EY98,Ecoli,60,864,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B4052,SeAg_B4052,B5EYA0,SeAg_B4051,torC,B5EY99,Ecoli,60,1580,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B4052,SeAg_B4052,B5EYA0,SeAg_B4052,SeAg_B4052,B5EYA0,Ecoli,60,60,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B2699,iscR,B5F1C1,SeAg_B0241,SeAg_B0241,B5F8R6,Ecoli,107,3124,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B2699,iscR,B5F1C1,SeAg_B0242,yadR,B5F8R7,Ecoli,107,3837,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B2699,iscR,B5F1C1,SeAg_B1797,SeAg_B1797,B5F7C3,Ecoli,107,1450,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B2699,iscR,B5F1C1,SeAg_B1798,SeAg_B1798,B5F7C4,Ecoli,107,1741,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B2699,iscR,B5F1C1,SeAg_B1799,sufD,B5F7C5,Ecoli,107,880,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B2699,iscR,B5F1C1,SeAg_B1800,sufC,B5F7C6,Ecoli,107,2620,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B2699,iscR,B5F1C1,SeAg_B1801,sufB,B5F7C7,Ecoli,107,2832,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B2699,iscR,B5F1C1,SeAg_B1802,sufA,B5F7C8,Ecoli,107,3904,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B2699,iscR,B5F1C1,SeAg_B1828,SeAg_B1828,B5F7F0,Ecoli,107,2926,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B2699,iscR,B5F1C1,SeAg_B1829,SeAg_B1829,B5F7F1,Ecoli,107,1152,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B2699,iscR,B5F1C1,SeAg_B2699,iscR,B5F1C1,Ecoli,107,107,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B2699,iscR,B5F1C1,SeAg_B3712,gntX,B5F8M7,Ecoli,107,3232,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B2699,iscR,B5F1C1,SeAg_B3713,gntY,B5F8M8,Ecoli,107,350,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B1491,fnr,B5F5B3,SeAg_B0080,caiA,B5F752,Ecoli,147,2824,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B1491,fnr,B5F5B3,SeAg_B0081,caiT,B5F753,Ecoli,147,450,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B1491,fnr,B5F5B3,SeAg_B0173,pdhR,B5F7Z0,Ecoli,147,848,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B1491,fnr,B5F5B3,SeAg_B0174,aceE,B5F7Z1,Ecoli,147,2895,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B1491,fnr,B5F5B3,SeAg_B0175,aceF,B5F7Z2,Ecoli,147,68,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B1491,fnr,B5F5B3,SeAg_B0478,cyoE,B5EXH9,Ecoli,147,185,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B1491,fnr,B5F5B3,SeAg_B0479,cyoD,B5EXI0,Ecoli,147,1172,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B1491,fnr,B5F5B3,SeAg_B0480,cyoC,B5EXI1,Ecoli,147,899,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B1491,fnr,B5F5B3,SeAg_B0481,cyoB,B5EXI2,Ecoli,147,886,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B1491,fnr,B5F5B3,SeAg_B0482,cyoA,B5EXI3,Ecoli,147,43,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B1491,fnr,B5F5B3,SeAg_B0658,SeAg_B0658,B5EYK8,Ecoli,147,2185,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B1491,fnr,B5F5B3,SeAg_B0659,citG,B5EYK9,Ecoli,147,6228,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B1491,fnr,B5F5B3,SeAg_B0660,citX,B5EYL0,Ecoli,147,4037,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B1491,fnr,B5F5B3,SeAg_B0661,citF,B5EYL1,Ecoli,147,1842,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B1491,fnr,B5F5B3,SeAg_B0662,citE,B5EYL2,Ecoli,147,220,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B1491,fnr,B5F5B3,SeAg_B0663,citD,B5EYL3,Ecoli,147,705,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B1491,fnr,B5F5B3,SeAg_B0664,citC,B5EYL4,Ecoli,147,2843,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B1491,fnr,B5F5B3,SeAg_B0668,dcuC,B5EYL8,Ecoli,147,862,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B1491,fnr,B5F5B3,SeAg_B0776,cydA,B5F023,Ecoli,147,288,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B1491,fnr,B5F5B3,SeAg_B0777,cydB1,B5F024,Ecoli,147,1849,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B1491,fnr,B5F5B3,SeAg_B0778,SeAg_B0778,B5F025,Ecoli,147,3674,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B1491,fnr,B5F5B3,SeAg_B0779,SeAg_B0779,B5F026,Ecoli,147,3254,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B1491,fnr,B5F5B3,SeAg_B0837,moaA,B5F079,Ecoli,147,3898,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B1491,fnr,B5F5B3,SeAg_B0838,moaB,B5F080,Ecoli,147,2276,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B1491,fnr,B5F5B3,SeAg_B0839,moaC,B5F081,Ecoli,147,2563,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B1491,fnr,B5F5B3,SeAg_B0840,moaD,B5F082,Ecoli,147,3466,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B1491,fnr,B5F5B3,SeAg_B0841,moaE,B5F083,Ecoli,147,1750,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B1491,fnr,B5F5B3,SeAg_B0842,SeAg_B0842,B5F084,Ecoli,147,1999,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B1491,fnr,B5F5B3,SeAg_B0886,moeB,B5F0W9,Ecoli,147,571,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B1491,fnr,B5F5B3,SeAg_B0887,moeA,B5F0X0,Ecoli,147,306,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B1491,fnr,B5F5B3,SeAg_B0936,hcr,B5F117,Ecoli,147,2403,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B1491,fnr,B5F5B3,SeAg_B0937,hcp,B5F118,Ecoli,147,753,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B1491,fnr,B5F5B3,SeAg_B0969,SeAg_B0969,B5F147,Ecoli,147,3216,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B1491,fnr,B5F5B3,SeAg_B0970,dmsB_2,B5F148,Ecoli,147,3610,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B1491,fnr,B5F5B3,SeAg_B0971,dmsC1,B5F149,Ecoli,147,1060,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B1491,fnr,B5F5B3,SeAg_B0978,pflB2,B5F155,Ecoli,147,2570,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B1491,fnr,B5F5B3,SeAg_B0979,SeAg_B0979,B5F156,Ecoli,147,612,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B1491,fnr,B5F5B3,SeAg_B1362,hemA,B5F4H5,Ecoli,147,803,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B1491,fnr,B5F5B3,SeAg_B1363,prfA,B5F4H6,Ecoli,147,1898,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B1491,fnr,B5F5B3,SeAg_B1364,hemK,B5F4H7,Ecoli,147,366,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B1491,fnr,B5F5B3,SeAg_B1365,SeAg_B1365,B5F4H8,Ecoli,147,2989,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
SeAg_B1491,fnr,B5F5B3,SeAg_B1366,sirB1,B5F4H9,Ecoli,147,2669,Salmonella_enterica_serovar_Agona_SL483,Transcriptional_regulatory
