Node_1_locus_tag,Node_1_gene_name_,Node_1_Uniprot_ID,Node_2_locus_tag,Node_2_gene_name,Node_2_Uniprot_ID,Node_1_orthology_group_ID,Node_2_orthology_group_ID,Source,Strain,Layer
,,,,,,,,,,
SPA0734,baeR,Q5PDX1,SPA0388,acrD,Q5PCQ3,Ecoli,46,2420,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Transcriptional_regulatory
SPA0734,baeR,Q5PDX1,SPA0734,baeR,Q5PDX1,Ecoli,46,46,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Transcriptional_regulatory
SPA0734,baeR,Q5PDX1,SPA0735,baeS,Q5PDX0,Ecoli,46,4256,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Transcriptional_regulatory
SPA0734,baeR,Q5PDX1,SPA0736,yegB,Q5PDW9,Ecoli,46,1590,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Transcriptional_regulatory
SPA0734,baeR,Q5PDX1,SPA0737,yegO,Q5PDW8,Ecoli,46,947,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Transcriptional_regulatory
SPA0734,baeR,Q5PDX1,SPA0738,yegN,Q5PDW7,Ecoli,46,488,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Transcriptional_regulatory
SPA0734,baeR,Q5PDX1,SPA1536,spy,Q5PHB4,Ecoli,46,1597,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Transcriptional_regulatory
SPA3674,torR,Q5PKT1,SPA1308,SPA1308,Q5PHK3,Ecoli,60,3120,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Transcriptional_regulatory
SPA3674,torR,Q5PKT1,SPA3614,mgtC,Q5PC53,Ecoli,60,2780,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Transcriptional_regulatory
SPA3674,torR,Q5PKT1,SPA3671,torD,Q5PKT4,Ecoli,60,1565,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Transcriptional_regulatory
SPA3674,torR,Q5PKT1,SPA3672,torA,Q5PKT3,Ecoli,60,864,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Transcriptional_regulatory
SPA3674,torR,Q5PKT1,SPA3673,torC,Q5PKT2,Ecoli,60,1580,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Transcriptional_regulatory
SPA3674,torR,Q5PKT1,SPA3674,torR,Q5PKT1,Ecoli,60,60,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Transcriptional_regulatory
SPA0322,yfhP,Q5PNG2,SPA0209,yadQ,Q5PD50,Ecoli,107,3124,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Transcriptional_regulatory
SPA0322,yfhP,Q5PNG2,SPA0210,yadR,Q5PD49,Ecoli,107,3837,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Transcriptional_regulatory
SPA0322,yfhP,Q5PNG2,SPA0322,yfhP,Q5PNG2,Ecoli,107,107,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Transcriptional_regulatory
SPA0322,yfhP,Q5PNG2,SPA0603,napF,Q5PI35,Ecoli,107,3301,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Transcriptional_regulatory
SPA0322,yfhP,Q5PNG2,SPA0604,yojF,Q5PI58,Ecoli,107,4359,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Transcriptional_regulatory
SPA0322,yfhP,Q5PNG2,SPA0605,napA,Q5PI61,Ecoli,107,2263,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Transcriptional_regulatory
SPA0322,yfhP,Q5PNG2,SPA0606,napG,Q5PI60,Ecoli,107,455,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Transcriptional_regulatory
SPA0322,yfhP,Q5PNG2,SPA0607,napH,Q5PI59,Ecoli,107,3241,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Transcriptional_regulatory
SPA0322,yfhP,Q5PNG2,SPA1082,hyaF,Q5PI81,Ecoli,107,1761,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Transcriptional_regulatory
SPA0322,yfhP,Q5PNG2,SPA1083,hyaE,Q5PI82,Ecoli,107,3291,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Transcriptional_regulatory
SPA0322,yfhP,Q5PNG2,SPA1084,hyaD,Q5PI80,Ecoli,107,543,Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150,Transcriptional_regulatory
