Node_1_locus_tag,Node_1_gene_name_,Node_1_Uniprot_ID,Node_2_locus_tag,Node_2_gene_name,Node_2_Uniprot_ID,Node_1_orthology_group_ID,Node_2_orthology_group_ID,Source,Strain,Layer
SNSL254_A0108,araD,B4SU22,SNSL254_A0110,araB,B4SU24,709,1029,STM_BioModels,Salmonella_enterica_serovar_Newport_SL254,Metabolic
SNSL254_A0108,araD,B4SU22,SNSL254_A3955,sgbE,B4SWM5,709,4275,STM,Salmonella_enterica_serovar_Newport_SL254,Metabolic
SNSL254_A0108,araD,B4SU22,SNSL254_A4748,ulaE,B4T3E8,709,1663,STM,Salmonella_enterica_serovar_Newport_SL254,Metabolic
SNSL254_A0108,araD,B4SU22,SNSL254_A4749,sgaE,B4T3E9,709,3474,STM,Salmonella_enterica_serovar_Newport_SL254,Metabolic
SNSL254_A0109,araA,B4SU23,SNSL254_A3247,SNSL254_A3247,B4T510,180,714,STM,Salmonella_enterica_serovar_Newport_SL254,Metabolic
SNSL254_A0110,araB,B4SU24,SNSL254_A0109,araA,B4SU23,1029,180,STM,Salmonella_enterica_serovar_Newport_SL254,Metabolic
SNSL254_A0110,araB,B4SU24,SNSL254_A3939,xylA,B4SWK9,1029,1214,STM,Salmonella_enterica_serovar_Newport_SL254,Metabolic
SNSL254_A0110,araB,B4SU24,SNSL254_A3949,SNSL254_A3949,B4SWL9,1029,2155,STM,Salmonella_enterica_serovar_Newport_SL254,Metabolic
SNSL254_A0110,araB,B4SU24,SNSL254_A3950,SNSL254_A3950,B4SWM0,1029,1599,STM,Salmonella_enterica_serovar_Newport_SL254,Metabolic
SNSL254_A0110,araB,B4SU24,SNSL254_A3951,SNSL254_A3951,B4SWM1,1029,181,STM,Salmonella_enterica_serovar_Newport_SL254,Metabolic
SNSL254_A0110,araB,B4SU24,SNSL254_A3952,SNSL254_A3952,B4SWM2,1029,3725,STM,Salmonella_enterica_serovar_Newport_SL254,Metabolic
SNSL254_A0110,araB,B4SU24,SNSL254_A3954,SNSL254_A3954,B4SWM4,1029,1056,BioModels,Salmonella_enterica_serovar_Newport_SL254,Metabolic
SNSL254_A0110,araB,B4SU24,SNSL254_A4329,rhaA,B4SZZ1,1029,1164,STM,Salmonella_enterica_serovar_Newport_SL254,Metabolic
SNSL254_A0110,araB,B4SU24,SNSL254_A4338,SNSL254_A4338,B4T000,1029,1599,STM,Salmonella_enterica_serovar_Newport_SL254,Metabolic
SNSL254_A0110,araB,B4SU24,SNSL254_A4339,SNSL254_A4339,B4T001,1029,2155,STM,Salmonella_enterica_serovar_Newport_SL254,Metabolic
SNSL254_A0110,araB,B4SU24,SNSL254_A4340,SNSL254_A4340,B4T002,1029,181,STM,Salmonella_enterica_serovar_Newport_SL254,Metabolic
SNSL254_A0110,araB,B4SU24,SNSL254_A3425,SNSL254_A3425,B4T637,1029,181,STM,Salmonella_enterica_serovar_Newport_SL254,Metabolic
SNSL254_A0110,araB,B4SU24,SNSL254_A3426,SNSL254_A3426,B4T638,1029,2155,STM,Salmonella_enterica_serovar_Newport_SL254,Metabolic
SNSL254_A0110,araB,B4SU24,SNSL254_A3427,SNSL254_A3427,B4T639,1029,1599,STM,Salmonella_enterica_serovar_Newport_SL254,Metabolic
SNSL254_A0115,tbpA,B4SU29,SNSL254_A0114,thiP,B4SU28,838,2597,STM,Salmonella_enterica_serovar_Newport_SL254,Metabolic
SNSL254_A0122,leuD,B4SU33,SNSL254_A0123,leuC,B4SU34,3377,3973,STM_BioModels,Salmonella_enterica_serovar_Newport_SL254,Metabolic
SNSL254_A0122,leuD,B4SU33,SNSL254_A0125,leuA,B4SU36,3377,3577,BioModels,Salmonella_enterica_serovar_Newport_SL254,Metabolic
