Node_1_locus_tag,Node_1_gene_name_,Node_1_Uniprot_ID,Node_2_locus_tag,Node_2_gene_name,Node_2_Uniprot_ID,Node_1_orthology_group_ID,Node_2_orthology_group_ID,Source,Strain,Layer
,,,,,,,,,,
SL1344_0874,poxB,E1W6W8,SL1344_0584,entE,E1W997,2147,614,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Typhimurium_SL1344,PPI
SL1344_0874,poxB,E1W6W8,SL1344_1284,SL1344_1284,E1WFL7,2147,614,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Typhimurium_SL1344,PPI
SL1344_0875,hcr,E1W6W9,SL1344_0592,SL1344_0592,E1W9A5,2403,3654,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Typhimurium_SL1344,PPI
SL1344_0875,hcr,E1W6W9,SL1344_2823,hydN,E1WA88,2403,3570,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Typhimurium_SL1344,PPI
SL1344_0875,hcr,E1W6W9,SL1344_2294,nuoE,E1WCG5,2403,2034,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Typhimurium_SL1344,PPI
SL1344_0875,hcr,E1W6W9,SL1344_3124,hyb0,E1WHT8,2403,2290,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Typhimurium_SL1344,PPI
SL1344_0876,SL1344_0876,E1W6X0,SL1344_0592,SL1344_0592,E1W9A5,753,3654,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Typhimurium_SL1344,PPI
SL1344_0876,SL1344_0876,E1W6X0,SL1344_4221,SC4B5.11c,E1WEX5,753,4388,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Typhimurium_SL1344,PPI
SL1344_0882,cspD,E1W6X6,SL1344_3593,dppD,E1WD57,1464,1907,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Typhimurium_SL1344,PPI
SL1344_0882,cspD,E1W6X6,SL1344_1766,cspC,E1WG74,1464,2817,IntAct_Interactome3d,Salmonella_enterica_serovar_Typhimurium_SL1344,PPI
SL1344_0883,SL1344_0883,E1W6X7,SL1344_0806,dps,E1W9W7,3655,2497,IntAct_Interactome3d,Salmonella_enterica_serovar_Typhimurium_SL1344,PPI
SL1344_0884,clpA,E1W6X8,SL1344_0883,SL1344_0883,E1W6X7,2135,3655,IntAct_Interactome3d_Biogrid,Salmonella_enterica_serovar_Typhimurium_SL1344,PPI
SL1344_0884,clpA,E1W6X8,SL1344_0806,dps,E1W9W7,2135,2497,IntAct,Salmonella_enterica_serovar_Typhimurium_SL1344,PPI
SL1344_0888,SL1344_0888,E1W6Y2,SL1344_1838,SL1344_1838,E1WGE4,957,1629,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Typhimurium_SL1344,PPI
SL1344_0891,infA,E1W6Y5,SL1344_3137,SL1344_3137,E1WHV1,1563,400,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Typhimurium_SL1344,PPI
SL1344_0891,infA,E1W6Y5,SL1344_3415,rpsL,E1WIM5,1563,2035,Interactome3d,Salmonella_enterica_serovar_Typhimurium_SL1344,PPI
SL1344_0893,aat,E1W6Y7,SL1344_3086,SL1344_3086,E1WHQ0,1572,135,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Typhimurium_SL1344,PPI
