Node_1_locus_tag,Node_1_gene_name_,Node_1_Uniprot_ID,Node_2_locus_tag,Node_2_gene_name,Node_2_Uniprot_ID,Node_1_orthology_group_ID,Node_2_orthology_group_ID,Source,Strain,Layer
SC0713,fur,Q57RP2,SC0713,fur,Q57RP2,552,552,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC1722,trpB,Q57NT3,SC1722,trpB,Q57NT3,955,955,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC1123,flgD,Q57QI2,SC1979,fliK,Q57N26,2525,1271,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC1124,flgE,Q57QI1,SC1979,fliK,Q57N26,1912,1271,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC1977,fliI,Q57N28,SC1920,flhA,Q57N85,703,2018,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC1977,fliI,Q57N28,SC2828,invA,Q57KM8,703,2018,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC1920,flhA,Q57N85,SC1443,ssaU,Q57PL2,2018,1220,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC2828,invA,Q57KM8,SC1443,ssaU,Q57PL2,2018,1220,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC1920,flhA,Q57N85,SC1921,flhB,Q57N84,2018,1220,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC2828,invA,Q57KM8,SC1921,flhB,Q57N84,2018,1220,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC1976,fliH,Q57N29,SC1920,flhA,Q57N85,3533,2018,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC1976,fliH,Q57N29,SC2828,invA,Q57KM8,3533,2018,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC1920,flhA,Q57N85,SC1978,fliJ,Q57N27,2018,3031,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC2828,invA,Q57KM8,SC1978,fliJ,Q57N27,2018,3031,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC2058,pduO,Q57MU7,SC2061,pduS,Q57MU4,1040,1270,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC2061,pduS,Q57MU4,SC2061,pduS,Q57MU4,1270,1270,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC1363,ydiV,Q57PU2,SC1931,flhC,Q57N74,1152,4015,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC1690,ydiV,Q57NW5,SC1931,flhC,Q57N74,1152,4015,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC1976,fliH,Q57N29,SC1982,fliN,Q57N23,3533,1656,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC0997,sodC,Q57QV8,SC0997,sodC,Q57QV8,2153,2153,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC1930,motA,Q57N75,SC1929,motB,Q57N76,4140,923,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC1962,fliC,P06176,SC1965,fliS,Q57N40,1976,796,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC1719,trpE,Q57NT6,SC1720,trpD,Q57NT5,1668,1176,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC1572,ompD,Q57P83,SC1533,ydeI,Q57PC2,4094,649,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC1974,fliF,Q57N31,SC1981,fliM,Q57N24,1571,1344,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC1419,sseB,Q57PN6,SC1418,sseA,Q57PN7,879,2557,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC1418,sseA,Q57PN7,SC1422,sseD,Q57PN3,2557,2357,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC0394,mtrC,Q57SL1,SC3130,tolC,Q57JS6,3813,559,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC1927,cheW,Q57N78,SC2762,recA,Q57KU4,3859,3140,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC1119,flgM,H9L4V0,SC1965,fliS,Q57N40,3697,796,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC1436,ssaN,Q57PL9,SC1436,ssaN,Q57PL9,2569,2569,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC1439,ssaQ,Q57PL6,SC1436,ssaN,Q57PL9,73,2569,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC1432,ssaK,Q57PM3,SC1436,ssaN,Q57PL9,2274,2569,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC1420,SC1420,Q57PN5,SC1436,ssaN,Q57PL9,1420,2569,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC1424,SC1424,Q57PN1,SC1436,ssaN,Q57PL9,3034,2569,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC1418,sseA,Q57PN7,SC1436,ssaN,Q57PL9,2557,2569,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC1419,sseB,Q57PN6,SC1417,ssaE,Q57PN8,879,2108,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC2816,sipC,Q57KP0,SC2816,sipC,Q57KP0,10,10,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC1119,flgM,H9L4V0,SC3050,trmB,Q57K06,3697,941,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC1119,flgM,H9L4V0,SC2281,nrdB,Q57M75,3697,1760,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC1119,flgM,H9L4V0,SC2275,gyrA,Q57M81,3697,3730,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC1119,flgM,H9L4V0,SC1960,fliA,Q57N45,3697,678,Lit_Ecoli_IntAct_Interactome3d,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC1119,flgM,H9L4V0,SC1928,cheA,Q57N77,3697,1259,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4443,arcA,Q57G13,SC3950,cpxR,Q57HF6,2438,290,IntAct_Interactome3d,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4443,arcA,Q57G13,SC3130,tolC,Q57JS6,2438,559,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4433,creB,Q57G23,SC4434,creC,Q57G22,483,1606,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4433,creB,Q57G23,SC2791,hypE,Q57KR5,483,71,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4424,radA,Q57G32,SC0646,rnk,Q57RV9,691,2799,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4417,deoB,Q57G39,SC1842,proQ,Q57NG3,1641,2695,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4413,yjjW,Q57G43,SC3848,xerC,Q57HQ8,358,3220,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4413,yjjW,Q57G43,SC3715,ilvN,Q57I41,358,1245,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4413,yjjW,Q57G43,SC3522,yhiQ,Q57IN4,358,4197,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4413,yjjW,Q57G43,SC3439,yhgG,Q57IW7,358,2437,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4413,yjjW,Q57G43,SC2557,yfhA,Q57LE9,358,2537,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4413,yjjW,Q57G43,SC1807,minC,Q57NJ8,358,970,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4413,yjjW,Q57G43,SC1793,ldcA,Q57NL2,358,2164,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4413,yjjW,Q57G43,SC0777,modE,Q57RH8,358,710,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4413,yjjW,Q57G43,SC0774,galE,Q57RI1,358,3536,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4413,yjjW,Q57G43,SC0488,bolA,Q57SB7,358,2567,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4413,yjjW,Q57G43,SC0432,yaiE,Q57SH3,358,2672,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4409,osmY,Q57G47,SC3509,dcrB,Q57IP7,127,1265,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4406,rimI,Q57G50,SC1814,yeaZ,Q57NJ1,949,3487,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4403,yhcK,Q57G53,SC1959,fliZ,Q57N46,260,3834,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4403,yhcK,Q57G53,SC1129,flgJ,Q57QH6,260,2165,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4402,fhuF,Q57G54,SC3821,trxA,Q57HT5,1758,3171,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4402,fhuF,Q57G54,SC3513,nikR,Q57IP3,1758,2652,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4402,fhuF,Q57G54,SC2953,lysR,Q57KA3,1758,2198,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4402,fhuF,Q57G54,SC0651,citE,Q57RV4,1758,220,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4402,fhuF,Q57G54,SC0471,phnR,Q57SD4,1758,253,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4396,dnaT,Q57G60,SC4125,dnaB,Q57GY1,4291,1004,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4395,dnaC,Q57G61,SC4125,dnaB,Q57GY1,698,1004,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4395,dnaC,Q57G61,SC3756,dnaA,Q57I00,698,195,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4385,tsr,Q57G71,SC4061,metA,Q57H45,1740,262,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4385,tsr,Q57G71,SC1928,cheA,Q57N77,1740,1259,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4385,tsr,Q57G71,SC1924,cheB,Q57N81,1740,1518,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4385,tsr,Q57G71,SC1923,cheY,Q57N82,1740,2383,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4385,tsr,Q57G71,SC1922,cheZ,Q57N83,1740,1114,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4385,tsr,Q57G71,SC1129,flgJ,Q57QH6,1740,2165,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4382,yjiA,Q57G74,SC3821,trxA,Q57HT5,567,3171,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4341,idnK,Q57GB5,SC2951,SC2951,Q57KA5,33,2283,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4341,idnK,Q57GB5,SC2429,pthP,Q57LS7,33,561,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4341,idnK,Q57GB5,SC0635,ybdM,Q57RX0,33,3654,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4339,idnO,Q57GB7,SC2171,yehR,Q57MI4,82,404,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4339,idnO,Q57GB7,SC1842,proQ,Q57NG3,82,2695,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4325,yjgD,Q57GD1,SC2556,glnB,Q57LF0,2816,2233,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4315,pyrB,Q57GE1,SC4314,pyrI,Q57GE2,1522,3339,Lit_Ecoli_IntAct_Interactome3d,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4306,nrdG,Q57GF0,SC4307,nrdD,Q57GE9,1285,3575,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4304,relB,Q57GF2,SC4305,relE,Q57GF1,1934,3329,Interactome3d,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4304,relB,Q57GF2,SC166,relE,Q5J3S3,1934,3329,Interactome3d,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4290,mpl,Q57GG6,SC3182,yhaK,Q57JM4,839,3148,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4283,msrA,Q57GH3,SC3467,glgX,Q57IT9,1157,1239,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4271,fklB,Q57GI5,SC3821,trxA,Q57HT5,2430,3171,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4271,fklB,Q57GI5,SC3090,hybA,Q57JW6,2430,989,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4271,fklB,Q57GI5,SC2776,hydN,Q57KT0,2430,3570,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4271,fklB,Q57GI5,SC1729,ykgJ,Q57NS6,2430,3375,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4270,ytfB,Q57GI6,SC2969,stdA,Q57K87,2762,4451,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4267,rpsR,Q57GI9,SC4265,rpsF,Q57GJ1,2540,3422,Lit_Ecoli_IntAct_Interactome3d,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4267,rpsR,Q57GI9,SC3352,rpsK,Q57J54,2540,1517,Interactome3d,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4266,priB,Q57GJ0,SC4396,dnaT,Q57G60,28,4291,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4266,priB,Q57GJ0,SC4125,dnaB,Q57GY1,28,1004,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4255,yjfQ,Q57GK1,SC2656,yfiQ,Q57L50,1700,133,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4244,vacB,Q57GL2,SC2861,ispF,Q57KJ5,3992,1947,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4244,vacB,Q57GL2,SC0184,pcnB,Q57T71,3992,2476,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4240,hflC,Q57GL6,SC3234,hflB,Q57JH2,546,1362,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4240,hflC,Q57GL6,SC2517,yfgL,Q57LI9,546,1622,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4239,hflK,Q57GL7,SC3759,yidC,Q57HZ7,1497,3987,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4239,hflK,Q57GL7,SC3234,hflB,Q57JH2,1497,1362,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4237,hfq,Q57GL9,SC0184,pcnB,Q57T71,1130,2476,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4236,miaA,Q57GM0,SC0117,mraW,Q57TD8,1861,1182,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4236,miaA,Q57GM0,SC0115,fruR,Q57TE0,1861,191,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4235,mutL,Q57GM1,SC2762,recA,Q57KU4,1579,3140,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4235,mutL,Q57GM1,SC0676,holA,Q57RS9,1579,298,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4233,yjeE,Q57GM3,SC1814,yeaZ,Q57NJ1,1711,3487,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4225,yjeO,Q57GN1,SC3358,rplR,Q57J48,4339,179,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4222,frdA,Q57GN4,SC4221,frdB,Q57GN5,1770,2693,IntAct_Interactome3d,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4222,frdA,Q57GN4,SC4219,frdD,Q57GN7,1770,291,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4222,frdA,Q57GN4,SC1728,ompW,Q57NS7,1770,2333,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4222,frdA,Q57GN4,SC0884,ybjP,Q57R71,1770,1863,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4221,frdB,Q57GN5,SC2647,yfiC,Q57L59,2693,1706,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4221,frdB,Q57GN5,SC1728,ompW,Q57NS7,2693,2333,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4220,frdC,Q57GN6,SC4222,frdA,Q57GN4,2646,1770,IntAct_Interactome3d,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4220,frdC,Q57GN6,SC4221,frdB,Q57GN5,2646,2693,Interactome3d,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4220,frdC,Q57GN6,SC4219,frdD,Q57GN7,2646,291,Interactome3d,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4219,frdD,Q57GN7,SC4221,frdB,Q57GN5,291,2693,Interactome3d,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4213,efp,Q57GP3,SC4223,yjeA,Q57GN3,2151,4168,Interactome3d,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4213,efp,Q57GP3,SC3821,trxA,Q57HT5,2151,3171,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4212,yjeK,Q57GP4,SC1119,flgM,H9L4V0,2668,3697,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4212,yjeK,Q57GP4,SC3577,yiaD,Q57IH9,2668,1412,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4212,yjeK,Q57GP4,SC1982,fliN,Q57N23,2668,1656,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
SC4212,yjeK,Q57GP4,SC1977,fliI,Q57N28,2668,703,IntAct,Salmonella_enterica_serovar_Choleraesuis_SC-B67,PPI
