Node_1_locus_tag,Node_1_gene_name_,Node_1_Uniprot_ID,Node_2_locus_tag,Node_2_gene_name,Node_2_Uniprot_ID,Node_1_orthology_group_ID,Node_2_orthology_group_ID,Source,Strain,Layer
,,,,,,,,,,
t4155,aphA,O08430,t1935,ompF,Q56113,1278,2449,STM,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t2671,iroE,O54506,t2275,ybdA,Q8Z8L4,855,811,STM,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t0156,aroP,P0A188,t1935,ompF,Q56113,3270,2449,STM,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t0156,aroP,P0A188,t3197,t3197,Q8Z3I2,3270,1800,STM,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t3325,ubiB,P0A198,t0508,ubiX,P0A246,2490,15,STM,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t3325,ubiB,P0A198,t3319,yigC,Q8Z3C3,2490,985,STM,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t1648,yciA,P0A1A2,t2541,fadE,Q8Z937,342,1018,BioModels,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t4153,alr,P0A1A4,t2484,ddl,P0A1F1,1202,1125,BioModels,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t4153,alr,P0A1A4,t1075,dadX,Q8Z688,1202,3068,STM,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t4153,alr,P0A1A4,t0134,ddl,Q8Z9G7,1202,1913,BioModels,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t3395,ilvE,P0A1A6,t0156,aroP,P0A188,1118,3270,STM,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t3395,ilvE,P0A1A6,t1936,aspC,Q56114,1118,2397,STM,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t3395,ilvE,P0A1A6,STY4444,STY4444,Q8Z1S9,1118,1188,STM,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t3395,ilvE,P0A1A6,t3394,ilvD,Q8Z377,1118,735,BioModels,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t3395,ilvE,P0A1A6,t2293,pheP,Q8Z8M8,1118,218,STM,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t3395,ilvE,P0A1A6,t0116,leuB,Q8Z9I1,1118,3616,STM_BioModels,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t3395,ilvE,P0A1A6,t0048,ileS,Q8Z9N2,1118,3113,BioModels,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t2625,aroF,P0A1B6,t1228,aroH,Q8Z6I9,92,3673,STM,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t2625,aroF,P0A1B6,t2118,aroG,Q8Z8B5,92,2962,STM,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t3655,atpC,P0A1B8,t3651,atpH,Q8XFM9,3343,3635,STM,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t3655,atpC,P0A1B8,t3652,atpA,Q8XG95,3343,2601,STM,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t3655,atpC,P0A1B8,t3654,atpD,Q8XGX4,3343,2818,STM,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t3655,atpC,P0A1B8,t3653,atpG,Q8Z2Q5,3343,3194,STM,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t3655,atpC,P0A1B8,t3647,atpI,Q8Z2Q6,3343,206,STM,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t0233,accA,P0A1C4,t3295,accC,Q8XF58,501,1824,STM_BioModels,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t0233,accA,P0A1C4,t0498,accD,Q8XFJ5,501,2027,STM_BioModels,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t0233,accA,P0A1C4,t3294,accB,Q8XGD9,501,1341,STM_BioModels,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t0233,accA,P0A1C4,t0176,yadF,Q8Z9D8,501,3047,STM,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t3617,hemN,P0A1E2,t3464,hemE,Q8Z329,676,2897,STM_BioModels,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t3617,hemN,P0A1E2,t3016,t3016,Q8Z3U5,676,1110,BioModels,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t3617,hemN,P0A1E2,t2093,bioB,Q8Z893,676,1192,BioModels,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t0427,cysK,P0A1E4,t3820,cysE,Q8Z2E9,2032,2418,STM_BioModels,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t0427,cysK,P0A1E4,t0418,cysM,Q8Z4V7,2032,3693,STM_BioModels,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t0427,cysK,P0A1E4,t2401,t2401,Q8Z8U6,2032,3432,BioModels,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t2484,ddl,P0A1F1,t0134,ddl,Q8Z9G7,1125,1913,STM,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t3350,dapF,P0A1F3,t0376,dapE,Q8Z4S2,3993,3592,STM,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t3329,udp,P0A1F7,t0750,udk,P67409,2760,1109,BioModels,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t3329,udp,P0A1F7,t0672,cdd,Q8Z5A8,2760,2753,BioModels,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t3981,asd,P0A1F9,t4126,lysC,Q8Z1U8,1851,3224,BioModels,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t3981,asd,P0A1F9,t3517,metL,Q8Z2Z6,1851,1149,STM_BioModels,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t3981,asd,P0A1F9,t0002,thrA,Q8Z9R7,1851,3565,STM_BioModels,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t0228,fabZ,P0A1I0,t1725,fabG,P0A2D0,3458,41,STM,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t0810,phsB,P0A1I2,t0811,phsC,Q8Z5K5,3354,2395,STM,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t2963,fldB,P0A1N7,t4486,nrdD,Q8Z137,3198,3575,STM,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t2963,fldB,P0A1N7,t4485,nrdG,Q8Z138,3198,1285,STM,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t2024,grxA,P0A1P9,t2834,cysC,P63890,3866,2794,STM,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t2024,grxA,P0A1P9,t1755,grxB,Q8XG23,3866,1200,STM,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t2024,grxA,P0A1P9,t1301,ydhD,Q8XGR7,3866,1938,STM,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t1303,gloA,P0A1Q3,t1844,mgsA,P65351,3522,1209,STM,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t1303,gloA,P0A1Q3,t0237,t0237,Q8Z997,3522,1030,STM,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t1099,hemA,P0A1Q7,t0442,gltX,P0A2K4,803,1974,STM_BioModels,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t3359,hemC,P0A1Q9,t2492,hemB,Q8XGH0,1108,2875,STM,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t0796,hisF,P0A1R3,t0797,hisA,Q8Z5J7,1098,3193,STM,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t0796,hisF,P0A1R3,t1688,purB,Q8Z7H1,1098,486,BioModels,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t0796,hisF,P0A1R3,t2377,apt,Q8Z8T4,1098,4124,BioModels,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t0798,hisH,P0A1R5,t0796,hisF,P0A1R3,1699,1098,STM,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t0798,hisH,P0A1R5,t0797,hisA,Q8Z5J7,1699,3193,STM,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t0798,hisH,P0A1R5,t1688,purB,Q8Z7H1,1699,486,BioModels,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
t0798,hisH,P0A1R5,t2377,apt,Q8Z8T4,1699,4124,BioModels,Salmonella_enterica_serovar_Typhi_strain_CT18,Metabolic
