Node_1_locus_tag,Node_1_gene_name_,Node_1_Uniprot_ID,Node_2_locus_tag,Node_2_gene_name,Node_2_Uniprot_ID,Node_1_orthology_group_ID,Node_2_orthology_group_ID,Source,Strain,Layer
,,,,,,,,,,
SL1344_2108,baeR,E1WH64,SL1344_1243,SL1344_1243,E1WFH5,Ecoli,46,1597,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_2108,baeR,E1WH64,SL1344_2103,SL1344_2103,E1WH59,Ecoli,46,470,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_2108,baeR,E1WH64,SL1344_2104,yegN,E1WH60,Ecoli,46,488,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_2108,baeR,E1WH64,SL1344_2105,SL1344_2105,E1WH61,Ecoli,46,947,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_2108,baeR,E1WH64,SL1344_2106,yegB,E1WH62,Ecoli,46,1590,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_2108,baeR,E1WH64,SL1344_2107,baeS,E1WH63,Ecoli,46,4256,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_2108,baeR,E1WH64,SL1344_2108,baeR,E1WH64,Ecoli,46,46,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_2108,baeR,E1WH64,SL1344_2444,acrD,E1WCW5,Ecoli,46,2420,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_3790,torR,E1WDP9,SL1344_1492,SL1344_1492,E1WBP3,Ecoli,60,3120,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_3790,torR,E1WDP9,SL1344_3729,mgtC,E1WDI9,Ecoli,60,2780,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_3790,torR,E1WDP9,SL1344_3787,torD,E1WDP6,Ecoli,60,1565,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_3790,torR,E1WDP9,SL1344_3788,torA,E1WDP7,Ecoli,60,864,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_3790,torR,E1WDP9,SL1344_3789,torC,E1WDP8,Ecoli,60,1580,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_3790,torR,E1WDP9,SL1344_3790,torR,E1WDP9,Ecoli,60,60,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_3790,torR,E1WDP9,SL1344_P1_0097,srgC,H8WUT7,Ecoli,60,4838,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_2506,SL1344_2506,E1WJ20,SL1344_0204,clcA,E1W875,Ecoli,107,3124,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_2506,SL1344_2506,E1WJ20,SL1344_0205,SL1344_0205,E1W876,Ecoli,107,3837,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_2506,SL1344_2506,E1WJ20,SL1344_1279,SL1344_1279,E1WFL2,Ecoli,107,2926,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_2506,SL1344_2506,E1WJ20,SL1344_1303,SL1344_1303,E1WFN5,Ecoli,107,3904,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_2506,SL1344_2506,E1WJ20,SL1344_1304,SL1344_1304,E1WFN6,Ecoli,107,2832,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_2506,SL1344_2506,E1WJ20,SL1344_1305,SL1344_1305,E1WFN7,Ecoli,107,2620,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_2506,SL1344_2506,E1WJ20,SL1344_1306,SL1344_1306,E1WFN8,Ecoli,107,880,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_2506,SL1344_2506,E1WJ20,SL1344_1307,SL1344_1307,E1WFN9,Ecoli,107,1741,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_2506,SL1344_2506,E1WJ20,SL1344_1308,SL1344_1308,E1WFP0,Ecoli,107,1450,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_2506,SL1344_2506,E1WJ20,SL1344_2227,napH,E1WC98,Ecoli,107,3241,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_2506,SL1344_2506,E1WJ20,SL1344_2228,napG,E1WC99,Ecoli,107,455,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_2506,SL1344_2506,E1WJ20,SL1344_2229,napA,E1WCA0,Ecoli,107,2263,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_2506,SL1344_2506,E1WJ20,SL1344_2230,yojF,E1WCA1,Ecoli,107,4359,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_2506,SL1344_2506,E1WJ20,SL1344_2231,napF,E1WCA2,Ecoli,107,3301,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_2506,SL1344_2506,E1WJ20,SL1344_2506,SL1344_2506,E1WJ20,Ecoli,107,107,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_2506,SL1344_2506,E1WJ20,SL1344_3477,SL1344_3477,E1WIT7,Ecoli,107,3232,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_2506,SL1344_2506,E1WJ20,SL1344_3478,SL1344_3478,E1WIT8,Ecoli,107,350,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_1591,fnr,E1WBZ1,SL1344_0069,caiF,E1W7U2,Ecoli,147,3930,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_1591,fnr,E1WBZ1,SL1344_0070,caiE,E1W7U3,Ecoli,147,3030,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_1591,fnr,E1WBZ1,SL1344_0071,caiD,E1W7U4,Ecoli,147,871,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_1591,fnr,E1WBZ1,SL1344_0072,caiC,E1W7U5,Ecoli,147,3631,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_1591,fnr,E1WBZ1,SL1344_0074,caiA,E1W7U7,Ecoli,147,2824,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_1591,fnr,E1WBZ1,SL1344_0075,caiT,E1W7U8,Ecoli,147,450,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_1591,fnr,E1WBZ1,SL1344_0076,fixA,E1W7U9,Ecoli,147,250,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_1591,fnr,E1WBZ1,SL1344_0077,fixB,E1W7V0,Ecoli,147,1075,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_1591,fnr,E1WBZ1,SL1344_0078,fixC,E1W7V1,Ecoli,147,3342,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_1591,fnr,E1WBZ1,SL1344_0079,fixX,E1W7V2,Ecoli,147,2000,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_1591,fnr,E1WBZ1,SL1344_0151,pdhR,E1W823,Ecoli,147,848,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_1591,fnr,E1WBZ1,SL1344_0152,aceE,E1W824,Ecoli,147,2895,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_1591,fnr,E1WBZ1,SL1344_0153,aceF,E1W825,Ecoli,147,68,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_1591,fnr,E1WBZ1,SL1344_0433,cyoE,E1W8U9,Ecoli,147,185,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_1591,fnr,E1WBZ1,SL1344_0434,cyoD,E1W8V0,Ecoli,147,1172,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_1591,fnr,E1WBZ1,SL1344_0435,cyoC,E1W8V1,Ecoli,147,899,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_1591,fnr,E1WBZ1,SL1344_0436,cyoB,E1W8V2,Ecoli,147,886,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_1591,fnr,E1WBZ1,SL1344_0437,cyoA,E1W8V3,Ecoli,147,43,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_1591,fnr,E1WBZ1,SL1344_0592,SL1344_0592,E1W9A5,Ecoli,147,3654,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_1591,fnr,E1WBZ1,SL1344_0593,SL1344_0593,E1W9A6,Ecoli,147,2488,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_1591,fnr,E1WBZ1,SL1344_0606,citT,E1W9B9,Ecoli,147,2185,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_1591,fnr,E1WBZ1,SL1344_0607,citG,E1W9C0,Ecoli,147,6238,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_1591,fnr,E1WBZ1,SL1344_0608,citX,E1W9C1,Ecoli,147,4037,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_1591,fnr,E1WBZ1,SL1344_0609,citF,E1W9C2,Ecoli,147,1842,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_1591,fnr,E1WBZ1,SL1344_0610,citE,E1W9C3,Ecoli,147,220,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_1591,fnr,E1WBZ1,SL1344_0611,citD,E1W9C4,Ecoli,147,705,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_1591,fnr,E1WBZ1,SL1344_0612,citC,E1W9C5,Ecoli,147,2843,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_1591,fnr,E1WBZ1,SL1344_0615,dcuC,E1W9C8,Ecoli,147,862,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_1591,fnr,E1WBZ1,SL1344_0722,cydA,E1W9N3,Ecoli,147,288,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_1591,fnr,E1WBZ1,SL1344_0723,cydB,E1W9N4,Ecoli,147,1849,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_1591,fnr,E1WBZ1,SL1344_0724,SL1344_0724,E1W9N5,Ecoli,147,3674,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_1591,fnr,E1WBZ1,SL1344_0778,moaA,E1W9T9,Ecoli,147,3898,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_1591,fnr,E1WBZ1,SL1344_0779,moaB,E1W9U0,Ecoli,147,2276,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_1591,fnr,E1WBZ1,SL1344_0780,moaC,E1W9U1,Ecoli,147,2563,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_1591,fnr,E1WBZ1,SL1344_0781,moaD,E1W9U2,Ecoli,147,3466,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_1591,fnr,E1WBZ1,SL1344_0782,moaE,E1W9U3,Ecoli,147,1750,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_1591,fnr,E1WBZ1,SL1344_0783,SL1344_0783,E1W9U4,Ecoli,147,1999,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_1591,fnr,E1WBZ1,SL1344_0821,moeB,E1W9Y1,Ecoli,147,571,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_1591,fnr,E1WBZ1,SL1344_0822,moeA,E1W9Y2,Ecoli,147,306,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_1591,fnr,E1WBZ1,SL1344_0875,hcr,E1W6W9,Ecoli,147,2403,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_1591,fnr,E1WBZ1,SL1344_0876,SL1344_0876,E1W6X0,Ecoli,147,753,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_1591,fnr,E1WBZ1,SL1344_0902,dmsA,E1W6Z6,Ecoli,147,3216,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_1591,fnr,E1WBZ1,SL1344_0903,dmsB,E1W6Z7,Ecoli,147,3610,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
SL1344_1591,fnr,E1WBZ1,SL1344_0904,dmsC,E1W6Z8,Ecoli,147,1060,Salmonella_enterica_serovar_Typhimurium_SL1344,Transcriptional_regulatory
