oma_id;name;locus;old_locus;groupID;strain;eq
SALDC00111;leuO;SED_RS01015;SeD_A0124;1895;SALDC;0
SALDC00290;SeD_A0317;SED_RS01930;SeD_A0317;103;SALDC;0
SALDC01831;ihfA;SED_RS09980;SeD_A2006;5341;SALDC;0
SALDC00951;SeD_A1048;SED_RS05400;SeD_A1048;206;SALDC;0
SALDC00618;SeD_A0676;SED_RS03625;SeD_A0676;3830;SALDC;0
SALDC00035;SeD_A0038;SED_RS00630;SeD_A0038;720;SALDC;0
SALDC04194;soxS;SED_RS22380;SeD_A4660;5145;SALDC;0
SALDC03096;SeD_A3426;SED_RS16590;SeD_A3426;760;SALDC;0
SALDC02662;cadB;SED_RS14330;SeD_A2934;1045;SALDC;0
SALDC00548;fimY;SED_RS03230;SeD_A0599;3197;SALDC;0
SALDC02499;fadL;SED_RS13450;SeD_A2745;1089;SALDC;0
SALDC00034;SeD_A0037;SED_RS00625;SeD_A0037;2896;SALDC;0
SALDC00114;cra;SED_RS01030;SeD_A0127;2001;SALDC;0
SALDC02767;SeD_A3054;SED_RS14880;SeD_A3054;3262;SALDC;0
SALDC04219;pmrA;SED_RS22525;SeD_A4687;3507;SALDC;0
SALDC01129;SeD_A1233;SED_RS06325;SeD_A1233;4100;SALDC;0
SALDC00275;SeD_A0300;SED_RS01850;SeD_A0300;4290;SALDC;0
SALDC01602;mcbR;SED_RS08755;SeD_A1753;3508;SALDC;0
SALDC01325;SeD_A1454;SED_RS07385;SeD_A1454;4402;SALDC;0
SALDC01782;SeD_A1950;SED_RS09720;SeD_A1950;3568;SALDC;0
SALDC01734;slyA;SED_RS09455;SeD_A1899;4566;SALDC;0
SALDC00602;SeD_A0656;SED_RS03535;SeD_A0656;4924;SALDC;0
SALDC00605;SeD_A0660;SED_RS03555;SeD_A0660;4931;SALDC;0
SALDC00927;lrp;SED_RS05280;SeD_A1024;4295;SALDC;0
SALDC04107;SeD_A4562;SED_RS21920;SeD_A4562;5173;SALDC;0
SALDC03497;ompR;SED_RS18680;SeD_A3871;3233;SALDC;0
SALDC01136;SeD_A1247;SED_RS06400;SeD_A1247;5217;SALDC;0
SALDC01948;phoP;SED_RS10595;SeD_A2135;3453;SALDC;0
SALDC01636;SeD_A1789;SeD_A1789;SeD_A1789;5391;SALDC;0
SALDC02776;SeD_A3064;SED_RS14935;SeD_A3064;5631;SALDC;0
SALDC01735;SeD_A1900;SED_RS09460;SeD_A1900;5677;SALDC;0
SALEP00116;cra;SEN_RS00610;SEN0119;2001;SALEP;0
SALEP00064;carA;SEN_RS00335;SEN0066;1516;SALEP;0
SALEP04219;hypT;SEN_RS22200;SEN4272;2349;SALEP;0
SALEP01371;SEN1386;SEN_RS07200;SEN1386;2668;SALEP;0
SALEP04019;pmrA;SEN_RS21150;SEN4063;3507;SALEP;0
SALEP01374;SEN1389;SEN_RS07220;SEN1389;5100;SALEP;0
SALEP01372;hokD;SEN_RS07210;SEN1387;6004;SALEP;0
SALDC01635;SeD_A1788;SED_RS08925;SeD_A1788;1963;SALDC;0
SALEP01641;SEN1654;SEN_RS08585;SEN1654;3568;SALEP;0
SALEP01484;SEN1500;SEN_RS07775;SEN1500;1963;SALEP;0
SALPA01182;mcbR;SPA_RS06415;SPA1280;3508;SALPA;0
SALPA01085;osmB;SPA_RS05860;SPA1171;5846;SALPA;0
SALPB02601;SPAB_02694;SPAB_RS10940;SPAB_02694;6384;SALPB;0
SALPB02568;mntR;SPAB_RS10835;SPAB_02662;4394;SALPB;0
SALPB00310;metN;SPAB_RS01275;SPAB_00313;1913;SALPB;0
SALPB03442;hilA;SPAB_RS14565;SPAB_03578;542;SALPB;0
SALPB02698;sucA;SPAB_RS11370;SPAB_02798;90;SALPB;0
SALPB04148;crp;SPAB_RS17565;SPAB_04312;3616;SALPB;0
SALPB05363;iolD;SPAB_RS22770;SPAB_05579;359;SALPB;0
SALPB05359;iolC;SPAB_RS22765;SPAB_05576;367;SALPB;0
SALPB05108;SPAB_05319;SPAB_RS21660;SPAB_05319;2510;SALPB;0
SALPB04568;SPAB_04738;SPAB_RS19230;SPAB_04738;596;SALPB;0
SALPB01861;SPAB_01935;SPAB_RS07890;SPAB_01935;3568;SALPB;0
