Entry	Gene names  (ordered locus )	Gene names  (primary )	Organism	Organism ID
B5EWJ3	SeAg_B0344	gmhA	Salmonella agona (strain SL483)	454166
B5EWJ9	SeAg_B0350	pepD	Salmonella agona (strain SL483)	454166
B5EWK0	SeAg_B0351	gpt	Salmonella agona (strain SL483)	454166
B5EWK6	SeAg_B0357	proA	Salmonella agona (strain SL483)	454166
B5EWL1	SeAg_B0364	leuD	Salmonella agona (strain SL483)	454166
B5EWL3	SeAg_B0366		Salmonella agona (strain SL483)	454166
B5EWP4	SeAg_B0398		Salmonella agona (strain SL483)	454166
B5EWP8	SeAg_B0402	prpB	Salmonella agona (strain SL483)	454166
B5EWQ0	SeAg_B0404	prpD	Salmonella agona (strain SL483)	454166
B5EWQ1	SeAg_B0405	prpE	Salmonella agona (strain SL483)	454166
B5EWQ2	SeAg_B0406	hemB	Salmonella agona (strain SL483)	454166
B5EWR1	SeAg_B0416	ddl	Salmonella agona (strain SL483)	454166
B5EWR7	SeAg_B0422	proC	Salmonella agona (strain SL483)	454166
B5EWS0	SeAg_B0425	aroL	Salmonella agona (strain SL483)	454166
B5EWS5	SeAg_B0430		Salmonella agona (strain SL483)	454166
B5EWT5	SeAg_B0440		Salmonella agona (strain SL483)	454166
B5EWT6	SeAg_B0441		Salmonella agona (strain SL483)	454166
B5EWT7	SeAg_B0442	acpH	Salmonella agona (strain SL483)	454166
B5EWW5	SeAg_B2112	amn	Salmonella agona (strain SL483)	454166
B5EWY2	SeAg_B2138	cobT	Salmonella agona (strain SL483)	454166
B5EWY3	SeAg_B2139	cobS	Salmonella agona (strain SL483)	454166
B5EWY4	SeAg_B2140		Salmonella agona (strain SL483)	454166
B5EWY5	SeAg_B2141	cobQ	Salmonella agona (strain SL483)	454166
B5EWY8	SeAg_B2144	cbiN	Salmonella agona (strain SL483)	454166
B5EWY9	SeAg_B2145	cbiM	Salmonella agona (strain SL483)	454166
B5EWZ0	SeAg_B2146	cobI	Salmonella agona (strain SL483)	454166
B5EWZ1	SeAg_B2147		Salmonella agona (strain SL483)	454166
B5EWZ2	SeAg_B2148	cobK	Salmonella agona (strain SL483)	454166
B5EWZ3	SeAg_B2149	cobJ	Salmonella agona (strain SL483)	454166
B5EWZ4	SeAg_B2150		Salmonella agona (strain SL483)	454166
B5EWZ5	SeAg_B2151	cobM	Salmonella agona (strain SL483)	454166
B5EWZ6	SeAg_B2152		Salmonella agona (strain SL483)	454166
B5EWZ7	SeAg_B2153	cbiE	Salmonella agona (strain SL483)	454166
B5EWZ8	SeAg_B2154	cbiD	Salmonella agona (strain SL483)	454166
B5EWZ9	SeAg_B2155		Salmonella agona (strain SL483)	454166
B5EX00	SeAg_B2156	cobD	Salmonella agona (strain SL483)	454166
B5EX01	SeAg_B2157	cbiA	Salmonella agona (strain SL483)	454166
B5EX03	SeAg_B2160		Salmonella agona (strain SL483)	454166
B5EX06	SeAg_B2163	pduC	Salmonella agona (strain SL483)	454166
B5EX07	SeAg_B2164		Salmonella agona (strain SL483)	454166
B5EX08	SeAg_B2165		Salmonella agona (strain SL483)	454166
B5EX09	SeAg_B2166		Salmonella agona (strain SL483)	454166
B5EX10	SeAg_B2167		Salmonella agona (strain SL483)	454166
B5EX16	SeAg_B2173		Salmonella agona (strain SL483)	454166
B5EX18	SeAg_B2175		Salmonella agona (strain SL483)	454166
B5EX23	SeAg_B2180	pduW	Salmonella agona (strain SL483)	454166
B5EX30	SeAg_B2187		Salmonella agona (strain SL483)	454166
B5EX31	SeAg_B2188		Salmonella agona (strain SL483)	454166
B5EX39	SeAg_B2197	hisD	Salmonella agona (strain SL483)	454166
B5EX41	SeAg_B2199	hisB	Salmonella agona (strain SL483)	454166
B5EX42	SeAg_B2200	hisH	Salmonella agona (strain SL483)	454166
B5EX43	SeAg_B2201	hisA	Salmonella agona (strain SL483)	454166
B5EX44	SeAg_B2202	hisF	Salmonella agona (strain SL483)	454166
B5EX45	SeAg_B2203	hisI	Salmonella agona (strain SL483)	454166
B5EX56	SeAg_B3858		Salmonella agona (strain SL483)	454166
B5EX58	SeAg_B3860	ghrB	Salmonella agona (strain SL483)	454166
B5EX65	SeAg_B3868	glyS	Salmonella agona (strain SL483)	454166
B5EX71	SeAg_B3874	xylB	Salmonella agona (strain SL483)	454166
B5EX72	SeAg_B3875	xylA	Salmonella agona (strain SL483)	454166
B5EX75	SeAg_B3878		Salmonella agona (strain SL483)	454166
B5EX76	SeAg_B3879		Salmonella agona (strain SL483)	454166
B5EX82	SeAg_B3885		Salmonella agona (strain SL483)	454166
B5EX83	SeAg_B3886		Salmonella agona (strain SL483)	454166
B5EX85	SeAg_B3888		Salmonella agona (strain SL483)	454166
B5EX86	SeAg_B3889	sgbH	Salmonella agona (strain SL483)	454166
B5EX87	SeAg_B3890		Salmonella agona (strain SL483)	454166
B5EX88	SeAg_B3891	sgbE	Salmonella agona (strain SL483)	454166
B5EX94	SeAg_B3897	selA	Salmonella agona (strain SL483)	454166
B5EX98	SeAg_B3901		Salmonella agona (strain SL483)	454166
B5EX99	SeAg_B3902	mtlD	Salmonella agona (strain SL483)	454166
B5EXA6	SeAg_B3909	lldP	Salmonella agona (strain SL483)	454166
B5EXA8	SeAg_B3911	lldD	Salmonella agona (strain SL483)	454166
B5EXB2	SeAg_B3915		Salmonella agona (strain SL483)	454166
B5EXB3	SeAg_B3916		Salmonella agona (strain SL483)	454166
B5EXB7	SeAg_B3920	grxC	Salmonella agona (strain SL483)	454166
B5EXB9	SeAg_B3922	gpmI	Salmonella agona (strain SL483)	454166
B5EXC5	SeAg_B3928	hldD	Salmonella agona (strain SL483)	454166
B5EXC6	SeAg_B3929	rfaF	Salmonella agona (strain SL483)	454166
