Node_1_locus_tag,Node_1_gene_name_,Node_1_Uniprot_ID,Node_2_locus_tag,Node_2_gene_name,Node_2_Uniprot_ID,Node_1_orthology_group_ID,Node_2_orthology_group_ID,Source,Strain,Layer
,,,,,,,,,,
t0493,flk,O06951,t0125,ftsL,Q8XEN0,998,229,IntAct,Salmonella_enterica_serovar_Typhi_strain_CT18,PPI
t3358,cyaA,P0A1A8,t3301,yhdJ,Q8XF74,331,2370,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Typhi_strain_CT18,PPI
t3358,cyaA,P0A1A8,t1635,trpE,Q8Z7D7,331,1668,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Typhi_strain_CT18,PPI
t3358,cyaA,P0A1A8,t2539,yafJ,Q8Z936,331,328,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Typhi_strain_CT18,PPI
t2625,aroF,P0A1B6,t2940,stdA,Q8Z3Z0,92,4451,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Typhi_strain_CT18,PPI
t4382,groEL,P0A1D4,t4381,groES,P0A1D6,1880,1967,IntAct_Interactome3d,Salmonella_enterica_serovar_Typhi_strain_CT18,PPI
t4382,groEL,P0A1D4,t2537,dinP,P63990,1880,1616,IntAct,Salmonella_enterica_serovar_Typhi_strain_CT18,PPI
t4382,groEL,P0A1D4,t2253,ybdQ,P67094,1880,466,IntAct,Salmonella_enterica_serovar_Typhi_strain_CT18,PPI
t4382,groEL,P0A1D4,t2636,grpE,Q8XEY8,1880,2344,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Typhi_strain_CT18,PPI
t4382,groEL,P0A1D4,t3173,gatY,Q8XGZ9,1880,1879,IntAct,Salmonella_enterica_serovar_Typhi_strain_CT18,PPI
t4382,groEL,P0A1D4,t4135,malE,Q8Z1U1,1880,189,IntAct,Salmonella_enterica_serovar_Typhi_strain_CT18,PPI
t4382,groEL,P0A1D4,t3911,yhjB,Q8Z280,1880,3599,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Typhi_strain_CT18,PPI
t4382,groEL,P0A1D4,t3274,mdh,Q8Z3E0,1880,109,IntAct,Salmonella_enterica_serovar_Typhi_strain_CT18,PPI
t4382,groEL,P0A1D4,t2751,hycE,Q8Z4B8,1880,126,IntAct,Salmonella_enterica_serovar_Typhi_strain_CT18,PPI
t4382,groEL,P0A1D4,t1228,aroH,Q8Z6I9,1880,3673,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Typhi_strain_CT18,PPI
t4381,groES,P0A1D6,t4135,malE,Q8Z1U1,1967,189,IntAct,Salmonella_enterica_serovar_Typhi_strain_CT18,PPI
t2412,clpP,P0A1D8,t3381,trxA,P0AA29,3174,3171,IntAct,Salmonella_enterica_serovar_Typhi_strain_CT18,PPI
t2412,clpP,P0A1D8,t1988,clpA,Q8Z823,3174,2135,IntAct,Salmonella_enterica_serovar_Typhi_strain_CT18,PPI
t2412,clpP,P0A1D8,t2089,uvrB,Q8Z889,3174,1831,IntAct,Salmonella_enterica_serovar_Typhi_strain_CT18,PPI
t2412,clpP,P0A1D8,t2411,clpX,Q8Z8V1,3174,1462,IntAct,Salmonella_enterica_serovar_Typhi_strain_CT18,PPI
t3617,hemN,P0A1E2,t2489,ampH,Q8Z8Z9,676,77,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Typhi_strain_CT18,PPI
t0194,dksA,P0A1G6,t3381,trxA,P0AA29,1931,3171,IntAct,Salmonella_enterica_serovar_Typhi_strain_CT18,PPI
t0194,dksA,P0A1G6,t1032,proP,P60318,1931,2695,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Typhi_strain_CT18,PPI
t0194,dksA,P0A1G6,t3216,greA,P64282,1931,2535,IntAct,Salmonella_enterica_serovar_Typhi_strain_CT18,PPI
t2601,dnaQ,P0A1H0,t2221,holA,Q8XGT2,3713,298,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Typhi_strain_CT18,PPI
t2601,dnaQ,P0A1H0,t3682,dnaN,Q8Z2N5,3713,3473,IntAct,Salmonella_enterica_serovar_Typhi_strain_CT18,PPI
t2601,dnaQ,P0A1H0,t0232,dnaE,Q8Z9A0,3713,587,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Typhi_strain_CT18,PPI
t4059,fusA,P0A1H4,t4057,rpsL,P0A7S7,1995,2035,Interactome3d,Salmonella_enterica_serovar_Typhi_strain_CT18,PPI
t4059,fusA,P0A1H4,t0218,tsf,P64053,1995,3530,IntAct,Salmonella_enterica_serovar_Typhi_strain_CT18,PPI
t3079,exbB,P0A1H8,t0541,nuoG,P0A1Y5,1712,3846,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Typhi_strain_CT18,PPI
t3079,exbB,P0A1H8,t3078,exbD,Q8XGU8,1712,3311,IntAct,Salmonella_enterica_serovar_Typhi_strain_CT18,PPI
t0228,fabZ,P0A1I0,t3381,trxA,P0AA29,3458,3171,IntAct,Salmonella_enterica_serovar_Typhi_strain_CT18,PPI
t1745,flgC,P0A1I8,t3022,trmB,Q8Z3U1,1694,941,IntAct,Salmonella_enterica_serovar_Typhi_strain_CT18,PPI
t1744,flgD,P0A1J0,t1745,flgC,P0A1I8,2525,1694,IntAct,Salmonella_enterica_serovar_Typhi_strain_CT18,PPI
t1744,flgD,P0A1J0,t0897,fliQ,P0A1L6,2525,3557,IntAct,Salmonella_enterica_serovar_Typhi_strain_CT18,PPI
t1743,flgE,P0A1J2,t0961,cheY,P0A2D6,1912,2383,IntAct,Salmonella_enterica_serovar_Typhi_strain_CT18,PPI
t1743,flgE,P0A1J2,t1748,flgM,Q8Z7K6,1912,3697,IntAct,Salmonella_enterica_serovar_Typhi_strain_CT18,PPI
