Node_1_locus_tag,Node_1_gene_name_,Node_1_Uniprot_ID,Node_2_locus_tag,Node_2_gene_name,Node_2_Uniprot_ID,Node_1_orthology_group_ID,Node_2_orthology_group_ID,Source,Strain,Layer
,,,,,,,,,,
SEN0369,proC,B5QTD5,SEN0986A,putA,B5R060,351,3469,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0371,aroL,B5QTD7,SEN3673,SEN3673,B5QUR8,2984,164,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0371,aroL,B5QTD7,SEN1685,ydiB,B5QVU2,2984,2774,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0371,aroL,B5QTD7,SEN3229,aroE,B5R1D8,2984,606,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0376,yajF,B5QTE2,SEN0788,ybiV(1),B5QXU6,2802,3735,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0376,yajF,B5QTE2,SEN3483,xylA,B5R4P8,2802,1214,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0384,malZ,B5QTF0,SEN2550,SEN2550,B5QTT7,1825,371,BioModels,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0384,malZ,B5QTF0,SEN3994,malG,B5QYJ0,1825,876,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0384,malZ,B5QTF0,SEN3997,malE,B5QYJ2,1825,189,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0384,malZ,B5QTF0,SEN4000,lamB,B5QYJ4,1825,3308,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0384,malZ,B5QTF0,SEN4069,melA,B5QZX7,1825,101,BioModels,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0384,malZ,B5QTF0,SEN2414,crr,B5R4E2,1825,1728,BioModels,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0385,SEN0385,B5QTF1,SEN2576,trxC,B5QTW3,90,2524,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0385,SEN0385,B5QTF1,SEN3721,trxA,B5QVH3,90,3171,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0386,yajB,B5QTF2,SEN1332,fabI,B5R492,3118,3239,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0398,ribD,B5QTG4,SEN1322,ribA,B5R482,1855,2676,STM_BioModels,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0399,ribH,B5QTG5,SEN1621,ribE,B5QV33,3169,3901,STM_BioModels,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0401,thiL,B5QTG7,SEN1814,ymfB,B5QXA1,1729,477,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0401,thiL,B5QTG7,SEN1841,thiK,B5QXC8,1729,3425,STM_BioModels,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0401,thiL,B5QTG7,SEN3949,thiE,B5QYE8,1729,307,STM_BioModels,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0402,pgpA,B5QTG8,SEN1061,pgsA,B5R111,3227,840,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0402,pgpA,B5QTG8,SEN1323,pgpB,B5R483,3227,138,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0405,ispA,B5QTH1,SEN2882,idi,B5QXG6,277,1793,STM_BioModels,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0405,ispA,B5QTH1,SEN0049,ispH,B5R1N9,277,3060,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0407,thiI,B5QTH3,SEN1672,sufS,B5QVS9,2071,1741,BioModels,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0407,thiI,B5QTH3,SEN3947,SEN3947,B5QYE6,2071,1494,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0408,phnV,B5QTH4,SEN0409,phnU,B5QTH5,1826,3451,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0408,phnV,B5QTH4,SEN0411,phnS,B5QTH7,1826,3410,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0409,phnU,B5QTH5,SEN0411,phnS,B5QTH7,3451,3410,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0413,phnW,B5QTH9,SEN0408,phnV,B5QTH4,1092,1826,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0413,phnW,B5QTH9,SEN0409,phnU,B5QTH5,1092,3451,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0413,phnW,B5QTH9,SEN0411,phnS,B5QTH7,1092,3410,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0414,phnX,B5QTI0,SEN0413,phnW,B5QTH9,3775,1092,STM_BioModels,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0416,apbA,B5QTI2,SEN2553,SEN2553,B5QTU0,2324,1442,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0416,apbA,B5QTI2,SEN0187,panB,B5R3E6,2324,418,STM_BioModels,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0421,cyoE,B5QTI7,SEN0405,ispA,B5QTH1,185,277,STM_BioModels,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0421,cyoE,B5QTI7,SEN0470,hemH,B5QU78,185,2040,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0422,cyoD,B5QTI8,SEN0423,cyoC,B5QTI9,1172,899,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0422,cyoD,B5QTI8,SEN0424,cyoB,B5QTJ0,1172,886,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0422,cyoD,B5QTI8,SEN0425,cyoA,B5QTJ1,1172,43,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0423,cyoC,B5QTI9,SEN0424,cyoB,B5QTJ0,899,886,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0423,cyoC,B5QTI9,SEN0425,cyoA,B5QTJ1,899,43,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0424,cyoB,B5QTJ0,SEN0425,cyoA,B5QTJ1,886,43,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0426,ampG,B5QTJ2,SEN2833,amiC,B5QWS3,2425,4089,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0426,ampG,B5QTJ2,SEN0903,ompF,B5QZD3,2425,2449,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0426,ampG,B5QTJ2,SEN4125,amiB,B5R0N6,2425,3680,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN0426,ampG,B5QTJ2,SEN2431,amiA,B5R4F9,2425,1325,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN1458,ydcW,B5QTK5,SEN3060,oat,B5QZ53,1350,438,STM_BioModels,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN1471,ansP,B5QTL8,SEN0903,ompF,B5QZD3,958,2449,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN1473,nhoA,B5QTM0,SEN1310,trpD,B5R3P6,2899,1176,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
SEN1473,nhoA,B5QTM0,SEN1311,trpE,B5R3P7,2899,1668,STM,Salmonella_enterica_serovar_Enteritidis_P125109,Metabolic
