Node_1_locus_tag,Node_1_gene_name_,Node_1_Uniprot_ID,Node_2_locus_tag,Node_2_gene_name,Node_2_Uniprot_ID,Node_1_orthology_group_ID,Node_2_orthology_group_ID,Source,Strain,Layer
SeD_A0800,SeD_A0800,B5FNC7,SeD_A0800,SeD_A0800,B5FNC7,552,552,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1602,trpB,B5FU66,SeD_A1602,trpB,B5FU66,955,955,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A2196,SeD_A2196,B5FKD0,SeD_A1268,SeD_A1268,B5FRV7,2525,1271,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A2195,SeD_A2195,B5FKC9,SeD_A1268,SeD_A1268,B5FRV7,1912,1271,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1270,fliI,B5FRV9,SeD_A1332,flhA,B5FSL6,703,2018,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1270,fliI,B5FRV9,SeD_A3206,SeD_A3206,B5FT45,703,2018,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1332,flhA,B5FSL6,SeD_A1331,flhB,B5FSL5,2018,1220,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1332,flhA,B5FSL6,SeD_A1921,SeD_A1921,B5FIH9,2018,1220,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A3206,SeD_A3206,B5FT45,SeD_A1331,flhB,B5FSL5,2018,1220,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A3206,SeD_A3206,B5FT45,SeD_A1921,SeD_A1921,B5FIH9,2018,1220,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1271,fliH,B5FRW0,SeD_A3206,SeD_A3206,B5FT45,3533,2018,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1271,fliH,B5FRW0,SeD_A1332,flhA,B5FSL6,3533,2018,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1332,flhA,B5FSL6,SeD_A1269,fliJ,B5FRV8,2018,3031,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A3206,SeD_A3206,B5FT45,SeD_A1269,fliJ,B5FRV8,2018,3031,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A2386,SeD_A2386,B5FM18,SeD_A2389,SeD_A2389,B5FM21,1040,1270,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A2389,SeD_A2389,B5FM21,SeD_A2389,SeD_A2389,B5FM21,1270,1270,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1635,SeD_A1635,B5FU97,SeD_A1320,flhC,B5FSK4,1152,4015,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A2001,SeD_A2001,B5FJ97,SeD_A1320,flhC,B5FSK4,1152,4015,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1271,fliH,B5FRW0,SeD_A1265,fliN,B5FRV4,3533,1656,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1419,sodC,B5FTE8,SeD_A1419,sodC,B5FTE8,2153,2153,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1321,motA,B5FSK5,SeD_A1322,motB,B5FSK6,4140,923,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1285,SeD_A1285,B5FRX4,SeD_A1282,fliS,B5FRX1,1976,796,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1605,trpE,B5FU69,SeD_A1604,trpD,B5FU68,1668,1176,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1770,SeD_A1770,B5FHJ1,SeD_A1822,SeD_A1822,B5FHN8,4094,649,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1273,fliF,B5FRW2,SeD_A1266,fliM,B5FRV5,1571,1344,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A0383,SeD_A0383,B5FK01,SeD_A3539,SeD_A3539,B5FV54,3813,559,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1324,SeD_A1324,B5FSK8,SeD_A3138,recA,B5FSY0,3859,3140,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A2200,SeD_A2200,B5FKZ2,SeD_A1282,fliS,B5FRX1,3697,796,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1928,SeD_A1928,B5FII6,SeD_A1928,SeD_A1928,B5FII6,2569,2569,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1925,epaO,B5FII3,SeD_A1928,SeD_A1928,B5FII6,73,2569,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1944,SeD_A1944,B5FIK1,SeD_A1928,SeD_A1928,B5FII6,1420,2569,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1940,SeD_A1940,B5FIJ7,SeD_A1928,SeD_A1928,B5FII6,3034,2569,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1945,SeD_A1945,B5FIK2,SeD_A1946,SeD_A1946,B5FIK3,879,2108,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A0008,mogA,B5FHA2,SeD_A2022,SeD_A2022,B5FJB7,4145,4006,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A0008,mogA,B5FHA2,SeD_A0947,SeD_A0947,B5FPB3,4145,306,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A0008,mogA,B5FHA2,SeD_A1348,SeD_A1348,B5FSN2,4145,3350,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A0010,SeD_A0010,B5FHA4,SeD_A2065,msrB,B5FJF9,3326,3580,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A0010,SeD_A0010,B5FHA4,SeD_A2198,flgB,B5FKZ0,3326,194,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A0012,dnaK,B5FHA6,SeD_A0013,dnaJ,B5FHA7,2512,1436,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A0012,dnaK,B5FHA6,SeD_A0532,htpG,B5FLJ5,2512,3276,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A0012,dnaK,B5FHA6,SeD_A1187,SeD_A1187,B5FR40,2512,2080,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A0012,dnaK,B5FHA6,SeD_A3010,grpE,B5FS13,2512,2344,IntAct_Interactome3d,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A0012,dnaK,B5FHA6,SeD_A3159,hycE,B5FT01,2512,126,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A0023,SeD_A0023,B5FHB7,SeD_A5005,SeD_A5005,B5FTE5,2098,1199,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A0050,ileS,B5FHE0,SeD_A0474,SeD_A0474,B5FKT8,3113,1011,Biogrid,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A0050,ileS,B5FHE0,SeD_A4276,rbsB,B5FN54,3113,1348,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A0050,ileS,B5FHE0,SeD_A0895,SeD_A0895,B5FP67,3113,3202,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A0050,ileS,B5FHE0,SeD_A2792,ligA,B5FQB9,3113,2114,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A0050,ileS,B5FHE0,SeD_A1529,hybD,B5FTP4,3113,543,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A0057,SeD_A0057,B5FHE6,SeD_A2824,eutC,B5FQF0,2976,2957,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A0057,SeD_A0057,B5FHE6,SeD_A4980,SeD_A4980,B5FTC3,2976,358,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A0057,SeD_A0057,B5FHE6,SeD_A1503,minC,B5FTL9,2976,970,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A0057,SeD_A0057,B5FHE6,SeD_A3498,hybO,B5FV15,2976,2290,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A0072,carA,B5FHG1,SeD_A2571,SeD_A2571,B5FNM6,1858,3746,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A0073,carB,B5FHG2,SeD_A0072,carA,B5FHG1,1521,1858,Lit_Ecoli_IntAct_Interactome3d,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A0076,SeD_A0076,B5FHG4,SeD_A1618,acnA,B5FU81,871,2511,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A0083,fixB,B5FHH1,SeD_A0082,fixA,B5FHH0,1075,250,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A0083,fixB,B5FHH1,SeD_A3885,malT,B5FKD6,1075,1035,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A0083,fixB,B5FHH1,SeD_A4454,SeD_A4454,B5FPQ6,1075,272,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A0083,fixB,B5FHH1,SeD_A3486,SeD_A3486,B5FV05,1075,1719,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1763,narW,B5FHI4,SeD_A3576,SeD_A3576,B5FHV4,3079,2940,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1763,narW,B5FHI4,SeD_A1132,pepN,B5FQY7,3079,3822,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1763,narW,B5FHI4,SeD_A1559,narG,B5FU31,3079,65,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1763,narW,B5FHI4,SeD_A1560,narH,B5FU32,3079,3872,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1764,narY,B5FHI5,SeD_A1763,narW,B5FHI4,885,3079,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1764,narY,B5FHI5,SeD_A3576,SeD_A3576,B5FHV4,885,2940,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1764,narY,B5FHI5,SeD_A1132,pepN,B5FQY7,885,3822,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1764,narY,B5FHI5,SeD_A1559,narG,B5FU31,885,65,Lit_Ecoli_IntAct_Interactome3d,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1764,narY,B5FHI5,SeD_A1560,narH,B5FU32,885,3872,Lit_Ecoli_IntAct_Interactome3d,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1765,SeD_A1765,B5FHI6,SeD_A1763,narW,B5FHI4,3828,3079,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1765,SeD_A1765,B5FHI6,SeD_A1132,pepN,B5FQY7,3828,3822,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1765,SeD_A1765,B5FHI6,SeD_A1560,narH,B5FU32,3828,3872,Lit_Ecoli_IntAct_Interactome3d,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1765,SeD_A1765,B5FHI6,SeD_A1561,narJ,B5FU33,3828,3138,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1770,SeD_A1770,B5FHJ1,SeD_A0229,degP,B5FJ08,4094,1158,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1774,fdnH,B5FHJ3,SeD_A1775,SeD_A1775,B5FHJ4,3962,1673,Interactome3d,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1777,SeD_A1777,B5FHJ6,SeD_A0217,SeD_A0217,B5FIZ7,4292,522,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1777,SeD_A1777,B5FHJ6,SeD_A3272,SeD_A3272,B5FTV5,4292,522,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1780,SeD_A1780,B5FHJ9,SeD_A0241,frr,B5FJ19,378,424,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1803,SeD_A1803,B5FHM2,SeD_A1797,SeD_A1797,B5FHL6,1761,3144,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1803,SeD_A1803,B5FHM2,SeD_A1532,SeD_A1532,B5FU04,1761,3144,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1809,SeD_A1809,B5FHM7,SeD_A4767,SeD_A4767,B5FRN7,3455,469,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1838,SeD_A1838,B5FHQ2,SeD_A0022,SeD_A0022,B5FHB6,623,4222,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1838,SeD_A1838,B5FHQ2,SeD_A3907,glgX,B5FKF6,623,1239,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1838,SeD_A1838,B5FHQ2,SeD_A0891,bioC,B5FP63,623,3726,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1842,dmsB_1,B5FHQ6,SeD_A4073,SeD_A4073,B5FLG5,3610,3724,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1842,dmsB_1,B5FHQ6,SeD_A1029,SeD_A1029,B5FQ37,3610,3216,Interactome3d,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1842,dmsB_1,B5FHQ6,SeD_A4661,soxR,B5FQT9,3610,3628,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1844,SeD_A1844,B5FHQ8,SeD_A1840,SeD_A1840,B5FHQ4,1911,3321,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1844,SeD_A1844,B5FHQ8,SeD_A1841,SeD_A1841,B5FHQ5,1911,3321,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A1850,bioD2,B5FHR4,SeD_A0095,pdxA,B5FI35,3173,310,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A3557,glnE,B5FHT6,SeD_A2937,SeD_A2937,B5FRA5,2219,2233,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A3564,gcp,B5FHU3,SeD_A1496,SeD_A1496,B5FTL3,532,3487,Lit_Ecoli_IntAct_Interactome3d,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A3565,rpsU,B5FHU4,SeD_A3783,rpsK,B5FJJ2,2521,1517,Interactome3d,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A3565,rpsU,B5FHU4,SeD_A3815,rpsG,B5FJM1,2521,1032,Interactome3d,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A3565,rpsU,B5FHU4,SeD_A4789,rpsR,B5FSA3,2521,2540,Interactome3d,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A3566,dnaG,B5FHU5,SeD_A2824,eutC,B5FQF0,2045,2957,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A3566,dnaG,B5FHU5,SeD_A4640,dnaB,B5FQR9,2045,1004,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A3566,dnaG,B5FHU5,SeD_A4650,ssb,B5FQS9,2045,1835,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A3567,rpoD,B5FHU6,SeD_A0101,rapA,B5FI41,3123,345,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A3567,rpoD,B5FHU6,SeD_A2029,SeD_A2029,B5FJC4,3123,3464,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A3567,rpoD,B5FHU6,SeD_A3781,rpoA,B5FJJ0,3123,1508,IntAct_Interactome3d,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A3567,rpoD,B5FHU6,SeD_A3834,crp,B5FJN9,3123,2484,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A3567,rpoD,B5FHU6,SeD_A2608,SeD_A2608,B5FNQ7,3123,2884,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A3567,rpoD,B5FHU6,SeD_A4443,SeD_A4443,B5FPP5,3123,3396,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A3567,rpoD,B5FHU6,SeD_A4444,SeD_A4444,B5FPP6,3123,1476,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A3567,rpoD,B5FHU6,SeD_A4553,secE,B5FPY7,3123,3041,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A3567,rpoD,B5FHU6,SeD_A4572,SeD_A4572,B5FQL0,3123,75,Lit_Ecoli_IntAct_Interactome3d,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A3567,rpoD,B5FHU6,SeD_A4631,lexA,B5FQR1,3123,2732,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A3567,rpoD,B5FHU6,SeD_A4692,SeD_A4692,B5FRH1,3123,1492,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A3567,rpoD,B5FHU6,SeD_A4870,idnK,B5FSH7,3123,33,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A3570,SeD_A3570,B5FHU8,SeD_A0749,holA,B5FMP2,537,298,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A3576,SeD_A3576,B5FHV4,SeD_A1132,pepN,B5FQY7,2940,3822,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A3576,SeD_A3576,B5FHV4,SeD_A1560,narH,B5FU32,2940,3872,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A3580,SeD_A3580,B5FHV8,SeD_A0348,frsA,B5FJX0,3259,103,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A3580,SeD_A3580,B5FHV8,SeD_A4371,SeD_A4371,B5FNY0,3259,787,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A3580,SeD_A3580,B5FHV8,SeD_A1029,SeD_A1029,B5FQ37,3259,3216,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A3580,SeD_A3580,B5FHV8,SeD_A3249,cas1,B5FTT4,3259,3242,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A3584,SeD_A3584,B5FHW2,SeD_A3870,envZ,B5FJS2,2241,3999,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A3594,SeD_A3594,B5FHX0,SeD_A3593,SeD_A3593,B5FHW9,3148,2419,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A3598,SeD_A3598,B5FHX4,SeD_A2746,SeD_A2746,B5FPN4,2833,433,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A3614,SeD_A3614,B5FHY7,SeD_A0241,frr,B5FJ19,271,424,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A3622,SeD_A3622,B5FHZ5,SeD_A3952,SeD_A3952,B5FKK0,622,1265,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A3631,SeD_A3631,B5FI04,SeD_A1469,proQ,B5FTI8,1369,2695,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A3644,nusA,B5FI14,SeD_A0343,SeD_A0343,B5FJW5,2754,1616,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A3644,nusA,B5FI14,SeD_A2978,SeD_A2978,B5FRE2,2754,3799,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A3645,SeD_A3645,B5FI15,SeD_A3816,rpsL,B5FJM2,1397,2035,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A3647,argG,B5FI16,SeD_A3658,dacB,B5FIN1,3845,853,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A3650,secG,B5FI18,SeD_A0145,secA,B5FI79,952,2356,Lit_Ecoli_IntAct_Interactome3d,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A3651,glmM,B5FI19,SeD_A4304,trxA,B5FN75,3243,3171,IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A0085,SeD_A0085,B5FI25,SeD_B0011,SeD_B0011,B5FH27,2000,55,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A0085,SeD_A0085,B5FI25,SeD_A0004,thrC,B5FH98,2000,3397,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A0085,SeD_A0085,B5FI25,SeD_A3628,SeD_A3628,B5FI01,2000,1650,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A0085,SeD_A0085,B5FI25,SeD_A0091,folA,B5FI31,2000,1801,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
SeD_A0085,SeD_A0085,B5FI25,SeD_A3686,elbB,B5FIQ7,2000,131,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Dublin_CT_02021853,PPI
