Node_1_locus_tag,Node_1_gene_name_,Node_1_Uniprot_ID,Node_2_locus_tag,Node_2_gene_name,Node_2_Uniprot_ID,Node_1_orthology_group_ID,Node_2_orthology_group_ID,Source,Strain,Layer
,,,,,,,,,,
t0741,baeR,Q8Z5F3,t0378,acrD,Q8Z4S4,Ecoli,46,2420,Salmonella_enterica_serovar_Typhi_strain_CT18,Transcriptional_regulatory
t0741,baeR,Q8Z5F3,t0741,baeR,Q8Z5F3,Ecoli,46,46,Salmonella_enterica_serovar_Typhi_strain_CT18,Transcriptional_regulatory
t0741,baeR,Q8Z5F3,t0742,baeS,Q8Z5F4,Ecoli,46,4256,Salmonella_enterica_serovar_Typhi_strain_CT18,Transcriptional_regulatory
t0741,baeR,Q8Z5F3,t0743,yegB,Q8Z5F5,Ecoli,46,1590,Salmonella_enterica_serovar_Typhi_strain_CT18,Transcriptional_regulatory
t0741,baeR,Q8Z5F3,t0744,t0744,Q8Z5F6,Ecoli,46,947,Salmonella_enterica_serovar_Typhi_strain_CT18,Transcriptional_regulatory
t0741,baeR,Q8Z5F3,t0745,yegN,Q8Z5F7,Ecoli,46,488,Salmonella_enterica_serovar_Typhi_strain_CT18,Transcriptional_regulatory
t0741,baeR,Q8Z5F3,t0746,t0746,Q8Z5F8,Ecoli,46,470,Salmonella_enterica_serovar_Typhi_strain_CT18,Transcriptional_regulatory
t0741,baeR,Q8Z5F3,t1187,t1187,Q8Z6G4,Ecoli,46,1597,Salmonella_enterica_serovar_Typhi_strain_CT18,Transcriptional_regulatory
t2383,acrR,Q8XEW7,t2383,acrR,Q8XEW7,Ecoli,64,64,Salmonella_enterica_serovar_Typhi_strain_CT18,Transcriptional_regulatory
t2383,acrR,Q8XEW7,t2384,acrA,Q8Z8T7,Ecoli,64,2180,Salmonella_enterica_serovar_Typhi_strain_CT18,Transcriptional_regulatory
t2383,acrR,Q8XEW7,t2385,acrB,Q8Z8T8,Ecoli,64,299,Salmonella_enterica_serovar_Typhi_strain_CT18,Transcriptional_regulatory
t0312,yfhP,Q8XF25,t0204,yadQ,Q8Z9B3,Ecoli,107,3124,Salmonella_enterica_serovar_Typhi_strain_CT18,Transcriptional_regulatory
t0312,yfhP,Q8XF25,t0205,yadR,Q8XFF3,Ecoli,107,3837,Salmonella_enterica_serovar_Typhi_strain_CT18,Transcriptional_regulatory
t0312,yfhP,Q8XF25,t0312,yfhP,Q8XF25,Ecoli,107,107,Salmonella_enterica_serovar_Typhi_strain_CT18,Transcriptional_regulatory
t0312,yfhP,Q8XF25,t1085,hyaF,Q8XG76,Ecoli,107,1761,Salmonella_enterica_serovar_Typhi_strain_CT18,Transcriptional_regulatory
t0312,yfhP,Q8XF25,t1086,hyaE,Q8Z693,Ecoli,107,3291,Salmonella_enterica_serovar_Typhi_strain_CT18,Transcriptional_regulatory
t0312,yfhP,Q8XF25,t1087,hyaD,Q8XFP9,Ecoli,107,543,Salmonella_enterica_serovar_Typhi_strain_CT18,Transcriptional_regulatory
t0312,yfhP,Q8XF25,t1088,hyaC,Q8Z694,Ecoli,107,904,Salmonella_enterica_serovar_Typhi_strain_CT18,Transcriptional_regulatory
t0312,yfhP,Q8XF25,t1089,t1089,Q8Z695,Ecoli,107,1363,Salmonella_enterica_serovar_Typhi_strain_CT18,Transcriptional_regulatory
