Node_1_locus_tag,Node_1_gene_name_,Node_1_Uniprot_ID,Node_2_locus_tag,Node_2_gene_name,Node_2_Uniprot_ID,Node_1_orthology_group_ID,Node_2_orthology_group_ID,Source,Strain,Layer
,,,,,,,,,,
SG2164,baeR,B5RBX2,SG1808,spy,B5RAZ6,Ecoli,46,1597,Salmonella_enterica_serovar_Gallinarum_287_91,Transcriptional_regulatory
SG2164,baeR,B5RBX2,SG2158,SG2158,B5RBW7,Ecoli,46,470,Salmonella_enterica_serovar_Gallinarum_287_91,Transcriptional_regulatory
SG2164,baeR,B5RBX2,SG2159,yegN,B5RBW8,Ecoli,46,488,Salmonella_enterica_serovar_Gallinarum_287_91,Transcriptional_regulatory
SG2164,baeR,B5RBX2,SG2160,yegO,B5RBW9,Ecoli,46,947,Salmonella_enterica_serovar_Gallinarum_287_91,Transcriptional_regulatory
SG2164,baeR,B5RBX2,SG2163,baeS,B5RBX1,Ecoli,46,4256,Salmonella_enterica_serovar_Gallinarum_287_91,Transcriptional_regulatory
SG2164,baeR,B5RBX2,SG2164,baeR,B5RBX2,Ecoli,46,46,Salmonella_enterica_serovar_Gallinarum_287_91,Transcriptional_regulatory
SG3609,torR,B5RG02,SG1565,hdeB,B5RAB8,Ecoli,60,3120,Salmonella_enterica_serovar_Gallinarum_287_91,Transcriptional_regulatory
SG3609,torR,B5RG02,SG3609,torR,B5RG02,Ecoli,60,60,Salmonella_enterica_serovar_Gallinarum_287_91,Transcriptional_regulatory
SG3609,torR,B5RG02,SG3610,torC,B5RG03,Ecoli,60,1580,Salmonella_enterica_serovar_Gallinarum_287_91,Transcriptional_regulatory
SG3609,torR,B5RG02,SG3611,torA,B5RG04,Ecoli,60,864,Salmonella_enterica_serovar_Gallinarum_287_91,Transcriptional_regulatory
SG3609,torR,B5RG02,SG3612,torD,B5RG05,Ecoli,60,1565,Salmonella_enterica_serovar_Gallinarum_287_91,Transcriptional_regulatory
SG3609,torR,B5RG02,SG3665,mgtC,B5RG55,Ecoli,60,2780,Salmonella_enterica_serovar_Gallinarum_287_91,Transcriptional_regulatory
SG2579,yfhP,B5RD13,SG0207,yadQ,B5RHE1,Ecoli,107,3124,Salmonella_enterica_serovar_Gallinarum_287_91,Transcriptional_regulatory
SG2579,yfhP,B5RD13,SG0208,yadR,B5RHE2,Ecoli,107,3837,Salmonella_enterica_serovar_Gallinarum_287_91,Transcriptional_regulatory
SG2579,yfhP,B5RD13,SG1743,ynhA,B5RAT3,Ecoli,107,1450,Salmonella_enterica_serovar_Gallinarum_287_91,Transcriptional_regulatory
SG2579,yfhP,B5RD13,SG1744,sufS,B5RAT4,Ecoli,107,1741,Salmonella_enterica_serovar_Gallinarum_287_91,Transcriptional_regulatory
SG2579,yfhP,B5RD13,SG1745,sufD,B5RAT5,Ecoli,107,880,Salmonella_enterica_serovar_Gallinarum_287_91,Transcriptional_regulatory
SG2579,yfhP,B5RD13,SG1746,sufC,B5RAT6,Ecoli,107,2620,Salmonella_enterica_serovar_Gallinarum_287_91,Transcriptional_regulatory
SG2579,yfhP,B5RD13,SG1747,sufB,B5RAT7,Ecoli,107,2832,Salmonella_enterica_serovar_Gallinarum_287_91,Transcriptional_regulatory
SG2579,yfhP,B5RD13,SG1748,sufA,B5RAT8,Ecoli,107,3904,Salmonella_enterica_serovar_Gallinarum_287_91,Transcriptional_regulatory
SG2579,yfhP,B5RD13,SG2285,napH,B5RC83,Ecoli,107,3241,Salmonella_enterica_serovar_Gallinarum_287_91,Transcriptional_regulatory
SG2579,yfhP,B5RD13,SG2286,napG,B5RC84,Ecoli,107,455,Salmonella_enterica_serovar_Gallinarum_287_91,Transcriptional_regulatory
SG2579,yfhP,B5RD13,SG2287,napA,B5RC85,Ecoli,107,2263,Salmonella_enterica_serovar_Gallinarum_287_91,Transcriptional_regulatory
SG2579,yfhP,B5RD13,SG2288,napD,B5RC86,Ecoli,107,4359,Salmonella_enterica_serovar_Gallinarum_287_91,Transcriptional_regulatory
SG2579,yfhP,B5RD13,SG2289,napF,B5RC87,Ecoli,107,3301,Salmonella_enterica_serovar_Gallinarum_287_91,Transcriptional_regulatory
SG2579,yfhP,B5RD13,SG2579,yfhP,B5RD13,Ecoli,107,107,Salmonella_enterica_serovar_Gallinarum_287_91,Transcriptional_regulatory
SG2579,yfhP,B5RD13,SG3927,yhgI,B5R7K3,Ecoli,107,350,Salmonella_enterica_serovar_Gallinarum_287_91,Transcriptional_regulatory
SG2579,yfhP,B5RD13,SG3928,yhgH,B5R7K4,Ecoli,107,3232,Salmonella_enterica_serovar_Gallinarum_287_91,Transcriptional_regulatory
