Node_1_locus_tag,Node_1_gene_name_,Node_1_Uniprot_ID,Node_2_locus_tag,Node_2_gene_name,Node_2_Uniprot_ID,Node_1_orthology_group_ID,Node_2_orthology_group_ID,Source,Strain,Layer
SeHA_C0351,gmhA,B4T7P3,SeHA_C2732,tal1,B4TD48,931,873,BioModels,Salmonella_enterica_serovar_Heidelberg_SL476,Metabolic
SeHA_C0351,gmhA,B4T7P3,SeHA_C0007,tal2,B4TIA8,931,3087,BioModels,Salmonella_enterica_serovar_Heidelberg_SL476,Metabolic
SeHA_C0357,pepD,B4T7P9,SeHA_C3863,ggt,B4T884,4070,2060,BioModels,Salmonella_enterica_serovar_Heidelberg_SL476,Metabolic
SeHA_C0357,pepD,B4T7P9,SeHA_C2798,SeHA_C2798,B4TDA9,4070,2788,STM,Salmonella_enterica_serovar_Heidelberg_SL476,Metabolic
SeHA_C0357,pepD,B4T7P9,SeHA_C4882,pepA,B4TG58,4070,2835,STM,Salmonella_enterica_serovar_Heidelberg_SL476,Metabolic
SeHA_C0357,pepD,B4T7P9,SeHA_C1867,SeHA_C1867,B4TJG1,4070,1010,STM,Salmonella_enterica_serovar_Heidelberg_SL476,Metabolic
SeHA_C0358,gpt,B4T7Q0,SeHA_C4073,SeHA_C4073,B4T9Z9,762,3204,STM,Salmonella_enterica_serovar_Heidelberg_SL476,Metabolic
SeHA_C0358,gpt,B4T7Q0,SeHA_C2681,xapA,B4TCF1,762,1707,STM,Salmonella_enterica_serovar_Heidelberg_SL476,Metabolic
SeHA_C0358,gpt,B4T7Q0,SeHA_C4978,deoD,B4TH02,762,234,STM,Salmonella_enterica_serovar_Heidelberg_SL476,Metabolic
SeHA_C0358,gpt,B4T7Q0,SeHA_C0055,SeHA_C0055,B4TIF1,762,643,STM,Salmonella_enterica_serovar_Heidelberg_SL476,Metabolic
SeHA_C0358,gpt,B4T7Q0,SeHA_C0194,hpt,B4TJD6,762,4146,STM,Salmonella_enterica_serovar_Heidelberg_SL476,Metabolic
SeHA_C0364,proA,B4T7Q6,SeHA_C0363,proB,B4T7Q5,2044,1557,STM_BioModels,Salmonella_enterica_serovar_Heidelberg_SL476,Metabolic
SeHA_C0421,leuC,B4T7V9,SeHA_C0422,leuD,B4T7W0,2560,2764,STM_BioModels,Salmonella_enterica_serovar_Heidelberg_SL476,Metabolic
SeHA_C0421,leuC,B4T7V9,SeHA_C0123,leuB,B4TJ71,2560,3616,BioModels,Salmonella_enterica_serovar_Heidelberg_SL476,Metabolic
SeHA_C0421,leuC,B4T7V9,SeHA_C0124,leuA,B4TJ72,2560,3577,BioModels,Salmonella_enterica_serovar_Heidelberg_SL476,Metabolic
SeHA_C0422,leuD,B4T7W0,SeHA_C0123,leuB,B4TJ71,2764,3616,BioModels,Salmonella_enterica_serovar_Heidelberg_SL476,Metabolic
SeHA_C0422,leuD,B4T7W0,SeHA_C0124,leuA,B4TJ72,2764,3577,BioModels,Salmonella_enterica_serovar_Heidelberg_SL476,Metabolic
SeHA_C2097,purT,B4T7Y1,SeHA_C0587,apt,B4T9H6,3737,4124,BioModels,Salmonella_enterica_serovar_Heidelberg_SL476,Metabolic
SeHA_C2097,purT,B4T7Y1,SeHA_C0650,folD,B4TA94,3737,1396,BioModels,Salmonella_enterica_serovar_Heidelberg_SL476,Metabolic
SeHA_C2097,purT,B4T7Y1,SeHA_C4506,purD,B4TDF2,3737,1821,STM_BioModels,Salmonella_enterica_serovar_Heidelberg_SL476,Metabolic
SeHA_C2097,purT,B4T7Y1,SeHA_C1349,purB,B4TFL0,3737,486,BioModels,Salmonella_enterica_serovar_Heidelberg_SL476,Metabolic
SeHA_C2097,purT,B4T7Y1,SeHA_C3295,SeHA_C3295,B4THE4,3737,865,BioModels,Salmonella_enterica_serovar_Heidelberg_SL476,Metabolic
SeHA_C2098,eda,B4T7Y2,SeHA_C2099,edd,B4T7Y3,329,671,STM_BioModels,Salmonella_enterica_serovar_Heidelberg_SL476,Metabolic
SeHA_C2099,edd,B4T7Y3,SeHA_C3851,gntK,B4T873,671,403,STM_BioModels,Salmonella_enterica_serovar_Heidelberg_SL476,Metabolic
SeHA_C2099,edd,B4T7Y3,SeHA_C0912,SeHA_C0912,B4TC39,671,1294,STM,Salmonella_enterica_serovar_Heidelberg_SL476,Metabolic
SeHA_C2099,edd,B4T7Y3,SeHA_C4889,idnK,B4TG65,671,33,STM_BioModels,Salmonella_enterica_serovar_Heidelberg_SL476,Metabolic
SeHA_C2102,pykA,B4T7Y6,SeHA_C1511,pykF,B4TGL5,3071,114,STM,Salmonella_enterica_serovar_Heidelberg_SL476,Metabolic
SeHA_C2103,msbB,B4T7Y7,SeHA_C1266,SeHA_C1266,B4TES6,3090,2226,STM_BioModels,Salmonella_enterica_serovar_Heidelberg_SL476,Metabolic
SeHA_C2105,znuA,B4T7Y9,SeHA_C2107,znuB,B4T7Z1,3437,3471,STM,Salmonella_enterica_serovar_Heidelberg_SL476,Metabolic
SeHA_C2114,ntpA,B4T7Z8,SeHA_C2428,folE,B4TAL5,1216,2853,STM,Salmonella_enterica_serovar_Heidelberg_SL476,Metabolic
