Node_1_locus_tag,Node_1_gene_name_,Node_1_Uniprot_ID,Node_2_locus_tag,Node_2_gene_name,Node_2_Uniprot_ID,Node_1_orthology_group_ID,Node_2_orthology_group_ID,Source,Strain,Layer
,,,,,,,,,,
SL1344_0864,artM,E1W6V8,SL1344_0865,artQ,E1W6V9,2555,1127,STM,Salmonella_enterica_serovar_Typhimurium_SL1344,Metabolic
SL1344_0866,artI,E1W6W0,SL1344_0864,artM,E1W6V8,3579,2555,STM,Salmonella_enterica_serovar_Typhimurium_SL1344,Metabolic
SL1344_0866,artI,E1W6W0,SL1344_0865,artQ,E1W6V9,3579,1127,STM,Salmonella_enterica_serovar_Typhimurium_SL1344,Metabolic
SL1344_0866,artI,E1W6W0,SL1344_0863,artJ,E1WBF1,3579,1074,STM,Salmonella_enterica_serovar_Typhimurium_SL1344,Metabolic
SL1344_0873,ybjU,E1W6W7,SL1344_2398,pdxK,E1WCR9,3712,435,STM,Salmonella_enterica_serovar_Typhimurium_SL1344,Metabolic
SL1344_0873,ybjU,E1W6W7,SL1344_1382,pdxY,E1WFW4,3712,4060,STM,Salmonella_enterica_serovar_Typhimurium_SL1344,Metabolic
SL1344_0874,poxB,E1W6W8,SL1344_0170,gcd,E1W841,2147,223,BioModels,Salmonella_enterica_serovar_Typhimurium_SL1344,Metabolic
SL1344_0896,trxB,E1W6Z0,SL1344_1307,SL1344_1307,E1WFN9,3448,1741,BioModels,Salmonella_enterica_serovar_Typhimurium_SL1344,Metabolic
SL1344_0896,trxB,E1W6Z0,SL1344_2613,trxC,E1WJC7,3448,2524,STM,Salmonella_enterica_serovar_Typhimurium_SL1344,Metabolic
SL1344_0902,dmsA,E1W6Z6,SL1344_0904,dmsC,E1W6Z8,3216,1060,STM,Salmonella_enterica_serovar_Typhimurium_SL1344,Metabolic
SL1344_0902,dmsA,E1W6Z6,SL1344_4242,SL1344_4242,E1WEZ5,3216,672,STM,Salmonella_enterica_serovar_Typhimurium_SL1344,Metabolic
SL1344_0902,dmsA,E1W6Z6,SL1344_4243,dmsB,E1WEZ6,3216,1025,STM,Salmonella_enterica_serovar_Typhimurium_SL1344,Metabolic
SL1344_0902,dmsA,E1W6Z6,SL1344_4244,dmsC,E1WEZ7,3216,2246,STM,Salmonella_enterica_serovar_Typhimurium_SL1344,Metabolic
SL1344_0902,dmsA,E1W6Z6,SL1344_2490,SL1344_2490,E1WJ04,3216,3624,STM,Salmonella_enterica_serovar_Typhimurium_SL1344,Metabolic
SL1344_0902,dmsA,E1W6Z6,SL1344_2491,SL1344_2491,E1WJ05,3216,523,STM,Salmonella_enterica_serovar_Typhimurium_SL1344,Metabolic
SL1344_0902,dmsA,E1W6Z6,SL1344_2492,SL1344_2492,E1WJ06,3216,3597,STM,Salmonella_enterica_serovar_Typhimurium_SL1344,Metabolic
SL1344_0903,dmsB,E1W6Z7,SL1344_0902,dmsA,E1W6Z6,3610,3216,STM,Salmonella_enterica_serovar_Typhimurium_SL1344,Metabolic
SL1344_0903,dmsB,E1W6Z7,SL1344_0903,dmsB,E1W6Z7,3610,3610,STM,Salmonella_enterica_serovar_Typhimurium_SL1344,Metabolic
SL1344_0903,dmsB,E1W6Z7,SL1344_0904,dmsC,E1W6Z8,3610,1060,STM,Salmonella_enterica_serovar_Typhimurium_SL1344,Metabolic
SL1344_0903,dmsB,E1W6Z7,SL1344_1427,SL1344_1427,E1WBH9,3610,3610,STM,Salmonella_enterica_serovar_Typhimurium_SL1344,Metabolic
SL1344_0903,dmsB,E1W6Z7,SL1344_4242,SL1344_4242,E1WEZ5,3610,672,STM,Salmonella_enterica_serovar_Typhimurium_SL1344,Metabolic
SL1344_0903,dmsB,E1W6Z7,SL1344_4243,dmsB,E1WEZ6,3610,1025,STM,Salmonella_enterica_serovar_Typhimurium_SL1344,Metabolic
SL1344_0903,dmsB,E1W6Z7,SL1344_4244,dmsC,E1WEZ7,3610,2246,STM,Salmonella_enterica_serovar_Typhimurium_SL1344,Metabolic
SL1344_0903,dmsB,E1W6Z7,SL1344_2490,SL1344_2490,E1WJ04,3610,3624,STM,Salmonella_enterica_serovar_Typhimurium_SL1344,Metabolic
SL1344_0903,dmsB,E1W6Z7,SL1344_2491,SL1344_2491,E1WJ05,3610,523,STM,Salmonella_enterica_serovar_Typhimurium_SL1344,Metabolic
SL1344_0903,dmsB,E1W6Z7,SL1344_2492,SL1344_2492,E1WJ06,3610,3597,STM,Salmonella_enterica_serovar_Typhimurium_SL1344,Metabolic
SL1344_0904,dmsC,E1W6Z8,SL1344_4242,SL1344_4242,E1WEZ5,1060,672,STM,Salmonella_enterica_serovar_Typhimurium_SL1344,Metabolic
SL1344_0904,dmsC,E1W6Z8,SL1344_4243,dmsB,E1WEZ6,1060,1025,STM,Salmonella_enterica_serovar_Typhimurium_SL1344,Metabolic
SL1344_0904,dmsC,E1W6Z8,SL1344_4244,dmsC,E1WEZ7,1060,2246,STM,Salmonella_enterica_serovar_Typhimurium_SL1344,Metabolic
SL1344_0904,dmsC,E1W6Z8,SL1344_2490,SL1344_2490,E1WJ04,1060,3624,STM,Salmonella_enterica_serovar_Typhimurium_SL1344,Metabolic
