uniprotAC;name;locus;groupID;strain
B5EWJ3;gmhA;SeAg_B0344;931;Salmonella_enterica_serovar_Agona_SL483
B5EWJ9;pepD;SeAg_B0350;4070;Salmonella_enterica_serovar_Agona_SL483
B5EWK0;gpt;SeAg_B0351;762;Salmonella_enterica_serovar_Agona_SL483
B5EWK6;proA;SeAg_B0357;2044;Salmonella_enterica_serovar_Agona_SL483
B5EWL1;leuD;SeAg_B0364;2764;Salmonella_enterica_serovar_Agona_SL483
B5EWL3;SeAg_B0366;SeAg_B0366;4445;Salmonella_enterica_serovar_Agona_SL483
B5EWP4;SeAg_B0398;SeAg_B0398;2724;Salmonella_enterica_serovar_Agona_SL483
B5EWP8;prpB;SeAg_B0402;919;Salmonella_enterica_serovar_Agona_SL483
B5EWQ0;prpD;SeAg_B0404;1198;Salmonella_enterica_serovar_Agona_SL483
B5EWQ1;prpE;SeAg_B0405;2751;Salmonella_enterica_serovar_Agona_SL483
B5EWQ2;hemB;SeAg_B0406;2875;Salmonella_enterica_serovar_Agona_SL483
B5EWR1;ddl;SeAg_B0416;1125;Salmonella_enterica_serovar_Agona_SL483
B5EWR7;proC;SeAg_B0422;351;Salmonella_enterica_serovar_Agona_SL483
B5EWS0;aroL;SeAg_B0425;2984;Salmonella_enterica_serovar_Agona_SL483
B5EWS5;SeAg_B0430;SeAg_B0430;2802;Salmonella_enterica_serovar_Agona_SL483
B5EWT5;SeAg_B0440;SeAg_B0440;1825;Salmonella_enterica_serovar_Agona_SL483
B5EWT6;SeAg_B0441;SeAg_B0441;90;Salmonella_enterica_serovar_Agona_SL483
B5EWT7;acpH;SeAg_B0442;3118;Salmonella_enterica_serovar_Agona_SL483
B5EWW5;amn;SeAg_B2112;1305;Salmonella_enterica_serovar_Agona_SL483
B5EWY2;cobT;SeAg_B2138;1463;Salmonella_enterica_serovar_Agona_SL483
B5EWY3;cobS;SeAg_B2139;3459;Salmonella_enterica_serovar_Agona_SL483
B5EWY4;cobU;SeAg_B2140;4099;Salmonella_enterica_serovar_Agona_SL483
B5EWY5;cobQ;SeAg_B2141;4148;Salmonella_enterica_serovar_Agona_SL483
B5EWY8;SeAg_B2144;SeAg_B2144;3082;Salmonella_enterica_serovar_Agona_SL483
B5EWY9;cbiM;SeAg_B2145;3969;Salmonella_enterica_serovar_Agona_SL483
B5EWZ0;cobI;SeAg_B2146;768;Salmonella_enterica_serovar_Agona_SL483
B5EWZ1;SeAg_B2147;SeAg_B2147;3562;Salmonella_enterica_serovar_Agona_SL483
B5EWZ2;cobK;SeAg_B2148;2814;Salmonella_enterica_serovar_Agona_SL483
B5EWZ3;cobJ;SeAg_B2149;2168;Salmonella_enterica_serovar_Agona_SL483
B5EWZ4;SeAg_B2150;SeAg_B2150;1921;Salmonella_enterica_serovar_Agona_SL483
B5EWZ5;cobM;SeAg_B2151;1811;Salmonella_enterica_serovar_Agona_SL483
B5EWZ6;SeAg_B2152;SeAg_B2152;3796;Salmonella_enterica_serovar_Agona_SL483
B5EWZ7;cbiE;SeAg_B2153;2725;Salmonella_enterica_serovar_Agona_SL483
B5EWZ8;cbiD;SeAg_B2154;3932;Salmonella_enterica_serovar_Agona_SL483
B5EWZ9;cbiC;SeAg_B2155;2363;Salmonella_enterica_serovar_Agona_SL483
B5EX00;cbiB;SeAg_B2156;858;Salmonella_enterica_serovar_Agona_SL483
B5EX01;cobB;SeAg_B2157;256;Salmonella_enterica_serovar_Agona_SL483
B5EX03;SeAg_B2160;SeAg_B2160;2302;Salmonella_enterica_serovar_Agona_SL483
B5EX06;pduC;SeAg_B2163;3128;Salmonella_enterica_serovar_Agona_SL483
B5EX07;SeAg_B2164;SeAg_B2164;3985;Salmonella_enterica_serovar_Agona_SL483
B5EX08;SeAg_B2165;SeAg_B2165;1401;Salmonella_enterica_serovar_Agona_SL483
B5EX09;SeAg_B2166;SeAg_B2166;3894;Salmonella_enterica_serovar_Agona_SL483
B5EX10;SeAg_B2167;SeAg_B2167;1730;Salmonella_enterica_serovar_Agona_SL483
B5EX16;SeAg_B2173;SeAg_B2173;1040;Salmonella_enterica_serovar_Agona_SL483
B5EX18;SeAg_B2175;SeAg_B2175;1903;Salmonella_enterica_serovar_Agona_SL483
B5EX23;ackA;SeAg_B2180;3142;Salmonella_enterica_serovar_Agona_SL483
B5EX30;SeAg_B2187;SeAg_B2187;3354;Salmonella_enterica_serovar_Agona_SL483
B5EX31;SeAg_B2188;SeAg_B2188;1631;Salmonella_enterica_serovar_Agona_SL483
B5EX39;hisD;SeAg_B2197;3445;Salmonella_enterica_serovar_Agona_SL483
B5EX41;hisB;SeAg_B2199;1936;Salmonella_enterica_serovar_Agona_SL483
B5EX42;hisH;SeAg_B2200;1699;Salmonella_enterica_serovar_Agona_SL483
B5EX43;hisA;SeAg_B2201;3193;Salmonella_enterica_serovar_Agona_SL483
B5EX44;hisF;SeAg_B2202;1098;Salmonella_enterica_serovar_Agona_SL483
B5EX45;SeAg_B2203;SeAg_B2203;1875;Salmonella_enterica_serovar_Agona_SL483
B5EX56;SeAg_B3858;SeAg_B3858;275;Salmonella_enterica_serovar_Agona_SL483
B5EX58;SeAg_B3860;SeAg_B3860;872;Salmonella_enterica_serovar_Agona_SL483
B5EX65;glyS;SeAg_B3868;1184;Salmonella_enterica_serovar_Agona_SL483
B5EX71;xylB;SeAg_B3874;3384;Salmonella_enterica_serovar_Agona_SL483
B5EX72;xylA;SeAg_B3875;1214;Salmonella_enterica_serovar_Agona_SL483
B5EX75;malS;SeAg_B3878;1825;Salmonella_enterica_serovar_Agona_SL483
B5EX76;avtA;SeAg_B3879;3287;Salmonella_enterica_serovar_Agona_SL483
B5EX82;SeAg_B3885;SeAg_B3885;2155;Salmonella_enterica_serovar_Agona_SL483
B5EX83;SeAg_B3886;SeAg_B3886;1599;Salmonella_enterica_serovar_Agona_SL483
B5EX85;SeAg_B3888;SeAg_B3888;3725;Salmonella_enterica_serovar_Agona_SL483
B5EX86;sgbH;SeAg_B3889;2723;Salmonella_enterica_serovar_Agona_SL483
B5EX87;SeAg_B3890;SeAg_B3890;1056;Salmonella_enterica_serovar_Agona_SL483
B5EX88;sgbE;SeAg_B3891;4275;Salmonella_enterica_serovar_Agona_SL483
B5EX94;selA;SeAg_B3897;374;Salmonella_enterica_serovar_Agona_SL483
B5EX98;SeAg_B3901;SeAg_B3901;1068;Salmonella_enterica_serovar_Agona_SL483
B5EX99;mtlD;SeAg_B3902;2343;Salmonella_enterica_serovar_Agona_SL483
B5EXA6;lldP;SeAg_B3909;841;Salmonella_enterica_serovar_Agona_SL483
B5EXA8;lldD;SeAg_B3911;2890;Salmonella_enterica_serovar_Agona_SL483
B5EXB2;SeAg_B3915;SeAg_B3915;3704;Salmonella_enterica_serovar_Agona_SL483
B5EXB3;SeAg_B3916;SeAg_B3916;1474;Salmonella_enterica_serovar_Agona_SL483
B5EXB7;grxC;SeAg_B3920;1788;Salmonella_enterica_serovar_Agona_SL483
B5EXB9;gpmI;SeAg_B3922;1653;Salmonella_enterica_serovar_Agona_SL483
B5EXC5;rfaD;SeAg_B3928;4417;Salmonella_enterica_serovar_Agona_SL483
B5EXC6;rfaF;SeAg_B3929;225;Salmonella_enterica_serovar_Agona_SL483
B5EXC7;rfaC;SeAg_B3930;4304;Salmonella_enterica_serovar_Agona_SL483
B5EXC8;SeAg_B3931;SeAg_B3931;368;Salmonella_enterica_serovar_Agona_SL483
B5EXC9;SeAg_B3932;SeAg_B3932;1141;Salmonella_enterica_serovar_Agona_SL483
B5EXD0;SeAg_B3933;SeAg_B3933;1358;Salmonella_enterica_serovar_Agona_SL483
B5EXD1;SeAg_B3934;SeAg_B3934;2467;Salmonella_enterica_serovar_Agona_SL483
B5EXD2;SeAg_B3935;SeAg_B3935;2606;Salmonella_enterica_serovar_Agona_SL483
B5EXD3;SeAg_B3936;SeAg_B3936;1966;Salmonella_enterica_serovar_Agona_SL483
B5EXD4;SeAg_B3937;SeAg_B3937;252;Salmonella_enterica_serovar_Agona_SL483
B5EXD5;SeAg_B3938;SeAg_B3938;3215;Salmonella_enterica_serovar_Agona_SL483
B5EXD7;SeAg_B3940;SeAg_B3940;779;Salmonella_enterica_serovar_Agona_SL483
B5EXD8;waaA;SeAg_B3941;1998;Salmonella_enterica_serovar_Agona_SL483
B5EXD9;coaD;SeAg_B3942;1987;Salmonella_enterica_serovar_Agona_SL483
B5EXF7;ribD;SeAg_B0455;1855;Salmonella_enterica_serovar_Agona_SL483
B5EXF8;ribH;SeAg_B0456;3169;Salmonella_enterica_serovar_Agona_SL483
B5EXG0;thiL;SeAg_B0458;1729;Salmonella_enterica_serovar_Agona_SL483
B5EXG1;pgpA;SeAg_B0459;3227;Salmonella_enterica_serovar_Agona_SL483
B5EXG4;ispA;SeAg_B0462;277;Salmonella_enterica_serovar_Agona_SL483
B5EXG6;thiI;SeAg_B0464;2071;Salmonella_enterica_serovar_Agona_SL483
B5EXG7;phnV;SeAg_B0465;1826;Salmonella_enterica_serovar_Agona_SL483
B5EXH1;phnW;SeAg_B0470;1092;Salmonella_enterica_serovar_Agona_SL483
B5EXH2;phnX;SeAg_B0471;3775;Salmonella_enterica_serovar_Agona_SL483
B5EXH4;panE;SeAg_B0473;2324;Salmonella_enterica_serovar_Agona_SL483
B5EXH9;cyoE;SeAg_B0478;185;Salmonella_enterica_serovar_Agona_SL483
B5EXI0;cyoD;SeAg_B0479;1172;Salmonella_enterica_serovar_Agona_SL483
B5EXI1;cyoC;SeAg_B0480;899;Salmonella_enterica_serovar_Agona_SL483
B5EXI2;cyoB;SeAg_B0481;886;Salmonella_enterica_serovar_Agona_SL483
B5EXI5;ampG;SeAg_B0484;2425;Salmonella_enterica_serovar_Agona_SL483
B5EXJ7;SeAg_B0497;SeAg_B0497;1094;Salmonella_enterica_serovar_Agona_SL483
B5EXK4;SeAg_B0504;SeAg_B0504;2863;Salmonella_enterica_serovar_Agona_SL483
B5EXK5;tesB;SeAg_B0505;1389;Salmonella_enterica_serovar_Agona_SL483
B5EXL2;SeAg_B0513;SeAg_B0513;2504;Salmonella_enterica_serovar_Agona_SL483
B5EXM5;apt;SeAg_B0527;4124;Salmonella_enterica_serovar_Agona_SL483
B5EXN0;adk;SeAg_B0533;3593;Salmonella_enterica_serovar_Agona_SL483
B5EXN2;hemH;SeAg_B0535;2040;Salmonella_enterica_serovar_Agona_SL483
B5EXN3;SeAg_B0536;SeAg_B0536;1264;Salmonella_enterica_serovar_Agona_SL483
B5EXN4;gsk;SeAg_B0537;84;Salmonella_enterica_serovar_Agona_SL483
B5EXP9;SeAg_B0554;SeAg_B0554;2502;Salmonella_enterica_serovar_Agona_SL483
B5EXQ6;SeAg_B2204;SeAg_B2204;89;Salmonella_enterica_serovar_Agona_SL483
B5EXQ8;gnd;SeAg_B2206;2697;Salmonella_enterica_serovar_Agona_SL483
B5EXQ9;SeAg_B2207;SeAg_B2207;2001;Salmonella_enterica_serovar_Agona_SL483
B5EXR0;SeAg_B2208;SeAg_B2208;3868;Salmonella_enterica_serovar_Agona_SL483
B5EXR2;SeAg_B2210;SeAg_B2210;2654;Salmonella_enterica_serovar_Agona_SL483
B5EXR3;SeAg_B2211;SeAg_B2211;56;Salmonella_enterica_serovar_Agona_SL483
B5EXR4;SeAg_B2212;SeAg_B2212;2955;Salmonella_enterica_serovar_Agona_SL483
B5EXR5;SeAg_B2213;SeAg_B2213;1422;Salmonella_enterica_serovar_Agona_SL483
B5EXR6;SeAg_B2214;SeAg_B2214;1608;Salmonella_enterica_serovar_Agona_SL483
B5EXR7;SeAg_B2215;SeAg_B2215;475;Salmonella_enterica_serovar_Agona_SL483
B5EXR8;rfbG;SeAg_B2216;3163;Salmonella_enterica_serovar_Agona_SL483
B5EXS0;SeAg_B2218;SeAg_B2218;3639;Salmonella_enterica_serovar_Agona_SL483
B5EXS1;rfbC;SeAg_B2219;2267;Salmonella_enterica_serovar_Agona_SL483
