Node_1_locus_tag,Node_1_gene_name_,Node_1_Uniprot_ID,Node_2_locus_tag,Node_2_gene_name,Node_2_Uniprot_ID,Node_1_orthology_group_ID,Node_2_orthology_group_ID,Source,Strain,Layer
SNSL254_A2317,SNSL254_A2317,B4SXW4,SNSL254_A1421,spy,B4T4K5,Ecoli,46,1597,Salmonella_enterica_serovar_Newport_SL254,Transcriptional_regulatory
SNSL254_A2317,SNSL254_A2317,B4SXW4,SNSL254_A2312,SNSL254_A2312,B4SXV9,Ecoli,46,470,Salmonella_enterica_serovar_Newport_SL254,Transcriptional_regulatory
SNSL254_A2317,SNSL254_A2317,B4SXW4,SNSL254_A2313,mdtB,B4SXW0,Ecoli,46,488,Salmonella_enterica_serovar_Newport_SL254,Transcriptional_regulatory
SNSL254_A2317,SNSL254_A2317,B4SXW4,SNSL254_A2314,mdtC,B4SXW1,Ecoli,46,947,Salmonella_enterica_serovar_Newport_SL254,Transcriptional_regulatory
SNSL254_A2317,SNSL254_A2317,B4SXW4,SNSL254_A2315,SNSL254_A2315,B4SXW2,Ecoli,46,1590,Salmonella_enterica_serovar_Newport_SL254,Transcriptional_regulatory
SNSL254_A2317,SNSL254_A2317,B4SXW4,SNSL254_A2316,SNSL254_A2316,B4SXW3,Ecoli,46,4256,Salmonella_enterica_serovar_Newport_SL254,Transcriptional_regulatory
SNSL254_A2317,SNSL254_A2317,B4SXW4,SNSL254_A2317,SNSL254_A2317,B4SXW4,Ecoli,46,46,Salmonella_enterica_serovar_Newport_SL254,Transcriptional_regulatory
SNSL254_A2317,SNSL254_A2317,B4SXW4,SNSL254_A2674,acrD,B4T0K8,Ecoli,46,2420,Salmonella_enterica_serovar_Newport_SL254,Transcriptional_regulatory
SNSL254_A4107,SNSL254_A4107,B4SY92,SNSL254_A1676,hdeB,B4T5V2,Ecoli,60,3120,Salmonella_enterica_serovar_Newport_SL254,Transcriptional_regulatory
SNSL254_A4107,SNSL254_A4107,B4SY92,SNSL254_A4043,SNSL254_A4043,B4SXH1,Ecoli,60,2780,Salmonella_enterica_serovar_Newport_SL254,Transcriptional_regulatory
SNSL254_A4107,SNSL254_A4107,B4SY92,SNSL254_A4104,torD,B4SY89,Ecoli,60,1565,Salmonella_enterica_serovar_Newport_SL254,Transcriptional_regulatory
SNSL254_A4107,SNSL254_A4107,B4SY92,SNSL254_A4105,torA,B4SY90,Ecoli,60,864,Salmonella_enterica_serovar_Newport_SL254,Transcriptional_regulatory
SNSL254_A4107,SNSL254_A4107,B4SY92,SNSL254_A4106,torC,B4SY91,Ecoli,60,1580,Salmonella_enterica_serovar_Newport_SL254,Transcriptional_regulatory
SNSL254_A4107,SNSL254_A4107,B4SY92,SNSL254_A4107,SNSL254_A4107,B4SY92,Ecoli,60,60,Salmonella_enterica_serovar_Newport_SL254,Transcriptional_regulatory
SNSL254_A2744,iscR,B4T1C0,SNSL254_A0224,SNSL254_A0224,B4SUY5,Ecoli,107,3124,Salmonella_enterica_serovar_Newport_SL254,Transcriptional_regulatory
