Node_1_locus_tag,Node_1_gene_name_,Node_1_Uniprot_ID,Node_2_locus_tag,Node_2_gene_name,Node_2_Uniprot_ID,Node_1_orthology_group_ID,Node_2_orthology_group_ID,Source,Strain,Layer
SNSL254_A0101,SNSL254_A0101,B4SU16,SNSL254_A0988,aat,B4T119,2054,1572,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Newport_SL254,PPI
SNSL254_A0101,SNSL254_A0101,B4SU16,SNSL254_A3262,SNSL254_A3262,B4T524,2054,4451,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Newport_SL254,PPI
SNSL254_A0102,rapA,B4SU17,SNSL254_A3650,SNSL254_A3650,B4SUP2,345,2370,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Newport_SL254,PPI
SNSL254_A0102,rapA,B4SU17,SNSL254_A1102,rlmL,B4T1Z1,345,3219,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Newport_SL254,PPI
SNSL254_A0111,SNSL254_A0111,B4SU25,SNSL254_A1991,SNSL254_A1991,B4SV91,2319,1513,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Newport_SL254,PPI
SNSL254_A0111,SNSL254_A0111,B4SU25,SNSL254_A0707,SNSL254_A0707,B4SYK9,2319,3921,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Newport_SL254,PPI
SNSL254_A0111,SNSL254_A0111,B4SU25,SNSL254_A4229,xerC,B4SZ53,2319,3220,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Newport_SL254,PPI
SNSL254_A0111,SNSL254_A0111,B4SU25,SNSL254_A4331,SNSL254_A4331,B4SZZ3,2319,3396,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Newport_SL254,PPI
SNSL254_A0111,SNSL254_A0111,B4SU25,SNSL254_A4580,lexA,B4T1T2,2319,2732,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Newport_SL254,PPI
SNSL254_A0111,SNSL254_A0111,B4SU25,SNSL254_A1429,SNSL254_A1429,B4T4L3,2319,3464,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Newport_SL254,PPI
SNSL254_A0111,SNSL254_A0111,B4SU25,SNSL254_A3262,SNSL254_A3262,B4T524,2319,4451,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Newport_SL254,PPI
SNSL254_A0111,SNSL254_A0111,B4SU25,SNSL254_A3471,rpoD,B4T681,2319,3123,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Newport_SL254,PPI
SNSL254_A0111,SNSL254_A0111,B4SU25,SNSL254_A3513,garD,B4T6B8,2319,3921,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Newport_SL254,PPI
SNSL254_A0122,leuD,B4SU33,SNSL254_A0123,leuC,B4SU34,3377,3973,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Newport_SL254,PPI
SNSL254_A0122,leuD,B4SU33,SNSL254_A0007,tal2,B4T6D0,3377,3087,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Newport_SL254,PPI
SNSL254_A0124,leuB,B4SU35,SNSL254_A0128,ilvB,B4SU38,3616,3747,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Newport_SL254,PPI
SNSL254_A0127,leuO,B4SU37,SNSL254_A2317,SNSL254_A2317,B4SXW4,863,46,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Newport_SL254,PPI
SNSL254_A0128,ilvB,B4SU38,SNSL254_A0129,ilvH,B4SU39,3747,1111,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Newport_SL254,PPI
SNSL254_A0131,mraZ,B4SU41,SNSL254_A2118,fliA,B4SW62,2902,678,IntAct,Salmonella_enterica_serovar_Newport_SL254,PPI
SNSL254_A0133,ftsL,B4SU43,SNSL254_A0134,ftsI,B4SU44,229,3143,IntAct,Salmonella_enterica_serovar_Newport_SL254,PPI
SNSL254_A0133,ftsL,B4SU43,SNSL254_A0139,ftsW,B4SU49,229,3007,IntAct,Salmonella_enterica_serovar_Newport_SL254,PPI
SNSL254_A0133,ftsL,B4SU43,SNSL254_A0143,ftsQ,B4SU53,229,398,IntAct,Salmonella_enterica_serovar_Newport_SL254,PPI
SNSL254_A0133,ftsL,B4SU43,SNSL254_A3637,mreB,B4SUM9,229,624,IntAct,Salmonella_enterica_serovar_Newport_SL254,PPI
SNSL254_A0133,ftsL,B4SU43,SNSL254_A3757,SNSL254_A3757,B4SVI7,229,2025,IntAct,Salmonella_enterica_serovar_Newport_SL254,PPI
SNSL254_A0133,ftsL,B4SU43,SNSL254_A2849,rseA,B4T1L9,229,2443,IntAct,Salmonella_enterica_serovar_Newport_SL254,PPI
SNSL254_A0138,murD,B4SU48,SNSL254_A1731,SNSL254_A1731,B4T605,914,2939,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Newport_SL254,PPI
SNSL254_A0139,ftsW,B4SU49,SNSL254_A0134,ftsI,B4SU44,3007,3143,IntAct,Salmonella_enterica_serovar_Newport_SL254,PPI
SNSL254_A0141,murC,B4SU51,SNSL254_A0134,ftsI,B4SU44,1143,3143,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Newport_SL254,PPI
SNSL254_A0143,ftsQ,B4SU53,SNSL254_A0134,ftsI,B4SU44,398,3143,IntAct,Salmonella_enterica_serovar_Newport_SL254,PPI
