Node_1_locus_tag,Node_1_gene_name_,Node_1_Uniprot_ID,Node_2_locus_tag,Node_2_gene_name,Node_2_Uniprot_ID,Node_1_orthology_group_ID,Node_2_orthology_group_ID,Source,Strain,Layer
STM2131,baeR,Q8ZNP8,STM1308,spy,Q8ZPU7,Ecoli,46,1597,Salmonella_enterica_serovar_Typhimurium_LT2,Transcriptional_regulatory
STM2131,baeR,Q8ZNP8,STM2126,STM2126,Q8ZNQ3,Ecoli,46,470,Salmonella_enterica_serovar_Typhimurium_LT2,Transcriptional_regulatory
STM2131,baeR,Q8ZNP8,STM2127,yegN,Q8ZNQ2,Ecoli,46,488,Salmonella_enterica_serovar_Typhimurium_LT2,Transcriptional_regulatory
STM2131,baeR,Q8ZNP8,STM2128,yegO,Q8ZNQ1,Ecoli,46,947,Salmonella_enterica_serovar_Typhimurium_LT2,Transcriptional_regulatory
STM2131,baeR,Q8ZNP8,STM2129,yegB,Q8ZNQ0,Ecoli,46,1590,Salmonella_enterica_serovar_Typhimurium_LT2,Transcriptional_regulatory
STM2131,baeR,Q8ZNP8,STM2130,baeS,Q8ZNP9,Ecoli,46,4256,Salmonella_enterica_serovar_Typhimurium_LT2,Transcriptional_regulatory
STM2131,baeR,Q8ZNP8,STM2131,baeR,Q8ZNP8,Ecoli,46,46,Salmonella_enterica_serovar_Typhimurium_LT2,Transcriptional_regulatory
STM2131,baeR,Q8ZNP8,STM2481,acrD,Q8ZN77,Ecoli,46,2420,Salmonella_enterica_serovar_Typhimurium_LT2,Transcriptional_regulatory
STM3824,torR,Q8ZKZ5,PSLT008,srgC,Q93GS4,Ecoli,60,4838,Salmonella_enterica_serovar_Typhimurium_LT2,Transcriptional_regulatory
STM3824,torR,Q8ZKZ5,STM1562,hdeB,Q7CQI8,Ecoli,60,3120,Salmonella_enterica_serovar_Typhimurium_LT2,Transcriptional_regulatory
STM3824,torR,Q8ZKZ5,STM3764,mgtC,P0CI70,Ecoli,60,2780,Salmonella_enterica_serovar_Typhimurium_LT2,Transcriptional_regulatory
STM3824,torR,Q8ZKZ5,STM3821,torD,Q8ZKZ8,Ecoli,60,1565,Salmonella_enterica_serovar_Typhimurium_LT2,Transcriptional_regulatory
STM3824,torR,Q8ZKZ5,STM3822,torA,Q8ZKZ7,Ecoli,60,864,Salmonella_enterica_serovar_Typhimurium_LT2,Transcriptional_regulatory
STM3824,torR,Q8ZKZ5,STM3823,torC,Q8ZKZ6,Ecoli,60,1580,Salmonella_enterica_serovar_Typhimurium_LT2,Transcriptional_regulatory
STM3824,torR,Q8ZKZ5,STM3824,torR,Q8ZKZ5,Ecoli,60,60,Salmonella_enterica_serovar_Typhimurium_LT2,Transcriptional_regulatory
STM0477,acrR,Q7CR15,STM0475,acrB,Q8ZRA7,Ecoli,64,299,Salmonella_enterica_serovar_Typhimurium_LT2,Transcriptional_regulatory
STM0477,acrR,Q7CR15,STM0476,acrA,Q8ZRA6,Ecoli,64,2180,Salmonella_enterica_serovar_Typhimurium_LT2,Transcriptional_regulatory
STM0477,acrR,Q7CR15,STM0477,acrR,Q7CR15,Ecoli,64,64,Salmonella_enterica_serovar_Typhimurium_LT2,Transcriptional_regulatory
STM3389,envR,Q8ZLN6,STM0475,acrB,Q8ZRA7,Ecoli,64,299,Salmonella_enterica_serovar_Typhimurium_LT2,Transcriptional_regulatory
STM3389,envR,Q8ZLN6,STM0476,acrA,Q8ZRA6,Ecoli,64,2180,Salmonella_enterica_serovar_Typhimurium_LT2,Transcriptional_regulatory
