Node_1_locus_tag,Node_1_gene_name_,Node_1_Uniprot_ID,Node_2_locus_tag,Node_2_gene_name,Node_2_Uniprot_ID,Node_1_orthology_group_ID,Node_2_orthology_group_ID,Source,Strain,Layer
SEN0369,proC,B5QTD5,SEN1191,proQ,B5R2S5,351,2695,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Enteritidis_P125109,PPI
SEN0370,yaiI,B5QTD6,SEN0593,citC,B5QVM5,1421,2843,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Enteritidis_P125109,PPI
SEN0370,yaiI,B5QTD6,SEN0079,fixX,B5R1R7,1421,2000,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Enteritidis_P125109,PPI
SEN0370,yaiI,B5QTD6,SEN4326,yjjW,B5R2J4,1421,358,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Enteritidis_P125109,PPI
SEN0370,yaiI,B5QTD6,SEN1223,minC,B5R2V6,1421,970,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Enteritidis_P125109,PPI
SEN0374,yaiE,B5QTE0,SEN1191,proQ,B5R2S5,2672,2695,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Enteritidis_P125109,PPI
SEN0379,sbcD,B5QTE5,SEN0401,thiL,B5QTG7,2414,1729,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Enteritidis_P125109,PPI
SEN0379,sbcD,B5QTE5,SEN0097,rluA,B5R1T3,2414,2054,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Enteritidis_P125109,PPI
SEN0381,phoR,B5QTE7,SEN0380,phoB,B5QTE6,3585,197,Interactome3d,Salmonella_enterica_serovar_Enteritidis_P125109,PPI
SEN0390,secD,B5QTF6,SEN1706,pheT,B5QVW3,3293,1404,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Enteritidis_P125109,PPI
SEN0397,nrdR,B5QTG3,SEN3721,trxA,B5QVH3,813,3171,IntAct,Salmonella_enterica_serovar_Enteritidis_P125109,PPI
SEN0397,nrdR,B5QTG3,SEN4058,phnO,B5QZB2,813,1360,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Enteritidis_P125109,PPI
SEN0397,nrdR,B5QTG3,SEN1281,ychJ,B5R3L7,813,3690,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Enteritidis_P125109,PPI
SEN0398,ribD,B5QTG4,SEN2605,smpA,B5QUH2,1855,2338,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Enteritidis_P125109,PPI
SEN0400,nusB,B5QTG6,SEN3269,rpsJ,B5R292,895,1695,IntAct_Interactome3d,Salmonella_enterica_serovar_Enteritidis_P125109,PPI
SEN0401,thiL,B5QTG7,SEN0294,yafJ,B5R471,1729,328,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Enteritidis_P125109,PPI
SEN0405,ispA,B5QTH1,SEN1120,purT,B5R1X0,277,3737,Lit_Ecoli_IntAct,Salmonella_enterica_serovar_Enteritidis_P125109,PPI
SEN0415,thiJ,B5QTI1,SEN1485,fdnG,B5QTN2,1011,3201,Biogrid,Salmonella_enterica_serovar_Enteritidis_P125109,PPI
SEN0415,thiJ,B5QTI1,SEN0617,leuS,B5QVP9,1011,1322,Biogrid,Salmonella_enterica_serovar_Enteritidis_P125109,PPI
SEN0415,thiJ,B5QTI1,SEN1711,thrS,B5QVW8,1011,2445,Biogrid,Salmonella_enterica_serovar_Enteritidis_P125109,PPI
SEN0415,thiJ,B5QTI1,SEN0686,sucA,B5QWG6,1011,1016,Biogrid,Salmonella_enterica_serovar_Enteritidis_P125109,PPI
SEN0415,thiJ,B5QTI1,SEN1725,katE,B5QWH5,1011,464,Biogrid,Salmonella_enterica_serovar_Enteritidis_P125109,PPI
